id,Sam J. Ervin IV,Trey Allen,over,under
01-01,1068,211,0,21
01-02,1040,236,1,23
01-03,940,611,0,19
01-04,527,324,0,9
01-05,554,362,0,17
01-06,1506,388,1,38
01-07,1420,359,2,25
01-07A,101,27,1,4
01-09,779,165,0,10
01-10,862,370,1,17
01-11,1069,927,0,27
01-12,972,420,0,14
01-13,1048,158,0,18
01-14,2251,371,0,29
01-15,1038,601,0,21
01-16,1402,514,2,28
01-17,464,356,0,12
01-18,1088,580,0,18
01-19,758,58,1,7
01-20,1401,149,1,20
01-21,1737,546,1,18
01-22,1848,113,1,23
01-23,1715,339,3,28
01-25,229,30,0,2
01-26,1065,96,1,17
01-27,1236,180,0,23
01-28,2167,328,1,18
01-29,1113,717,1,26
01-30,670,381,0,21
01-31,1195,263,0,16
01-32,1068,340,0,18
01-33,958,426,1,19
01-34,735,53,1,11
01-35,978,59,0,22
01-36,1033,779,0,14
01-37,846,512,1,10
01-38,934,363,1,11
01-39,1117,452,2,17
01-40,1762,153,0,25
01-41,1063,257,1,19
01-42,1028,955,0,20
01-43,920,406,0,15
01-44,1554,620,2,19
01-45,679,431,1,12
01-46,880,189,1,9
01-47,907,690,0,11
01-48,1210,273,0,28
01-49,1097,307,1,18
01-50,1387,113,1,12
01-51,494,303,0,6
02-01,1294,1115,0,32
02-02,2206,2233,0,35
02-03,1041,1192,1,22
02-04,908,993,0,18
02-05,447,385,0,6
02-06,920,1030,2,12
03-00,2807,2046,3,66
04-01,1008,484,0,19
04-02,1127,570,0,25
04-03,807,407,0,14
04-04,641,354,0,5
04-05,1756,838,2,37
04-06,1484,766,1,31
04-07,1104,1026,2,21
04-08,1190,459,2,17
04-09,1037,684,1,15
04-10,1238,679,2,24
04-11,689,286,2,14
04-12,1346,723,8,18
04-13,2128,1114,1,40
04-14,802,431,1,15
04-15,1125,596,1,36
04-16,1028,417,0,22
04-17,859,359,0,10
04-18,1264,535,5,30
04-19,887,434,1,11
04-20,1363,591,3,22
04-21,688,252,1,10
05-01,1587,917,1,25
05-03,1668,992,1,27
05-05,2734,1275,5,33
05-06,2286,1211,4,33
05-07,3059,1133,3,51
05-08,1741,636,2,26
06-04,1543,1031,4,35
06-05,1079,1253,2,34
06-06,2477,1782,3,47
06-07,1358,984,0,25
06-08,876,590,1,21
06-09,2866,2543,2,74
06-10,1545,1521,3,43
07-01,777,337,1,11
07-02,721,429,1,9
07-03,783,444,0,13
07-04,1802,749,2,27
07-05,822,409,0,10
07-06,1642,1111,1,34
07-07,1570,885,2,19
07-07A,325,146,0,10
07-09,1398,661,0,25
07-10,2146,934,1,38
07-11,567,352,0,9
07-12,1186,534,1,22
07-13,987,547,0,19
08-02,1821,1049,1,39
08-03,2138,1167,3,45
08-04,748,678,1,13
08-05,971,635,2,21
08-06,868,282,0,14
08-07,1037,953,0,19
08-08,1887,1202,1,36
08-09,875,459,1,16
08-10,1179,597,0,25
08-11,1666,864,2,28
09-01,607,855,0,10
09-02,1034,698,1,14
09-03,1302,1208,2,15
10-01,262,542,1,8
10-02,1120,1010,2,13
10-03,920,702,0,15
10-05,1277,1178,1,23
10-06,2211,1134,0,33
11-01,2130,922,0,31
11-02,1914,994,3,41
12-01,2019,2513,2,50
12-02,1803,1528,4,46
12-04,1400,2142,5,44
12-06,1708,1770,0,43
12-07,926,1141,1,19
12-08,1681,1422,1,41
12-09,1634,2002,2,47
12-10,1862,1634,1,43
12-11,1028,1217,1,31
13-01,2198,613,1,25
13-02,828,583,1,13
13-05,796,260,0,9
13-06,1231,750,1,20
13-07,951,361,1,11
13-08,1141,281,1,14
13-09,1840,565,1,28
13-10,2447,1570,0,50
13-11,1315,978,4,27
14-01,208,384,0,7
14-02,2123,3043,4,30
15-01,1272,1601,5,28
15-02,1966,1834,5,39
15-03,1452,2142,2,29
15-04,776,878,1,20
16-01,818,729,2,22
16-02,1976,457,2,24
16-03,582,348,0,8
16-04,1165,836,0,23
16-05,845,692,1,24
16-06,525,268,0,16
16-07,1458,955,2,24
16-09,1810,1041,1,36
16-10,2052,370,1,25
16-11,1573,447,3,23
17-01,1070,377,1,12
17-02,624,441,1,20
17-03,2730,1030,0,49
17-04,2520,1223,1,40
17-05,1608,603,2,23
17-06,719,685,1,17
17-07,1682,309,3,22
17-09,1668,213,3,19
17-10,463,235,0,9
17-11,1795,557,2,20
17-12,1385,439,1,15
17-13,2090,1028,2,32
18-01,1826,431,1,30
18-02,1737,1868,1,42
18-03,1069,631,2,19
18-04,1592,1447,3,33
18-05,2253,1605,5,30
18-06,1695,608,3,18
18-07,1220,1464,1,25
18-08,1756,1006,2,22
19-03,1012,949,3,21
19-05,1066,1343,0,16
19-07,1856,1662,4,37
19-09,1368,1760,3,25
19-11,1208,999,0,27
19-12,2380,2115,3,41
19-13,812,497,1,11
19-14,1014,824,2,14
19-15,1035,862,1,13
19-16,943,777,3,18
19-17,2180,963,0,30
19-18,1219,1051,1,25
19-19,2324,2420,2,49
19-20,1286,1147,0,22
19-21,1937,1306,1,23
20-01,1414,873,6,24
20-03,1852,1166,2,35
20-04,1553,813,1,29
20-05,1783,1287,2,31
20-06A,2066,1278,2,45
20-06B,1542,1020,2,23
20-08,1918,1340,3,40
20-09,1237,783,1,24
20-10,1496,730,2,29
20-11,2335,1534,2,38
20-12,2415,1407,1,30
20-14,3011,1486,3,32
20-15,1929,747,0,35
20-16,1741,712,0,22
20-17,1996,1022,0,29
