id,Frank Pierce,Jakob Lorberblatt,Megan Patton,Minu Lee,Write-In,Zainab (ZB) Baloch,over,under
02-04,18,5,73,31,3,8,2,34
13-01,272,76,1068,702,20,236,19,364
13-02,180,37,492,288,20,46,16,343
13-06,245,63,764,350,18,81,28,452
13-07,144,45,379,272,8,91,16,166
13-08,205,33,502,331,3,87,15,151
13-09,244,86,893,571,19,221,29,360
13-10,408,104,1314,1227,28,84,38,854
13-11,226,62,693,460,26,56,30,535
17-03,472,103,1021,845,26,260,31,568
17-04,134,34,255,279,2,64,19,156
17-11,330,82,678,707,11,172,31,258
19-13,157,20,377,293,10,53,16,282
19-14,226,59,544,407,19,85,19,495
19-15,174,36,283,248,11,55,22,337
19-16,82,27,199,161,9,51,9,134
19-17,358,131,1052,708,30,189,44,499
19-21,169,51,416,259,4,86,18,249
