id,Jane Harrison,Jennifer Truman,Rob Baumgart,Todd Kennedy,Write-In,over,under
01-01,743,152,81,127,9,9,179
01-02,715,154,107,106,0,8,210
01-06,850,285,155,220,8,20,395
01-07,813,296,138,190,6,7,356
01-07A,38,22,17,22,0,1,33
01-21,918,511,215,271,10,18,349
01-23,940,389,124,221,8,15,388
01-25,111,55,15,40,1,0,39
01-27,687,279,81,187,4,8,193
01-31,680,258,103,157,12,8,256
01-32,688,193,128,188,3,9,217
01-41,697,200,104,120,7,7,205
01-48,807,198,140,133,5,12,216
01-49,594,224,105,146,3,8,223
04-05,138,32,75,24,2,6,81
11-01,1259,394,423,317,11,21,575
18-01,967,410,196,214,5,8,308
18-06,763,258,146,206,5,16,295
