id,DaQuanta Copeland,Mary-Ann Baldwin,Terrance (Truth) Ruth,Write-In,over,under
01-01,83,409,711,13,1,83
01-02,61,440,693,15,2,89
01-03,47,633,664,59,1,168
01-04,21,348,407,19,0,64
01-05,16,266,565,24,0,62
01-06,114,769,845,39,0,166
01-07,104,712,806,22,1,161
01-07A,11,61,30,3,1,27
01-09,29,334,538,8,0,45
01-10,48,540,562,25,1,74
01-11,55,994,667,86,1,220
01-12,56,670,540,18,1,121
01-13,80,498,562,16,2,63
01-14,137,1157,1189,24,2,142
01-15,96,809,540,42,2,171
01-16,127,839,759,39,0,182
01-17,31,414,253,21,1,112
01-18,117,698,664,52,2,153
01-19,151,291,347,4,2,26
01-20,205,632,624,10,2,98
01-21,261,999,834,27,2,169
01-22,329,682,779,4,0,53
01-23,248,769,826,16,1,229
01-25,43,92,97,1,3,25
01-26,172,492,454,3,1,57
01-27,107,599,632,12,2,87
01-28,299,972,1084,17,2,140
01-29,54,776,732,75,1,219
01-30,42,537,329,32,3,127
01-31,196,530,576,22,3,147
01-32,136,498,626,20,2,144
01-33,56,607,560,27,1,153
01-34,127,284,356,1,2,30
01-35,185,430,389,4,1,50
01-36,74,839,646,65,0,202
01-37,70,613,494,49,2,141
01-38,163,460,551,29,1,105
01-39,147,632,647,42,5,115
01-40,359,703,796,6,5,70
01-41,123,406,661,23,2,125
01-42,87,913,521,210,3,267
01-43,139,558,469,61,2,112
01-44,189,997,750,43,1,215
01-45,63,503,391,43,0,121
01-46,176,424,378,9,1,71
01-47,88,723,485,101,1,208
01-48,119,520,711,17,3,141
01-49,166,495,494,35,3,110
01-50,260,512,631,1,5,56
01-51,52,364,270,28,1,88
02-01,31,282,175,18,0,71
02-04,15,75,64,7,0,13
02-06,19,356,198,32,0,104
04-05,8,177,112,14,0,47
05-05,459,1892,1116,75,2,490
07-01,85,455,437,20,0,129
07-02,69,565,343,26,0,147
07-03,57,599,455,22,1,106
07-04,213,1061,957,74,2,273
07-05,110,563,405,38,2,120
07-06,129,1483,726,86,2,362
07-07,145,1078,840,83,6,261
07-07A,13,275,139,5,0,47
07-09,129,916,740,74,3,216
07-10,232,1197,946,61,1,323
07-11,36,436,301,39,0,116
07-12,128,781,652,35,1,146
07-13,105,658,547,38,0,181
08-02,123,1052,665,61,1,247
08-03,231,1372,970,65,3,418
08-05,42,296,149,11,0,68
08-06,136,441,409,8,2,125
08-07,2,31,23,4,0,16
08-08,103,973,505,116,2,198
08-09,98,545,508,48,3,140
08-10,124,765,491,33,0,173
08-11,189,1174,700,60,5,337
11-01,232,1240,1088,56,3,381
11-02,157,1277,1138,69,6,292
13-01,406,1086,1006,46,7,206
13-02,99,620,475,58,1,169
13-05,170,363,417,19,0,77
13-06,123,891,695,73,6,213
13-07,151,460,402,18,4,86
13-08,186,470,561,19,3,88
13-09,312,985,891,27,1,207
13-10,174,1798,1387,127,4,567
13-11,83,864,761,75,1,301
16-02,161,304,306,5,0,43
16-10,445,694,775,13,3,94
16-11,283,427,468,2,2,51
17-01,203,441,446,24,0,109
17-03,421,1552,1036,62,3,252
17-04,157,407,288,10,1,79
17-05,251,887,670,37,5,144
17-07,320,665,663,8,4,74
17-09,373,718,623,6,5,90
17-10,91,316,211,16,0,72
17-11,321,914,852,31,1,150
18-01,276,726,907,26,2,171
18-06,177,686,642,15,1,168
19-13,99,514,386,26,1,182
19-14,138,755,530,204,3,224
19-15,91,515,331,33,1,195
19-16,93,270,212,26,1,70
19-17,356,1206,1087,74,3,285
19-21,141,529,409,24,1,148
