id,Christine E. Villaverde,Deborah K. Ross,over,under
01-01,215,1071,0,14
01-02,231,1052,0,17
01-03,622,933,3,12
01-04,321,530,0,7
01-05,376,546,1,10
01-06,392,1529,0,12
01-07,366,1427,0,13
01-07A,27,103,0,3
01-09,175,775,1,3
01-10,368,869,0,13
01-11,967,1037,1,18
01-12,429,974,0,3
01-13,161,1048,1,10
01-14,368,2264,0,19
01-15,602,1041,0,17
01-16,517,1409,1,19
01-17,362,465,0,5
01-18,567,1104,0,15
01-23,328,1742,0,15
01-27,178,1249,0,12
01-28,307,2195,0,12
01-29,733,1104,0,20
01-30,371,690,0,9
01-31,234,1222,0,18
01-32,332,1081,0,13
01-33,415,976,1,12
01-36,783,1027,0,16
01-37,502,859,0,8
01-38,353,945,0,11
01-39,449,1132,0,7
01-41,256,1072,0,12
01-42,947,1041,1,14
01-43,411,914,0,16
01-44,620,1563,1,11
01-45,424,694,0,5
01-46,173,895,1,10
01-47,690,904,0,14
01-48,273,1222,0,16
01-49,294,1119,0,10
01-51,291,507,0,5
02-01,1119,1302,0,20
02-02,2221,2222,1,30
02-03,1180,1065,0,11
02-04,1011,897,1,10
02-05,383,452,0,2
02-06,1041,916,0,7
04-01,466,1034,0,11
04-02,558,1152,0,12
04-03,395,826,0,7
04-04,352,643,0,5
04-05,839,1776,0,18
04-08,441,1217,0,10
04-09,679,1053,0,5
04-10,655,1274,0,14
04-11,277,708,0,6
04-13,1098,2163,2,20
04-14,419,817,0,13
04-15,570,1170,0,18
04-17,334,886,1,7
04-18,517,1302,0,15
04-19,428,899,0,6
04-20,584,1382,0,13
04-21,249,694,0,8
05-01,914,1603,0,13
05-03,991,1678,0,19
05-05,1225,2803,0,19
05-06,1194,2319,3,18
05-07,1091,3132,4,19
05-08,600,1795,0,10
07-01,335,784,0,7
07-02,423,732,0,5
07-03,421,812,0,7
07-04,718,1846,0,16
07-05,411,821,0,9
07-06,1135,1642,0,11
07-07,873,1584,1,18
07-07A,149,324,0,9
07-09,649,1420,2,13
07-10,921,2184,1,13
07-11,355,567,0,6
07-12,544,1182,0,17
07-13,535,1005,1,12
08-02,1055,1838,2,15
08-03,1153,2184,1,15
08-04,684,752,1,3
08-05,626,997,0,6
08-06,276,883,0,5
08-07,942,1052,1,13
08-08,1183,1928,0,15
08-09,452,892,1,6
08-10,571,1212,0,18
08-11,858,1688,0,14
09-01,855,601,0,16
09-02,696,1038,1,12
09-03,1227,1286,0,14
10-01,538,264,1,10
10-02,993,1143,0,9
10-03,692,932,1,12
10-05,1029,1122,1,19
10-06,1103,2249,0,26
11-01,895,2173,0,15
11-02,992,1936,0,24
13-01,590,2233,0,14
13-02,579,841,0,5
13-05,256,800,0,9
13-06,731,1261,0,10
13-07,359,960,0,6
13-08,275,1156,0,5
13-09,543,1871,1,19
13-10,1538,2499,2,28
13-11,973,1329,0,22
14-01,385,210,0,5
14-02,3037,2135,0,28
17-01,375,1075,0,10
17-02,439,633,0,14
17-03,992,2788,1,28
17-04,1202,2554,1,27
17-05,580,1644,0,12
17-10,229,469,0,8
17-11,541,1820,0,13
17-12,426,1407,0,8
17-13,1021,2107,0,24
19-03,932,1042,0,11
19-05,1335,1072,0,18
19-07,1655,1876,0,28
19-09,1753,1379,2,22
19-11,970,1248,0,16
19-12,2084,2423,1,31
19-13,486,825,1,9
19-14,821,1025,1,7
19-15,870,1026,0,15
19-16,779,949,0,13
19-17,939,2216,1,17
19-18,1042,1239,0,15
19-19,2412,2352,0,31
19-20,1149,1288,0,18
19-21,1276,1973,2,16
20-04,782,1602,0,12
20-08,1324,1957,0,20
20-10,710,1535,0,12
20-12,1387,2451,1,14
20-14,1440,3076,2,14
20-15,724,1976,0,11
20-16,700,1761,0,14
20-17,977,2056,1,13
