id,Cheri Beasley,Matthew Hoh,Shannon W. Bray,Ted Budd,Write-In,over,under
01-01,1064,14,17,202,0,0,3
01-02,1035,8,21,229,0,1,6
01-03,911,11,21,623,0,1,3
01-04,521,4,10,321,0,0,2
01-05,547,3,8,373,0,0,2
01-06,1498,24,28,376,2,0,5
01-07,1415,19,22,343,2,0,5
01-07A,99,3,4,26,0,0,1
01-09,760,2,12,178,2,0,0
01-10,859,4,9,373,0,1,4
01-11,1035,6,18,938,1,3,22
01-12,969,5,23,408,0,0,1
01-13,1039,12,12,157,1,0,1
01-14,2256,21,32,339,1,1,1
01-15,1033,10,26,582,0,1,8
01-16,1388,17,16,519,0,0,6
01-17,459,7,13,351,0,0,2
01-18,1082,19,27,546,2,0,10
01-19,769,7,7,38,0,0,0
01-20,1410,16,22,117,0,1,5
01-21,1747,22,39,492,1,0,1
01-22,1869,18,14,77,2,1,5
01-23,1677,52,32,321,0,1,2
01-25,224,6,10,23,0,0,0
01-26,1071,8,16,79,1,1,3
01-27,1225,17,18,171,1,1,6
01-28,2164,25,32,286,2,1,4
01-29,1087,9,23,722,2,0,14
01-30,682,7,19,363,0,0,2
01-31,1183,38,21,222,2,2,6
01-32,1066,21,21,315,0,0,3
01-33,959,10,10,414,3,1,7
01-34,746,5,12,35,0,1,1
01-35,980,11,15,45,1,2,5
01-36,1034,6,21,756,4,1,4
01-37,843,8,20,496,0,0,2
01-38,927,8,21,347,1,0,5
01-39,1103,25,29,424,2,1,4
01-40,1780,15,22,117,1,2,3
01-41,1055,23,15,243,2,0,2
01-42,1022,15,27,932,0,3,4
01-43,900,11,30,396,0,0,4
01-44,1540,17,37,596,1,1,3
01-45,682,13,19,405,0,0,2
01-46,867,18,22,169,0,2,1
01-47,896,8,25,673,2,0,3
01-48,1211,19,18,259,0,0,4
01-49,1083,25,29,281,1,1,3
01-50,1391,15,18,83,0,3,3
01-51,495,5,13,286,1,0,3
02-01,1311,10,32,1079,3,0,6
02-02,2223,21,42,2174,4,2,8
02-03,1047,10,37,1151,3,1,7
02-04,906,10,22,977,2,1,1
02-05,444,2,11,375,1,1,1
02-06,914,8,30,1004,3,2,3
03-00,2820,39,71,1983,3,2,4
04-01,1016,12,37,436,1,1,8
04-02,1118,30,25,543,1,0,5
04-03,815,14,16,379,1,1,2
04-04,619,13,24,341,0,1,2
04-05,1750,34,38,800,1,1,7
04-06,1477,20,30,747,2,3,5
04-07,1117,13,15,1000,0,1,7
04-08,1198,18,25,423,0,1,2
04-09,1050,12,15,655,0,0,5
04-10,1246,15,37,632,4,0,9
04-11,699,13,10,265,0,0,4
04-12,1334,20,33,703,2,0,3
04-13,2117,38,49,1071,1,0,7
04-14,802,7,27,403,2,1,7
04-15,1144,22,24,556,0,0,12
04-16,1017,20,32,392,0,0,6
04-17,865,13,27,321,0,0,2
04-18,1280,12,21,515,3,0,3
04-19,884,14,22,410,1,0,2
04-20,1362,23,19,564,1,0,10
04-21,674,16,19,240,0,1,1
05-01,1579,30,36,880,1,1,3
05-03,1666,14,36,966,0,1,5
05-05,2734,46,64,1195,2,2,4
05-06,2284,27,38,1181,0,0,4
05-07,3077,39,52,1069,0,4,5
05-08,1753,19,40,585,0,2,6
06-04,1549,36,56,965,2,0,5
06-05,1085,9,46,1214,2,0,12
06-06,2477,37,81,1701,3,4,6
06-07,1344,25,36,953,1,1,7
06-08,893,7,30,554,1,1,2
06-09,2887,46,86,2447,3,1,15
06-10,1577,26,49,1445,4,2,9
07-01,769,11,26,316,0,0,4
07-02,715,13,22,407,0,0,3
07-03,806,10,7,415,0,0,2
07-04,1781,42,63,689,2,0,3
07-05,818,8,18,395,0,0,2
07-06,1632,27,44,1072,3,1,9
07-07,1546,14,33,873,3,2,5
07-07A,319,4,3,150,1,0,5
07-09,1376,35,32,631,2,1,7
07-10,2159,33,46,871,1,1,8
07-11,571,6,15,332,0,0,4
07-12,1162,16,34,523,3,0,5
07-13,993,15,28,512,1,0,4
08-02,1816,20,42,1018,2,2,10
08-03,2151,28,49,1111,3,1,10
08-04,748,9,18,660,0,0,5
08-05,965,10,28,618,1,1,6
08-06,862,15,15,269,1,0,2
08-07,1041,19,32,906,3,0,7
08-08,1897,22,51,1141,1,4,10
08-09,872,13,33,429,0,0,4
08-10,1193,17,17,568,0,1,5
08-11,1660,28,41,827,0,1,3
09-01,603,12,17,837,1,1,1
09-02,1022,10,28,679,2,0,6
09-03,1295,10,32,1182,0,1,7
10-01,253,8,15,534,0,1,2
10-02,1115,11,37,975,2,2,3
10-03,893,19,28,690,1,1,5
10-05,1270,28,35,1136,3,1,6
10-06,2206,32,52,1080,0,2,6
11-01,2132,39,50,858,0,1,3
11-02,1914,19,30,980,2,2,5
12-01,2017,30,70,2449,2,1,15
12-02,1798,40,71,1462,1,1,8
12-04,1416,27,64,2072,4,0,8
12-06,1726,23,44,1716,3,0,9
12-07,942,23,23,1091,2,1,5
12-08,1697,31,60,1347,3,1,6
12-09,1652,21,51,1950,5,1,5
12-10,1899,40,61,1532,3,1,4
12-11,1045,14,36,1175,0,0,7
13-01,2197,25,33,572,4,1,5
13-02,834,9,21,551,1,1,8
13-05,791,11,23,233,2,0,5
13-06,1234,21,31,707,0,1,8
13-07,940,20,19,342,1,1,1
