id,Blair Williams,under
01-01,1090,210
01-02,1046,254
01-03,976,594
01-04,579,281
01-05,567,366
01-06,1539,394
01-07,1434,372
01-07A,95,40
01-09,783,172
01-10,917,333
01-11,1153,870
01-12,1036,370
01-13,1042,182
01-14,2290,361
01-15,1148,512
01-16,1425,521
01-17,529,303
01-18,1191,495
01-19,756,68
01-20,1400,171
01-21,1833,469
01-22,1859,127
01-23,1785,300
01-25,235,28
01-26,1062,117
01-27,1247,192
01-28,2222,292
01-29,1156,701
01-30,737,336
01-31,1242,232
01-32,1108,318
01-33,992,412
01-34,743,59
01-35,982,80
01-36,1178,648
01-37,945,424
01-38,1000,309
01-39,1209,379
01-40,1792,148
01-41,1082,258
01-42,1138,865
01-43,996,345
01-44,1670,525
01-45,758,365
01-46,909,170
01-47,989,618
01-48,1213,298
01-49,1149,274
01-50,1407,108
01-51,540,263
02-01,1427,1014
02-02,2502,1972
02-03,1218,1038
02-04,1042,877
02-05,493,343
02-06,1040,924
03-00,3266,1656
04-01,1058,453
04-02,1184,538
04-03,857,371
04-04,674,326
04-05,1817,816
04-06,1533,749
04-07,1212,941
04-08,1238,430
04-09,1124,613
04-10,1316,627
04-11,710,281
04-12,1388,707
04-13,2317,966
04-14,842,407
04-15,1207,551
04-16,1073,394
04-17,906,322
04-18,1314,520
04-19,952,381
04-20,1416,563
04-21,716,235
05-01,1760,770
05-03,1832,856
05-05,2863,1184
05-06,2495,1039
05-07,3355,891
05-08,1933,472
06-04,1811,802
06-05,1237,1131
06-06,2917,1392
06-07,1469,898
06-08,1022,466
06-09,3453,2029
06-10,1877,1235
07-01,785,341
07-02,756,404
07-03,875,365
07-04,1927,653
07-05,884,357
07-06,1769,1019
07-07,1664,812
07-07A,318,163
07-09,1493,591
07-10,2256,863
07-11,606,322
07-12,1281,462
07-13,1078,475
08-02,1967,943
08-03,2300,1053
08-04,843,597
08-05,1033,596
08-06,935,229
08-07,1145,863
08-08,2027,1099
08-09,946,405
08-10,1260,541
08-11,1769,791
09-01,739,733
09-02,1192,555
09-03,1508,1019
10-01,349,464
10-02,1300,845
10-03,1061,576
10-05,1479,1000
10-06,2416,962
11-01,2247,836
11-02,2025,927
12-01,2361,2223
12-02,2030,1351
12-04,1731,1860
12-06,1970,1551
12-07,1090,997
12-08,1984,1161
12-09,1957,1728
12-10,2067,1473
12-11,1178,1099
13-01,2354,483
13-02,930,495
13-05,855,210
13-06,1374,628
13-07,1018,307
13-08,1202,234
13-09,1976,458
13-10,2640,1427
13-11,1426,898
14-01,259,338
14-02,2568,2632
15-01,1505,1401
15-02,2219,1625
15-03,1748,1877
15-04,903,772
16-01,925,646
16-02,2037,422
16-03,640,298
16-04,1303,721
16-05,922,640
16-06,570,239
16-07,1618,821
16-09,1980,911
16-10,2131,317
16-11,1661,385
17-01,1160,300
17-02,703,383
17-03,2908,901
17-04,2710,1074
17-05,1713,523
17-06,846,576
17-07,1770,246
17-09,1737,166
17-10,500,208
17-11,1932,442
17-12,1478,362
17-13,2252,900
18-01,1877,411
18-02,1933,1715
18-03,1121,600
18-04,1773,1302
18-05,2420,1473
18-06,1780,544
18-07,1447,1263
18-08,1901,885
19-03,1177,808
19-05,1247,1178
19-07,2119,1440
19-09,1682,1474
19-11,1376,858
19-12,2752,1787
19-13,875,446
19-14,1166,688
19-15,1132,779
19-16,1071,670
19-17,2372,801
19-18,1395,901
19-19,2725,2070
19-20,1445,1010
19-21,2171,1096
20-01,1622,695
20-03,1992,1063
20-04,1721,675
20-05,1918,1185
20-06A,2371,1021
20-06B,1749,838
20-08,2189,1112
20-09,1344,701
20-10,1629,628
20-11,2688,1221
20-12,2750,1103
20-14,3351,1181
20-15,2149,562
20-16,1929,546
20-17,2284,763
