id,Donnie Harrison,Willie Rowe,over,under
01-01,306,975,1,18
01-02,380,897,0,23
01-03,848,696,0,26
01-04,449,399,0,12
01-05,506,407,0,20
01-06,555,1331,2,45
01-07,487,1291,1,27
01-07A,39,92,0,5
01-09,285,663,0,6
01-10,539,688,0,23
01-11,1280,709,1,33
01-12,609,783,2,13
01-13,293,911,2,16
01-14,599,2024,2,26
01-15,777,860,3,20
01-16,768,1146,1,31
01-17,465,358,1,8
01-18,776,888,0,22
01-19,79,739,0,5
01-20,219,1332,2,18
01-21,699,1570,2,31
01-22,185,1787,1,14
01-23,445,1598,1,38
01-25,48,214,0,1
01-26,157,1003,1,18
01-27,282,1142,0,15
01-28,492,2005,3,14
01-29,1026,803,2,26
01-30,523,529,0,20
01-31,352,1101,0,21
01-32,450,956,1,19
01-33,586,786,1,31
01-34,78,716,1,5
01-35,109,930,0,20
01-36,973,834,2,17
01-37,689,663,0,17
01-38,474,825,0,10
01-39,620,956,0,12
01-40,228,1693,1,18
01-41,360,961,1,18
01-42,1213,769,2,19
01-43,538,786,2,15
01-44,878,1295,2,20
01-45,557,555,2,9
01-46,251,814,2,12
01-47,879,699,2,28
01-48,406,1086,0,19
01-49,391,1020,1,11
01-50,160,1338,2,13
01-51,405,386,1,11
02-01,1404,1008,1,28
02-02,2723,1714,3,34
02-03,1444,786,1,25
02-04,1200,697,2,20
02-05,471,357,0,10
02-06,1265,682,0,17
03-00,2492,2385,2,43
04-01,594,895,1,21
04-02,800,904,1,17
04-03,525,686,0,17
04-04,431,553,0,16
04-05,1128,1462,1,42
04-06,1027,1217,0,41
04-07,1282,840,3,28
04-08,575,1064,0,29
04-09,848,876,1,12
04-10,852,1063,1,27
04-11,365,611,0,15
04-12,957,1118,1,20
04-13,1455,1794,2,32
04-14,549,686,0,14
04-15,726,1003,2,27
04-16,544,896,1,26
04-17,439,778,0,11
04-18,714,1089,1,30
04-19,544,772,3,14
04-20,780,1177,2,20
04-21,323,616,0,12
05-01,1126,1369,2,33
05-03,1204,1451,1,32
05-05,1486,2511,1,49
05-06,1537,1962,3,32
05-07,1347,2851,3,45
05-08,712,1656,5,32
06-04,1227,1356,1,29
06-05,1486,855,4,23
06-06,2170,2095,1,43
06-07,1165,1173,1,28
06-08,681,783,1,23
06-09,2963,2457,1,64
06-10,1743,1344,0,25
07-01,450,659,1,16
07-02,583,562,0,15
07-03,587,643,0,10
07-04,994,1564,0,22
07-05,557,675,0,9
07-06,1550,1212,1,25
07-07,1179,1270,2,25
07-07A,265,207,0,10
07-09,896,1156,1,31
07-10,1189,1884,4,42
07-11,475,443,0,10
07-12,726,991,1,25
07-13,688,848,1,16
08-02,1389,1480,2,39
08-03,1467,1836,5,45
08-04,823,608,2,7
08-05,854,760,1,14
08-06,380,771,2,11
08-07,1196,789,2,23
08-08,1518,1569,1,38
08-09,552,775,4,20
08-10,739,1034,2,26
08-11,1103,1426,0,31
09-01,964,495,3,10
09-02,846,891,1,9
09-03,1397,1116,0,14
10-01,613,195,0,5
10-02,1189,942,1,13
10-03,858,764,4,11
10-05,1388,1071,4,16
10-06,1348,1995,4,31
11-01,1168,1867,2,46
11-02,1333,1581,1,37
12-01,2902,1632,4,46
12-02,1754,1586,6,35
12-04,2387,1165,1,38
12-06,2046,1442,4,29
12-07,1316,755,2,14
12-08,1691,1432,3,19
12-09,2343,1312,2,28
12-10,1978,1506,1,55
12-11,1387,859,2,29
13-01,767,2050,3,17
13-02,732,679,1,13
13-05,318,739,0,8
13-06,952,1030,4,16
13-07,482,832,1,7
13-08,340,1081,1,14
13-09,685,1726,2,21
13-10,1928,2083,5,51
13-11,1246,1044,2,34
14-01,431,162,1,5
14-02,3448,1703,5,44
15-01,1911,972,1,22
15-02,2228,1590,2,24
15-03,2478,1124,1,22
15-04,1081,586,1,9
16-01,913,641,0,17
16-02,628,1813,1,17
16-03,449,484,0,5
16-04,1121,895,0,8
16-05,885,664,3,10
16-06,368,436,0,5
16-07,1268,1151,4,16
16-09,1231,1629,3,28
16-10,476,1946,4,22
16-11,551,1478,2,15
17-01,487,966,0,7
17-02,533,547,1,5
17-03,1335,2434,6,34
17-04,1513,2243,4,24
17-05,805,1414,1,16
17-06,809,607,0,6
17-07,413,1586,1,16
17-09,281,1610,4,8
17-10,295,404,1,8
17-11,700,1659,0,15
17-12,563,1266,1,11
17-13,1266,1860,2,24
18-01,578,1685,2,23
18-02,2278,1326,3,41
18-03,817,887,0,20
18-04,1788,1255,4,28
18-05,2044,1806,5,38
18-06,817,1479,1,27
18-07,1734,960,0,16
18-08,1240,1520,0,26
19-03,1095,868,0,22
19-05,1522,887,0,16
19-07,1921,1608,1,29
19-09,1997,1133,3,23
19-11,1197,1014,1,22
19-12,2447,2058,3,31
19-13,604,701,0,16
19-14,961,865,3,25
19-15,1029,862,0,20
19-16,917,813,3,8
19-17,1137,2008,6,22
19-18,1234,1039,1,22
19-19,2832,1925,2,36
19-20,1331,1101,1,22
19-21,1516,1728,4,19
20-01,1007,1289,1,20
20-03,1411,1597,2,45
20-04,1035,1341,1,19
20-05,1619,1442,5,37
20-06A,1538,1824,2,27
20-06B,1226,1329,2,30
20-08,1655,1619,3,24
20-09,969,1040,2,34
20-10,961,1264,3,29
20-11,1801,2056,3,49
20-12,1671,2150,2,30
20-14,1796,2705,1,30
20-15,912,1769,0,30
20-16,816,1632,2,25
20-17,1211,1811,1,24
