id,Alex Baldwin,Beth Pugh Farrell,Brian K. Lewis,Jenna Wadsworth,Stephen E. Xavier,Write-In,over,under
01-01,279,236,84,832,95,18,0,1056
01-02,301,238,75,761,114,7,2,1102
01-03,315,485,115,661,289,18,2,1257
01-04,197,227,69,370,126,4,2,719
01-05,167,279,88,368,162,4,0,798
01-06,441,401,169,1030,164,24,2,1635
01-07,391,355,159,999,147,14,0,1547
01-07A,26,28,19,44,16,0,0,133
01-09,236,193,65,578,84,7,0,745
01-10,313,334,83,627,133,19,0,991
01-11,363,643,178,663,416,22,2,1759
01-12,328,355,159,657,154,22,0,1137
01-13,427,220,91,720,64,25,0,895
01-14,808,449,171,1629,161,30,8,2046
01-15,338,517,150,700,309,18,0,1288
01-16,413,488,164,974,254,14,0,1585
01-17,173,302,83,316,181,10,0,599
01-18,404,527,217,746,322,13,2,1141
01-19,233,169,130,411,73,1,0,625
01-20,391,313,181,918,113,25,0,1201
01-21,528,536,290,1219,248,28,2,1753
01-22,399,349,345,1106,233,13,0,1523
01-23,451,505,225,1191,186,21,2,1589
01-25,66,57,45,116,23,4,0,214
01-26,281,250,142,702,82,15,2,884
01-27,378,288,114,870,101,14,0,1113
01-28,654,546,311,1433,226,12,2,1844
01-29,359,570,137,745,380,21,0,1502
01-30,190,368,100,479,246,12,2,743
01-31,326,318,164,816,137,31,4,1152
01-32,330,344,174,757,179,15,2,1051
01-33,290,362,112,695,171,12,0,1166
01-34,209,136,107,450,81,6,2,609
01-35,265,243,156,576,90,11,0,777
01-36,352,550,173,726,322,17,0,1512
01-37,323,415,137,637,247,12,2,965
01-38,320,344,147,663,192,14,2,936
01-39,370,431,191,784,230,13,2,1155
01-40,448,394,327,967,207,14,2,1521
01-41,296,298,124,785,130,9,2,1036
01-42,348,808,169,756,585,17,6,1317
01-43,261,427,166,682,229,23,2,892
01-44,481,686,254,1084,370,33,2,1480
01-45,260,370,126,518,245,13,0,710
01-46,225,280,189,516,127,16,2,803
01-47,302,628,160,643,399,14,6,1060
01-48,387,355,110,907,144,14,0,1105
01-49,265,346,184,743,188,9,6,1105
01-50,301,282,223,821,169,10,2,1218
01-51,176,283,89,359,160,11,0,528
02-01,344,970,206,960,694,16,2,1690
02-02,659,1846,406,1657,1213,53,0,3114
02-03,342,936,197,798,683,20,6,1530
02-04,322,752,189,677,521,17,2,1358
02-05,118,319,73,308,203,7,2,641
02-06,347,787,180,678,580,18,2,1336
03-00,734,1750,522,2203,1040,67,0,3528
04-01,287,385,131,786,171,24,0,1238
04-02,404,504,184,815,247,21,0,1269
04-03,211,388,138,608,207,6,0,898
04-04,226,266,143,450,126,8,0,781
04-05,584,769,285,1274,386,26,2,1943
04-06,455,672,207,1056,331,14,0,1829
04-07,359,681,199,806,471,24,0,1766
04-08,335,404,185,889,205,18,0,1300
04-09,280,550,168,733,346,25,0,1372
04-10,387,569,205,881,316,24,0,1504
04-11,191,267,109,504,126,9,0,776
04-12,449,660,191,965,314,28,0,1581
04-13,665,946,319,1572,532,34,2,2496
04-14,261,395,119,605,211,15,0,892
04-15,289,574,178,824,215,20,2,1414
04-16,292,372,166,768,152,17,2,1165
04-17,248,330,109,660,155,6,0,948
04-18,347,509,165,930,264,27,4,1422
04-19,314,365,118,682,190,8,0,989
04-20,365,542,197,1043,260,16,0,1535
04-21,173,258,117,480,146,15,0,713
05-01,418,866,298,1169,484,19,4,1800
05-03,475,830,267,1171,496,18,4,2115
05-05,729,1254,495,1924,703,34,2,2953
05-06,598,1263,382,1699,677,28,0,2421
05-07,765,1182,505,2310,563,53,6,3108
05-08,442,594,361,1229,283,32,4,1865
06-04,466,844,342,1128,450,22,4,1970
06-05,323,962,236,735,648,37,2,1793
06-06,583,1447,494,1776,839,65,6,3408
06-07,347,792,218,926,503,36,0,1912
06-08,245,453,214,673,259,20,0,1112
06-09,842,2037,659,2269,1110,65,2,3992
06-10,449,1164,389,1292,732,26,2,2170
07-01,280,290,116,526,145,4,0,891
07-02,238,374,120,505,236,7,0,840
07-03,247,367,125,610,193,9,0,929
07-04,615,742,265,1281,378,24,6,1849
07-05,232,444,117,603,263,5,2,816
07-06,633,959,255,1178,609,12,0,1930
07-07,466,735,243,1142,428,27,4,1907
07-07A,100,117,50,194,63,2,0,432
07-09,416,622,198,1032,357,14,8,1521
07-10,643,981,285,1516,554,21,2,2236
07-11,200,308,72,432,190,7,2,645
07-12,399,484,178,902,254,13,0,1256
07-13,310,498,167,730,353,10,0,1038
