id,Chanel N. Harris,Donald Mial,over,under
01-01,218,1048,0,34
01-02,257,999,0,44
01-03,642,861,0,67
01-04,328,491,0,40
01-05,382,505,0,46
01-06,395,1473,0,65
01-07,381,1379,1,45
01-07A,31,96,0,8
01-09,194,733,0,27
01-10,404,805,1,40
01-11,991,937,1,94
01-12,461,907,0,38
01-13,181,1007,1,33
01-14,401,2186,0,64
01-15,629,976,0,55
01-16,547,1328,1,70
01-17,367,442,1,22
01-18,584,1056,0,46
01-19,54,758,0,10
01-20,141,1405,0,25
01-21,545,1702,0,55
01-22,117,1832,0,35
01-23,344,1676,0,65
01-25,38,225,0,1
01-26,109,1038,0,32
01-27,195,1207,0,37
01-28,336,2136,1,41
01-29,764,1007,1,85
01-30,395,631,1,43
01-31,264,1177,0,33
01-32,354,1036,0,36
01-33,430,909,1,64
01-34,47,738,0,15
01-35,68,972,1,18
01-36,789,982,1,54
01-37,533,809,0,27
01-38,360,921,0,28
01-39,467,1090,0,31
01-40,147,1768,0,25
01-41,261,1044,0,35
01-42,975,975,1,52
01-43,417,893,2,29
01-44,626,1515,2,52
01-45,429,669,1,25
01-46,193,866,0,20
01-47,713,862,1,33
01-48,284,1195,0,32
01-49,316,1082,0,25
01-50,116,1381,0,19
01-51,296,474,0,33
02-01,1141,1237,0,63
02-02,2236,2139,2,97
02-03,1197,1019,1,39
02-04,1037,847,0,35
02-05,387,435,0,16
02-06,1067,847,1,49
03-00,2094,2727,1,100
04-01,469,999,0,43
04-02,587,1093,0,42
04-03,411,792,1,24
04-04,361,623,0,16
04-05,853,1696,1,83
04-06,788,1422,1,73
04-07,1042,1055,1,55
04-08,450,1173,2,43
04-09,702,992,1,42
04-10,682,1210,0,51
04-11,288,678,0,25
04-12,737,1311,1,46
04-13,1133,2072,1,77
04-14,425,786,1,37
04-15,559,1136,0,63
04-16,404,1015,1,47
04-17,347,845,1,35
04-18,531,1247,0,56
04-19,427,883,1,22
04-20,579,1344,0,56
04-21,262,667,1,21
05-01,939,1537,2,52
05-03,1012,1624,0,52
05-05,1284,2675,1,87
05-06,1246,2207,0,81
05-07,1107,3052,2,85
05-08,624,1740,0,41
06-04,1042,1514,0,57
06-05,1264,1035,0,69
06-06,1832,2399,2,76
06-07,984,1323,1,59
06-08,598,853,0,37
06-09,2576,2772,2,132
06-10,1512,1533,1,66
07-01,335,751,0,40
07-02,445,672,1,42
07-03,441,774,1,24
07-04,754,1768,2,56
07-05,416,783,1,41
07-06,1138,1559,1,90
07-07,920,1492,2,62
07-07A,155,298,0,27
07-09,684,1336,2,62
07-10,961,2079,1,78
07-11,353,556,0,19
07-12,557,1138,0,48
07-13,550,965,0,38
08-02,1059,1772,1,78
08-03,1163,2103,0,87
08-04,683,734,0,23
08-05,646,940,0,43
08-06,294,846,0,24
08-07,959,988,1,62
08-08,1206,1827,2,91
08-09,453,861,0,37
08-10,594,1152,2,53
08-11,869,1629,0,62
09-01,875,569,1,27
09-02,710,1006,1,30
09-03,1214,1278,0,35
10-01,536,262,0,15
10-02,1022,1096,1,26
10-03,710,894,1,32
10-05,1178,1262,1,38
10-06,1128,2188,1,61
11-01,915,2079,2,87
11-02,1030,1834,1,87
12-01,2533,1938,1,112
12-02,1551,1733,1,96
12-04,2130,1361,0,100
12-06,1786,1643,0,92
12-07,1138,903,0,46
12-08,1430,1647,0,68
12-09,2013,1588,0,84
12-10,1648,1798,0,94
12-11,1219,1000,2,56
13-01,628,2179,2,28
13-02,590,800,1,34
13-05,268,777,1,19
13-06,746,1210,1,45
13-07,379,928,0,17
13-08,291,1127,1,20
13-09,569,1826,0,39
13-10,1573,2383,2,109
13-11,996,1262,2,64
14-01,388,200,0,9
14-02,3060,2036,3,101
15-01,1618,1212,0,76
15-02,1854,1898,0,92
15-03,2153,1385,0,87
15-04,887,747,0,41
16-01,750,773,0,48
16-02,468,1940,0,51
16-03,353,566,0,19
16-04,860,1118,0,46
16-05,703,811,1,47
16-06,280,504,0,25
16-07,950,1431,0,58
16-09,1039,1789,1,62
16-10,357,2060,1,30
16-11,457,1565,0,24
17-01,403,1036,2,19
17-02,456,606,0,24
17-03,1046,2667,2,94
17-04,1235,2489,1,59
17-05,618,1577,2,39
17-06,676,718,0,28
17-07,316,1673,0,27
17-09,222,1658,2,21
17-10,253,435,0,19
17-11,571,1779,0,24
17-12,444,1374,0,22
17-13,1033,2053,1,65
18-01,441,1805,0,42
18-02,1852,1687,0,109
18-03,650,1035,1,35
18-04,1431,1549,0,95
18-05,1644,2167,0,82
18-06,610,1654,0,60
18-07,1463,1194,0,53
18-08,1018,1714,0,54
19-03,950,998,0,37
19-05,1339,1039,0,47
19-07,1676,1819,0,64
19-09,1780,1326,3,47
19-11,992,1190,1,51
19-12,2114,2338,3,84
19-13,506,787,0,28
19-14,837,980,0,37
19-15,901,980,0,30
19-16,785,914,2,40
19-17,968,2156,0,49
19-18,1063,1192,2,39
19-19,2422,2276,0,97
19-20,1165,1247,1,42
19-21,1312,1908,5,42
20-01,871,1399,1,46
20-03,1182,1794,1,78
20-04,813,1533,0,50
20-05,1304,1726,1,72
20-06A,1280,2040,0,71
20-06B,1015,1519,0,53
20-08,1360,1877,3,61
20-09,782,1212,1,50
20-10,733,1462,0,62
20-11,1529,2294,4,82
20-12,1425,2371,0,57
20-14,1518,2940,0,74
20-15,771,1890,0,50
20-16,712,1716,1,46
20-17,1017,1980,1,49
