id,Vickie Adamson,under
01-01,1092,208
01-02,1033,267
01-03,975,595
01-04,570,288
01-05,559,374
01-06,1549,384
01-07,1432,374
01-07A,99,37
01-09,783,173
01-10,910,340
01-11,1136,887
01-12,1036,370
01-13,1046,176
01-14,2283,368
01-15,1140,520
01-16,1431,515
01-17,521,311
01-18,1185,502
01-19,758,65
01-20,1407,164
01-21,1836,466
01-22,1857,127
01-23,1781,304
01-25,235,26
01-26,1055,124
01-27,1247,192
01-28,2220,294
01-29,1146,711
01-30,725,348
01-31,1238,236
01-32,1110,316
01-33,989,415
01-34,739,61
01-35,986,73
01-36,1168,658
01-37,955,414
01-38,1009,300
01-39,1212,376
01-40,1786,154
01-41,1078,262
01-42,1136,867
01-43,997,344
01-44,1685,510
01-45,755,366
01-46,923,156
01-47,986,623
01-48,1212,299
01-49,1146,277
01-50,1413,102
01-51,545,258
02-01,1430,1011
02-02,2505,1969
02-03,1205,1051
02-04,1031,888
02-05,497,340
02-06,1042,922
03-00,3266,1656
04-01,1052,459
04-02,1183,539
04-03,858,370
04-04,681,319
04-05,1830,803
04-06,1527,755
04-07,1210,943
04-08,1227,441
04-09,1127,610
04-10,1320,623
04-11,704,287
04-12,1393,702
04-13,2321,962
04-14,845,404
04-15,1213,545
04-16,1072,395
04-17,911,317
04-18,1322,512
04-19,951,382
04-20,1415,564
04-21,721,230
05-01,1761,769
05-03,1830,858
05-05,2880,1167
05-06,2518,1016
05-07,3376,870
05-08,1937,468
06-04,1818,795
06-05,1228,1140
06-06,2910,1399
06-07,1462,905
06-08,1033,455
06-09,3459,2022
06-10,1880,1232
07-01,792,334
07-02,751,409
07-03,868,372
07-04,1930,650
07-05,890,351
07-06,1763,1025
07-07,1658,818
07-07A,312,167
07-09,1502,582
07-10,2256,863
07-11,608,320
07-12,1291,452
07-13,1078,475
08-02,1979,931
08-03,2303,1050
08-04,844,596
08-05,1035,594
08-06,930,234
08-07,1152,856
08-08,2032,1094
08-09,948,403
08-10,1260,541
08-11,1793,767
09-01,741,731
09-02,1185,562
09-03,1509,1018
10-01,351,462
10-02,1291,854
10-03,1062,575
10-05,1464,1015
10-06,2422,956
11-01,2243,840
11-02,2002,950
12-01,2353,2231
12-02,2042,1339
12-04,1739,1852
12-06,1971,1550
12-07,1092,995
12-08,1985,1160
12-09,1962,1723
12-10,2085,1455
12-11,1173,1104
13-01,2349,488
13-02,927,498
13-05,850,215
13-06,1378,624
13-07,1007,316
13-08,1204,232
13-09,1970,464
13-10,2645,1422
13-11,1418,906
14-01,257,340
14-02,2568,2632
15-01,1500,1406
15-02,2216,1628
15-03,1743,1882
15-04,907,768
16-01,926,645
16-02,2056,403
16-03,654,284
16-04,1301,723
16-05,920,642
16-06,565,244
16-07,1612,827
16-09,1995,896
16-10,2136,312
16-11,1662,384
17-01,1158,302
17-02,705,381
17-03,2904,905
17-04,2720,1064
17-05,1716,520
17-06,845,577
17-07,1763,253
17-09,1741,162
17-10,503,206
17-11,1943,431
17-12,1479,361
17-13,2255,897
18-01,1872,416
18-02,1941,1707
18-03,1128,593
18-04,1760,1315
18-05,2430,1463
18-06,1774,550
18-07,1450,1260
18-08,1899,887
19-03,1178,807
19-05,1239,1186
19-07,2115,1444
19-09,1686,1470
19-11,1361,873
19-12,2758,1781
19-13,882,439
19-14,1167,687
19-15,1132,779
19-16,1063,678
19-17,2378,795
19-18,1398,898
19-19,2718,2077
19-20,1443,1012
19-21,2174,1093
20-01,1622,695
20-03,2002,1053
20-04,1719,677
20-05,1913,1190
20-06A,2373,1020
20-06B,1744,843
20-08,2191,1110
20-09,1347,698
20-10,1624,633
20-11,2689,1220
20-12,2752,1101
20-14,3353,1179
20-15,2149,562
20-16,1928,547
20-17,2287,760
