id,Ben Clapsaddle,Cheryl Caulfield,Write-In,over,under
09-01,414,781,5,0,272
09-02,607,894,13,4,229
09-03,835,1386,13,2,291
10-01,183,503,9,0,118
10-02,706,1150,19,3,267
10-03,537,897,9,4,190
10-05,801,1268,30,1,379
10-06,1362,1563,36,1,416
17-04,1379,1917,31,5,452
19-03,682,1021,11,1,270
19-05,864,1202,18,1,340
19-07,1271,1810,29,7,442
19-09,980,1716,13,3,444
19-11,842,1045,7,4,336
19-16,605,862,19,2,253
19-17,1443,1313,25,2,390
19-18,831,1189,15,3,258
19-19,1649,2636,17,3,490
19-21,1249,1623,15,3,377
