id,Dorian Hamilton,Monica Ruiz,Monika Johnson-Hostler,Write-In,over,under
12-01,383,1925,1488,24,31,733
12-02,305,1269,1310,34,18,445
12-04,316,1636,1098,19,19,503
12-06,349,1401,1155,28,22,566
12-07,206,952,638,13,7,271
12-08,305,1103,1226,31,23,457
15-01,282,1284,881,17,11,431
15-02,323,1525,1435,18,20,523
15-03,321,1660,1084,24,19,517
15-04,146,690,563,8,10,258
16-01,158,606,555,11,11,230
16-02,215,548,1410,16,29,241
16-03,97,325,390,3,5,118
16-04,194,712,801,13,16,288
16-05,155,594,579,12,10,212
16-06,89,259,340,5,11,105
16-07,186,847,1123,16,17,250
16-09,252,911,1349,17,16,346
16-10,215,444,1600,12,21,157
16-11,203,596,1067,1,16,163
