id,Brooks Lowe,Doug Hammack,Wing Ng,Write-In,over,under
01-42,85,653,1120,7,0,138
01-43,152,569,465,10,3,142
01-44,246,945,769,7,2,226
01-45,94,438,474,3,1,111
01-47,100,620,749,7,3,129
02-01,131,976,1084,5,7,238
02-02,299,1476,2146,15,9,529
02-03,123,730,1134,7,5,257
02-04,147,619,895,8,5,245
02-05,64,291,370,2,2,106
02-06,126,610,965,5,3,255
07-05,91,574,473,1,1,101
07-13,115,679,575,8,0,176
13-02,73,604,587,7,2,152
13-05,156,475,312,9,3,110
13-06,122,911,772,3,6,188
13-07,172,505,493,8,5,139
13-08,191,728,367,5,0,145
13-09,248,1070,882,11,6,217
13-10,209,1634,1819,12,3,390
13-11,147,880,1014,11,5,269
14-01,62,138,306,6,1,84
14-02,377,1428,2706,29,8,652
19-12,364,1614,2028,35,6,492
19-13,134,521,492,0,2,172
19-14,137,638,885,8,4,182
19-15,176,604,887,11,3,230
19-20,222,806,1081,23,6,317
