id,Chad Stall,Dajma Livingston,Mary-Lewis Freeman,Patrice Nealon,Sam Hershey,Write-In,over,under
01-03,254,53,71,396,570,6,17,203
01-04,120,30,55,182,347,3,4,117
01-05,147,24,78,191,322,1,10,160
01-06,164,165,174,171,844,13,21,381
01-07,153,164,148,132,831,10,19,349
01-07A,16,8,31,17,24,0,2,35
01-09,79,44,51,103,567,1,3,106
01-10,91,33,36,354,612,4,10,110
01-11,339,57,95,593,597,8,25,309
01-12,166,56,104,223,600,7,16,234
01-14,167,151,231,181,1508,6,21,386
01-15,345,74,143,168,667,10,15,238
01-16,228,148,152,262,828,4,19,305
01-17,191,45,55,112,281,4,9,135
01-18,331,103,134,147,768,6,14,183
01-20,67,189,215,150,671,12,18,249
01-23,132,320,277,164,767,9,15,401
01-29,272,40,86,521,688,4,20,226
01-30,236,46,65,162,424,3,10,124
01-33,149,75,90,207,642,5,13,223
01-36,281,89,130,414,606,6,29,271
01-37,268,67,97,147,634,4,9,143
01-38,196,118,186,117,506,10,4,172
01-39,288,137,156,174,627,7,15,184
01-46,119,111,254,126,354,8,12,95
01-51,184,52,78,75,297,4,8,105
07-01,166,88,97,114,458,1,10,192
07-03,237,56,83,135,561,2,12,154
07-04,474,213,211,250,1080,13,10,329
07-09,360,145,179,273,826,2,27,272
07-11,183,38,81,91,384,4,13,134
11-01,382,331,264,376,1218,22,34,456
11-02,510,257,211,412,1076,14,36,436
