id,Chris Heagarty,Jacob Arthur,Katie Thuy Long,Write-In,over,under
05-05,1729,838,918,14,1,547
05-07,2044,765,1055,26,10,346
05-08,1162,301,662,18,7,255
07-02,527,343,160,2,1,127
07-06,1230,878,333,2,4,341
07-07,1170,657,335,11,8,295
07-07A,243,84,42,2,1,107
07-10,1506,679,526,10,5,393
07-12,911,336,292,9,4,191
08-02,1388,709,480,13,3,317
08-03,1470,916,572,15,9,371
08-04,627,432,216,10,3,152
08-05,753,459,215,5,0,197
08-06,653,187,203,6,0,115
08-07,774,662,310,5,4,253
08-08,1522,749,477,13,6,359
08-09,683,306,209,6,2,145
08-10,914,426,281,6,0,174
08-11,1143,609,432,12,6,357
20-15,1203,470,777,10,7,244
20-16,1094,421,688,22,5,245
