id,Michele Morrow,Tara Ann Cartwright,Tyler Swanson,Write-In,over,under
04-01,390,115,814,11,2,179
04-02,535,114,918,5,7,143
04-03,418,97,598,3,5,107
04-04,353,71,467,5,0,104
04-05,784,181,1350,11,4,306
04-06,710,159,1118,7,4,284
04-07,878,126,908,12,5,224
04-08,457,134,909,5,4,159
04-09,663,106,764,11,3,190
04-10,622,122,1016,10,7,166
04-11,270,71,563,3,1,83
04-12,642,161,1043,14,2,231
04-13,1071,231,1646,19,8,308
04-14,375,84,660,3,0,127
04-15,523,128,935,5,4,164
04-16,337,84,870,5,2,169
04-17,323,94,695,4,2,110
04-18,464,103,1094,9,1,163
04-19,389,86,769,4,2,83
04-20,533,157,1088,6,3,192
04-21,266,83,497,8,6,91
05-01,886,259,1083,11,4,287
05-03,947,239,1150,9,6,337
05-06,1311,258,1633,14,8,310
18-03,568,120,816,9,2,206
18-08,990,230,1252,16,3,295
20-03,1053,211,1467,21,4,299
20-04,769,171,1252,10,3,191
20-10,728,132,1195,12,4,186
