id,No,Yes,over,under
01-01,200,1043,0,57
01-02,248,1010,0,42
01-03,367,1136,1,66
01-04,193,633,0,33
01-05,256,642,0,35
01-06,301,1550,0,82
01-07,286,1455,2,63
01-07A,24,88,0,21
01-09,168,766,0,20
01-10,268,946,0,36
01-11,560,1387,1,75
01-12,299,1058,0,49
01-13,169,1035,0,20
01-14,366,2219,2,64
01-15,394,1165,4,97
01-16,406,1471,0,69
01-17,241,560,0,31
01-18,477,1156,0,53
01-19,96,692,2,32
01-20,182,1344,0,45
01-21,456,1761,1,84
01-22,259,1665,2,58
01-23,253,1694,2,136
01-25,28,225,0,11
01-26,128,1013,1,37
01-27,186,1204,1,48
01-28,395,2034,1,84
01-29,486,1310,0,61
01-30,302,727,0,41
01-31,232,1178,0,64
01-32,303,1058,0,65
01-33,300,1047,1,56
01-34,93,694,0,13
01-35,141,880,0,38
01-36,489,1255,0,82
01-37,376,945,2,46
01-38,312,955,1,41
01-39,375,1151,1,61
01-40,273,1615,1,51
01-41,221,1064,0,55
01-42,704,1220,1,78
01-43,345,953,0,43
01-44,515,1598,2,80
01-45,380,717,0,24
01-46,207,834,0,38
01-47,538,1025,0,46
01-48,275,1195,0,41
01-49,263,1092,1,67
01-50,222,1251,1,39
01-51,242,537,0,26
02-01,750,1588,2,101
02-02,1655,2653,5,161
02-03,848,1320,1,87
02-04,705,1117,4,93
02-05,263,542,2,28
02-06,728,1148,0,88
03-00,1300,3422,1,199
04-01,329,1122,1,59
04-02,445,1219,0,58
04-03,323,859,0,46
04-04,265,696,0,39
04-05,681,1840,1,113
04-06,535,1662,2,83
04-07,643,1415,1,94
04-08,387,1216,1,64
04-09,493,1159,0,85
04-10,537,1328,2,76
04-11,239,724,0,28
04-12,574,1441,0,79
04-13,885,2272,1,125
04-14,363,841,0,45
04-15,459,1223,0,76
04-16,329,1081,2,55
04-17,304,878,0,46
04-18,447,1323,3,61
04-19,313,979,2,39
04-20,484,1436,1,58
04-21,201,710,0,40
05-01,759,1674,1,96
05-03,784,1785,4,115
05-05,965,2881,3,198
05-06,1019,2379,1,135
05-07,1071,2994,7,174
05-08,560,1758,4,83
06-04,732,1782,1,98
06-05,798,1484,3,85
06-06,1155,2956,1,197
06-07,721,1535,1,110
06-08,401,1037,1,49
06-09,1555,3667,2,258
06-10,915,2063,1,133
07-01,246,828,2,50
07-02,294,827,1,38
07-03,318,888,2,32
07-04,651,1831,2,96
07-05,355,848,0,38
07-06,789,1899,1,99
07-07,709,1686,0,81
07-07A,86,370,0,23
07-09,533,1486,0,65
07-10,743,2240,1,135
07-11,264,633,0,31
07-12,418,1268,1,56
07-13,460,1033,0,60
08-02,801,1997,1,111
08-03,833,2378,1,141
08-04,511,869,1,59
08-05,465,1112,0,52
08-06,224,879,0,61
08-07,657,1269,2,80
08-08,832,2177,3,114
08-09,360,934,0,60
08-10,438,1307,0,56
08-11,616,1816,1,127
09-01,660,744,1,67
09-02,574,1085,2,86
09-03,907,1520,2,98
10-01,411,368,1,33
10-02,770,1275,1,99
10-03,552,1014,0,71
10-05,954,1439,6,80
10-06,922,2316,2,138
11-01,686,2236,4,157
11-02,760,2073,1,118
12-01,1650,2709,3,222
12-02,1048,2173,4,156
12-04,1408,2017,2,164
12-06,1203,2160,1,157
12-07,831,1184,1,71
12-08,954,2047,1,143
12-09,1277,2264,3,141
12-10,1025,2365,2,148
12-11,846,1334,1,96
13-01,560,2166,1,110
13-02,425,948,0,52
13-05,250,774,1,40
13-06,591,1321,0,90
13-07,390,888,0,44
13-08,301,1077,1,57
13-09,540,1781,2,111
13-10,1138,2753,1,175
13-11,714,1501,0,112
14-01,280,292,0,26
14-02,2052,2867,1,280
15-01,1106,1662,3,135
15-02,1334,2351,2,157
15-03,1457,2015,3,150
15-04,638,971,1,65
16-01,578,938,2,53
16-02,527,1854,0,78
16-03,281,626,2,29
16-04,656,1283,2,83
16-05,543,935,1,83
16-06,276,502,0,31
16-07,731,1630,1,77
16-09,796,1974,1,120
16-10,478,1888,1,81
16-11,469,1521,1,55
17-01,368,1040,0,52
17-02,349,697,0,40
17-03,935,2733,1,140
17-04,1103,2523,1,157
17-05,581,1575,3,77
17-06,531,822,0,69
17-07,374,1577,2,63
17-09,300,1528,0,75
17-10,223,456,0,27
17-11,540,1762,1,71
17-12,410,1368,2,59
17-13,916,2110,3,123
18-01,388,1801,3,96
18-02,1326,2168,2,152
18-03,464,1200,0,57
18-04,1107,1855,1,112
18-05,1101,2644,2,146
18-06,504,1718,2,100
18-07,1057,1546,3,104
18-08,788,1867,1,130
19-03,672,1203,2,108
19-05,913,1378,1,133
19-07,1127,2279,3,150
19-09,1249,1784,2,121
19-11,681,1437,0,116
19-12,1427,2926,3,183
19-13,358,891,1,71
19-14,530,1232,0,92
19-15,607,1229,3,72
19-16,641,1008,2,90
19-17,826,2234,0,113
19-18,759,1445,1,91
19-19,1579,2997,4,215
19-20,769,1555,2,129
19-21,962,2167,1,137
20-01,632,1565,3,117
20-03,823,2126,0,106
20-04,606,1676,1,115
20-05,894,2102,1,106
20-06A,871,2392,1,127
20-06B,699,1764,1,123
20-08,924,2259,5,113
20-09,545,1420,1,79
20-10,568,1625,2,62
20-11,1037,2707,2,163
20-12,989,2724,2,138
20-14,1097,3255,2,178
20-15,555,2027,3,126
20-16,562,1800,0,113
20-17,794,2150,0,103
