id,Mark McMains,Matt Calabria,over,under
01-01,210,1063,1,26
01-02,248,1015,0,37
01-03,615,900,0,55
01-04,323,500,0,35
01-05,371,517,1,44
01-06,371,1490,2,70
01-07,380,1384,0,42
01-07A,29,95,0,9
01-09,183,747,0,24
01-10,379,828,0,43
01-11,949,999,0,75
01-12,450,919,1,36
01-13,165,1024,0,35
01-14,380,2206,2,63
01-15,604,1010,1,45
01-16,542,1346,1,57
01-17,365,450,0,17
01-18,575,1065,1,44
01-19,52,754,0,17
01-20,140,1397,2,32
01-21,521,1727,1,53
01-22,108,1843,1,32
01-23,318,1702,0,64
01-25,27,232,0,2
01-26,93,1055,0,31
01-27,185,1216,0,38
01-28,309,2161,0,44
01-29,732,1058,1,66
01-30,378,658,1,36
01-31,250,1189,0,35
01-32,337,1048,1,40
01-33,412,934,0,58
01-34,44,734,3,19
01-35,65,970,0,27
01-36,776,1001,1,48
01-37,521,821,0,27
01-38,353,931,0,25
01-39,444,1112,1,31
01-40,145,1756,1,38
01-41,262,1045,1,32
01-42,949,1004,1,49
01-43,410,900,0,31
01-44,625,1524,0,46
01-45,417,682,4,21
01-46,190,866,1,22
01-47,693,878,1,36
01-48,282,1194,1,34
01-49,308,1086,3,26
01-50,105,1378,2,29
01-51,288,487,0,28
02-01,1103,1280,0,58
02-02,2222,2158,2,92
02-03,1175,1036,2,43
02-04,1014,868,1,36
02-05,386,437,2,12
02-06,1035,890,1,38
03-00,2008,2818,1,94
04-01,454,1014,1,42
04-02,563,1119,0,40
04-03,406,799,1,22
04-04,354,629,0,17
04-05,838,1714,0,81
04-06,763,1452,0,67
04-07,1036,1061,1,55
04-08,443,1185,0,40
04-09,683,1014,1,39
04-10,657,1232,2,52
04-11,275,690,1,25
04-12,730,1323,1,42
04-13,1100,2106,2,75
04-14,413,803,1,32
04-15,558,1143,2,55
04-16,402,1020,1,44
04-17,339,856,0,33
04-18,517,1264,0,53
04-19,420,888,0,25
04-20,569,1358,0,52
04-21,253,678,0,20
05-01,921,1559,3,47
05-03,979,1659,3,47
05-05,1250,2717,0,80
05-06,1201,2261,0,72
05-07,1102,3056,3,85
05-08,601,1757,0,47
06-04,995,1560,4,54
06-05,1250,1074,1,43
06-06,1743,2485,3,78
06-07,959,1356,2,50
06-08,555,892,1,40
06-09,2485,2879,2,120
06-10,1490,1553,2,67
07-01,332,756,1,37
07-02,427,696,0,37
07-03,436,783,0,21
07-04,735,1785,1,59
07-05,404,801,1,35
07-06,1130,1577,1,80
07-07,886,1520,2,68
07-07A,164,293,0,24
07-09,651,1368,2,63
07-10,912,2124,0,83
07-11,358,552,0,18
07-12,554,1141,1,47
07-13,547,963,1,42
08-02,1011,1824,3,71
08-03,1135,2128,2,88
08-04,675,743,0,22
08-05,629,960,0,40
08-06,281,859,0,24
08-07,932,1017,1,58
08-08,1172,1867,0,87
08-09,449,865,0,37
08-10,581,1168,0,52
08-11,860,1633,1,66
09-01,869,569,0,34
09-02,712,998,0,37
09-03,1218,1277,0,32
10-01,544,255,1,13
10-02,1004,1110,0,31
10-03,714,890,1,32
10-05,1198,1242,0,39
10-06,1116,2193,3,66
11-01,881,2126,0,76
11-02,1007,1863,1,81
12-01,2387,2108,4,85
12-02,1507,1796,1,77
12-04,2099,1411,1,80
12-06,1738,1698,2,83
12-07,1088,957,2,40
12-08,1388,1689,4,64
12-09,1961,1642,1,81
12-10,1587,1878,0,75
12-11,1133,1098,1,45
13-01,596,2200,0,41
13-02,581,806,3,35
13-05,245,803,0,17
13-06,727,1229,0,46
13-07,367,931,0,26
13-08,279,1141,0,19
13-09,537,1850,0,47
13-10,1538,2424,1,104
13-11,967,1296,0,61
14-01,383,201,0,13
14-02,3012,2099,3,86
15-01,1604,1237,1,64
15-02,1839,1907,6,92
15-03,2133,1431,0,61
15-04,870,769,2,34
16-01,753,771,1,46
16-02,448,1955,3,53
16-03,342,575,2,19
16-04,833,1150,4,37
16-05,694,822,1,45
16-06,277,511,1,20
16-07,957,1435,0,47
16-09,1011,1808,0,72
16-10,358,2058,0,32
16-11,442,1578,0,26
17-01,385,1051,1,23
17-02,449,614,0,23
17-03,1019,2701,0,89
17-04,1235,2475,3,71
17-05,589,1599,3,45
17-06,685,707,1,29
17-07,287,1695,1,33
17-09,202,1673,2,26
17-10,236,446,3,22
17-11,548,1793,4,29
17-12,431,1383,0,26
17-13,1028,2057,1,66
18-01,418,1826,1,43
18-02,1836,1729,1,82
18-03,634,1048,3,37
18-04,1423,1572,2,78
18-05,1603,2221,1,68
18-06,605,1666,0,53
18-07,1445,1208,3,54
18-08,1001,1735,2,48
19-03,934,1010,0,41
19-05,1339,1038,0,48
19-07,1632,1856,2,69
19-09,1734,1373,3,46
19-11,978,1202,2,52
19-12,2084,2347,1,107
19-13,489,801,1,30
19-14,827,992,1,34
19-15,888,985,2,36
19-16,795,913,0,33
19-17,940,2179,0,54
19-18,1047,1205,3,41
19-19,2399,2311,1,84
19-20,1155,1253,0,47
19-21,1289,1928,1,49
20-01,838,1431,1,47
20-03,1147,1830,4,74
20-04,779,1573,0,44
20-05,1285,1747,2,69
20-06A,1235,2087,0,69
20-06B,981,1558,0,48
20-08,1334,1909,3,55
20-09,753,1247,1,44
20-10,714,1484,1,58
20-11,1492,2323,9,85
20-12,1401,2387,2,63
20-14,1448,2999,3,82
20-15,739,1923,0,49
20-16,675,1755,3,42
20-17,988,1999,2,58
