id,Becky Lew-Hobbs,Daniel L. Grant-King,Michael T. Williams,Tara Waters,Write-In,over,under
01-13,157,32,48,779,15,8,184
01-19,103,38,83,517,6,3,71
01-22,176,75,159,1416,11,9,138
01-26,107,44,86,781,11,6,144
01-28,419,94,165,1543,8,15,270
01-34,62,40,60,541,5,3,89
01-35,121,48,107,681,2,5,95
01-40,251,79,181,1241,4,13,171
01-50,130,77,145,1018,10,11,122
13-01,540,142,207,1599,20,17,312
17-01,299,74,135,744,4,11,193
17-02,310,44,99,409,8,18,198
17-03,748,168,321,1956,24,34,558
17-05,515,128,210,1103,12,16,252
17-06,537,57,150,446,14,10,208
17-07,308,84,188,1239,10,14,173
17-09,250,98,168,1190,7,15,175
17-10,175,39,79,306,9,2,96
17-11,508,118,223,1264,14,14,233
17-12,380,85,171,946,19,24,214
17-13,945,127,273,1336,18,39,414
