id,Arno Zegerman,Dylan Hale,Gregory Marcos (Gregorio) Lyon,Tayon Williams Dancy,Terry Mahaffey,Write-In,over,under
03-01,404,367,324,287,593,5,0,96
03-02,102,142,116,77,180,0,0,55
04-13,18,12,8,6,22,0,0,4
20-01,152,133,105,121,261,0,0,44
20-03,461,382,345,231,598,3,4,64
20-04,8,12,8,7,17,0,0,2
20-05,19,14,9,16,25,0,0,6
20-06A,623,391,350,291,742,4,2,99
20-06B,404,323,308,211,567,5,0,76
20-08,501,484,366,294,650,8,0,107
20-09,356,244,239,168,478,4,0,65
20-11,486,392,351,259,685,8,2,107
20-12,456,297,267,183,597,1,0,89
TRANS,1,2,2,0,0,0,0,0
