id,Charlie Adcock,Marilyn Gardner,Mike Ferig,Nolan Perry,William (Bill) Harris,Write-In,over,under
06-04,52,73,27,40,66,4,0,62
06-10,5,3,3,4,4,0,0,2
12-01,564,562,383,520,522,22,0,655
12-02,423,561,375,383,535,37,0,551
12-04,263,277,183,254,243,17,3,266
12-06,689,703,457,603,620,19,0,680
12-07,17,32,16,16,27,0,0,30
12-08,243,410,218,239,418,10,0,449
12-09,673,566,489,582,551,11,9,551
12-10,80,97,58,73,82,0,0,96
12-11,56,98,44,52,89,7,0,78
18-07,10,13,5,6,16,1,0,14
TRANS,2,1,0,1,1,0,0,1
