id,Adam B. Wright,Ben Clapsaddle,Faith Cross,Jim Thompson,Joe Kimray,Tom Ballman,Write-In,over,under
19-03,350,338,190,135,258,145,9,0,241
19-05,167,149,115,42,90,89,5,0,118
19-07,539,445,531,171,367,405,25,0,496
19-09,5,0,1,2,2,0,0,0,2
19-11,343,324,208,106,197,166,10,0,265
19-15,97,75,110,56,66,96,6,0,84
19-18,162,159,115,76,78,80,6,0,158
19-19,396,328,311,124,320,267,6,0,321
19-20,244,205,198,120,120,187,14,3,244
19-21,99,94,79,43,69,66,4,0,107
19-22,300,266,247,103,228,204,8,0,224
19-23,245,224,213,124,168,164,13,0,220
TRANS,2,3,0,1,1,0,0,0,2
