id,No,Yes,over,under
04-01,1013,820,0,88
04-02,1367,1056,0,113
04-03,815,839,1,67
04-04,815,789,1,71
04-05,974,789,0,65
04-06,1483,1176,0,130
04-07,1512,991,0,90
04-08,1108,1051,0,96
04-09,1289,1120,0,112
04-10,1387,1033,2,96
04-11,751,549,0,64
04-12,1425,1021,0,84
04-13,2269,1808,0,143
04-14,857,623,0,50
04-15,1208,929,0,98
04-16,1030,777,0,85
04-17,731,685,1,63
04-18,1181,1195,0,109
04-19,917,663,0,35
04-20,1455,1115,0,124
04-21,649,775,1,67
05-01,890,667,0,80
05-03,787,718,0,62
05-05,3,0,0,5
05-06,2487,1960,0,192
05-07,1245,1213,0,154
05-08,51,84,0,5
06-07,788,631,0,87
12-10,665,550,3,53
18-02,705,473,0,60
18-03,1129,889,1,92
18-05,2082,1507,0,127
18-08,1600,1784,1,139
20-04,1581,1315,1,99
20-05,2004,1382,0,146
20-10,1543,1254,2,98
20-14,3648,2733,4,276
20-15,2066,2092,0,167
20-16,1931,2004,1,177
20-17,2615,1815,3,204
