id,Against,For,over,under
01-01,822,796,5,105
01-02,880,685,0,74
01-03,727,1172,0,107
01-04,382,560,1,46
01-05,396,639,0,56
01-06,1235,1131,0,140
01-07,1218,1267,3,140
01-07A,38,121,0,38
01-09,603,484,2,51
01-10,643,774,0,47
01-11,739,1735,2,90
01-12,693,970,0,97
01-13,847,579,2,79
01-14,1931,1295,3,159
01-15,782,1688,2,189
01-16,1076,1508,3,132
01-17,323,623,2,53
01-18,801,1349,1,104
01-19,477,712,2,60
01-20,1038,960,1,111
01-21,1431,1947,3,151
01-22,1036,1808,1,130
01-23,1744,2609,4,318
01-25,192,301,0,27
01-26,819,817,2,95
01-27,1123,795,3,93
01-28,1597,1644,5,175
01-29,762,1314,2,82
01-30,473,656,4,48
01-31,1075,1293,6,156
01-32,870,1196,1,109
01-33,723,926,1,88
01-34,574,552,5,56
01-35,698,839,2,84
01-36,723,1524,1,119
01-37,617,981,2,101
01-38,743,1034,2,132
01-39,777,1261,2,90
01-40,1131,1824,3,151
01-41,870,795,0,101
01-42,733,1751,2,115
01-43,667,1239,3,101
01-44,1089,1754,4,133
01-45,544,912,1,66
01-46,599,1119,2,153
01-47,652,1220,3,93
01-48,982,835,0,97
01-49,865,1475,1,151
01-50,822,1401,3,125
01-51,344,567,1,53
02-01,999,1895,1,92
02-02,1715,3929,5,180
02-03,788,1879,2,92
02-04,642,1589,5,81
02-05,342,634,1,36
02-06,674,1729,4,93
03-01,1537,3012,8,132
03-02,785,1923,4,99
04-01,667,1108,1,147
04-02,944,1443,2,147
04-03,636,991,1,94
04-04,603,966,2,105
04-05,1387,1795,3,148
04-06,1021,1556,6,206
04-07,795,1658,6,134
04-08,888,1274,4,102
04-09,836,1561,2,122
04-10,1003,1383,2,130
04-11,575,709,2,78
04-12,1005,1384,2,141
04-13,1724,2491,2,185
04-14,642,821,3,63
04-15,875,1252,2,108
04-16,777,981,2,132
04-17,683,811,0,66
04-18,1017,1349,4,115
04-19,728,833,1,50
04-20,1015,1508,2,169
04-21,523,904,1,65
05-01,1118,2164,1,139
05-03,1277,2361,3,145
05-05,2236,3767,7,278
05-06,1719,2898,5,175
05-07,2453,4208,9,351
05-08,1558,2311,5,206
06-04,1029,2633,1,132
06-05,698,2143,5,110
06-06,1796,3957,7,188
06-07,1066,2022,4,121
06-08,582,1424,1,69
06-10,1335,3676,3,148
06-11,362,790,0,36
06-12,1817,4887,7,166
07-01,626,903,0,78
07-02,554,823,3,67
07-03,580,809,0,67
07-04,1347,1943,3,158
07-05,576,969,1,76
07-06,1219,2009,7,131
07-07,1239,1868,2,135
07-07A,261,266,2,33
07-09,1038,1676,4,118
07-10,1805,2569,8,184
07-11,443,578,1,59
07-12,879,1360,2,111
07-13,697,1250,5,105
08-02,1487,2121,2,137
08-03,1886,3248,5,232
08-04,591,1070,0,50
08-05,794,1128,1,62
08-06,662,981,0,75
08-07,767,1592,4,68
08-08,1504,2372,1,160
08-09,722,944,1,74
08-10,959,1455,6,96
08-11,1348,2188,2,197
09-01,359,1655,4,85
09-02,679,2359,1,157
