id,Dan Bishop,Jeff Jackson,over,under
01-01,318,1362,4,44
01-02,335,1278,0,26
01-03,713,1248,0,45
01-04,332,644,0,13
01-05,403,656,0,32
01-06,493,1974,0,39
01-07,573,1988,1,66
01-07A,43,149,0,8
01-09,233,892,0,16
01-10,426,1023,1,14
01-11,1134,1364,0,68
01-12,544,1186,1,29
01-13,209,1274,0,21
01-14,472,2854,1,61
01-15,922,1660,1,78
01-16,694,1964,0,61
01-17,405,560,0,34
01-18,692,1527,0,36
01-19,60,1161,0,30
01-20,216,1842,1,51
01-21,799,2662,0,71
01-22,217,2703,1,54
01-23,980,3477,3,215
01-25,63,443,1,13
01-26,133,1564,0,36
01-27,281,1687,0,46
01-28,464,2900,1,56
01-29,821,1298,0,39
01-30,382,773,0,27
01-31,524,1941,0,65
01-32,511,1604,1,60
01-33,506,1199,0,33
01-34,89,1073,1,24
01-35,116,1469,0,38
01-36,964,1348,1,54
01-37,585,1076,0,40
01-38,455,1401,1,54
01-39,559,1511,1,59
01-40,282,2774,0,53
01-41,323,1410,0,33
01-42,1106,1414,1,80
01-43,540,1416,0,54
01-44,742,2175,0,63
01-45,502,984,0,37
01-46,294,1511,1,67
01-47,807,1128,0,33
01-48,388,1484,1,40
01-49,538,1881,0,73
01-50,240,2059,0,52
01-51,318,625,0,22
02-01,1259,1679,1,48
02-02,2694,3048,0,87
02-03,1326,1397,0,38
02-04,1159,1120,1,36
02-05,415,588,0,10
02-06,1227,1228,1,43
03-01,1767,2818,0,104
03-02,1157,1589,0,65
04-01,587,1294,0,42
04-02,751,1741,0,44
04-03,503,1179,0,40
04-04,504,1137,0,35
04-05,1035,2226,1,71
04-06,873,1850,2,64
04-07,1162,1371,0,60
04-08,578,1641,1,48
04-09,877,1590,0,54
04-10,784,1686,0,48
04-11,358,972,1,33
04-12,787,1686,0,57
04-13,1372,2935,0,95
04-14,488,1031,1,11
04-15,679,1510,0,48
04-16,494,1356,0,42
04-17,384,1143,0,33
04-18,698,1735,0,52
04-19,488,1098,0,28
04-20,757,1882,0,55
04-21,383,1079,0,31
05-01,1116,2218,0,88
05-03,1314,2392,2,78
05-05,1707,4456,1,124
05-06,1552,3127,0,118
05-07,1950,4922,1,148
05-08,1015,2977,2,86
06-04,1404,2311,0,80
06-05,1496,1403,0,57
06-06,2315,3513,2,118
06-07,1216,1923,0,74
06-08,755,1272,0,49
06-10,2229,2807,1,125
06-11,451,707,0,28
06-12,3013,3709,2,153
07-01,428,1146,1,32
07-02,455,954,0,35
07-03,492,933,0,30
07-04,944,2422,1,84
07-05,484,1109,0,29
07-06,1216,2081,0,66
07-07,1103,2074,1,66
07-07A,148,393,0,21
07-09,876,1902,0,58
07-10,1258,3204,1,103
07-11,361,700,0,19
07-12,664,1643,0,45
07-13,647,1372,1,37
08-02,1243,2424,0,80
08-03,1665,3585,0,121
08-04,765,919,0,27
08-05,711,1238,0,36
08-06,368,1316,0,34
08-07,1045,1332,0,54
08-08,1474,2479,0,84
08-09,560,1145,0,38
08-10,760,1706,2,48
08-11,1208,2415,0,112
09-01,1148,925,0,30
09-02,1049,2082,0,65
09-03,1995,2820,2,82
10-01,686,452,0,23
10-02,1515,2121,0,88
10-03,1078,1717,0,59
10-05,1560,2017,1,64
10-06,1919,3887,1,109
11-01,1495,3499,3,116
11-02,1331,2831,2,103
12-01,3240,3107,3,134
12-02,2188,3105,1,128
12-04,2940,2369,1,99
12-06,2739,3220,0,148
12-07,1516,1454,0,54
12-08,2008,2743,2,98
12-09,2609,2634,2,109
12-10,2033,2587,0,88
12-11,1543,1669,1,65
13-01,1163,4017,1,131
13-02,693,1097,1,41
13-05,420,1478,0,44
13-06,934,1695,0,47
13-07,510,1500,1,50
13-08,500,2142,0,75
13-09,842,2935,0,88
13-10,1966,3383,3,127
13-11,1150,1805,0,75
14-01,482,305,0,12
14-02,4043,3323,1,119
15-01,1884,1920,0,85
15-02,2432,3008,2,103
15-03,2638,2199,1,78
15-04,1047,1031,0,34
16-01,1150,1733,1,57
16-02,788,3374,3,92
16-03,397,848,1,29
16-04,974,1636,0,41
16-05,870,1330,0,39
16-06,317,749,0,24
16-07,1098,1952,0,65
16-09,1500,3094,2,98
16-10,568,3412,0,64
16-11,820,3193,2,81
17-01,546,1645,0,57
17-02,637,1219,1,36
17-03,1524,4151,1,112
17-05,861,2469,2,88
17-06,848,1202,1,53
17-07,515,2508,0,77
17-09,382,2659,0,65
17-10,310,709,0,36
17-11,960,2909,0,105
17-12,706,2224,1,62
17-13,1389,3207,1,94
17-14,1236,3178,0,94
17-15,725,1528,0,56
18-01,804,2945,2,111
18-02,2182,2360,0,100
18-03,727,1351,1,32
18-04,1759,2281,0,88
18-05,1817,2966,0,90
18-06,900,2480,0,89
18-07,1765,1848,0,72
18-08,1259,2494,2,70
19-03,1381,1707,1,67
19-05,1670,1540,0,60
19-07,2132,2746,0,106
19-09,2468,2422,1,97
19-11,1311,1811,0,58
19-13,688,1171,0,48
19-14,1080,1571,0,72
19-15,1152,1530,0,46
19-16,1077,1429,0,49
19-17,1330,3335,0,111
19-18,1629,2129,0,80
19-19,3296,3612,0,133
19-20,1507,1904,1,64
19-21,1793,2885,2,101
19-22,1291,1681,0,74
19-23,1822,2745,1,101
