id,Sarah Taber,Sean Haugh,Steve Troxler,over,under
01-01,1192,25,443,2,66
01-02,1027,22,555,0,35
01-03,880,21,1053,0,52
01-04,448,9,503,0,29
01-05,413,11,630,0,39
01-06,1696,42,702,0,66
01-07,1708,81,749,0,90
01-07A,147,2,44,0,7
01-09,712,12,389,0,27
01-10,734,12,687,1,29
01-11,868,30,1593,0,75
01-12,909,34,769,0,48
01-13,1100,27,331,1,45
01-14,2479,58,758,0,93
01-15,1324,52,1166,0,119
01-16,1542,50,1060,1,66
01-17,400,17,534,1,47
01-18,1244,41,925,0,45
01-19,1105,26,96,0,24
01-20,1671,67,311,0,61
01-21,2305,95,1044,1,87
01-22,2600,42,276,0,57
01-23,3017,130,1254,2,272
01-25,428,12,72,1,7
01-26,1457,36,198,0,42
01-27,1502,37,427,1,47
01-28,2591,78,674,0,78
01-29,851,26,1238,0,43
01-30,530,8,600,1,43
01-31,1736,88,626,0,80
01-32,1399,73,641,0,63
01-33,866,24,795,1,52
01-34,1000,25,140,1,21
01-35,1393,43,152,1,34
01-36,981,25,1287,0,74
01-37,783,29,834,0,55
01-38,1226,48,575,0,62
01-39,1280,50,725,1,74
01-40,2631,67,360,1,50
01-41,1180,49,494,2,41
01-42,1092,49,1373,1,86
01-43,1233,53,664,0,60
01-44,1841,69,980,2,88
01-45,801,29,650,1,42
01-46,1397,49,347,0,80
01-47,847,29,1042,1,49
01-48,1218,40,612,0,43
01-49,1678,80,664,1,69
01-50,1907,78,314,1,51
01-51,477,17,446,0,25
02-01,1321,49,1540,2,75
02-02,2419,133,3142,1,134
02-03,1054,60,1590,0,57
02-04,872,39,1344,0,61
02-05,457,15,525,0,16
02-06,940,43,1454,0,62
03-01,2379,94,2075,1,140
03-02,1284,63,1377,2,85
04-01,1109,36,720,1,57
04-02,1440,54,980,0,62
04-03,995,40,641,0,46
04-04,955,47,638,1,35
04-05,1768,80,1411,0,74
04-06,1540,45,1127,0,77
04-07,1057,24,1448,1,63
04-08,1401,39,750,0,78
04-09,1360,42,1035,0,84
04-10,1429,39,992,0,58
04-11,839,30,454,0,41
04-12,1354,54,1052,0,70
04-13,2490,94,1695,0,123
04-14,872,37,602,0,18
04-15,1279,59,834,1,64
04-16,1165,44,635,1,47
04-17,964,29,520,0,47
04-18,1485,62,873,0,65
04-19,913,45,611,0,44
04-20,1606,67,950,0,71
04-21,996,48,409,1,39
05-01,1941,95,1279,1,106
05-03,2055,90,1519,1,121
05-05,3955,166,1996,0,171
05-06,2688,92,1848,0,169
05-07,4428,198,2225,1,169
05-08,2670,109,1196,1,104
06-04,1978,109,1606,1,101
06-05,1127,67,1687,0,75
06-06,2966,147,2673,2,160
06-07,1636,81,1397,0,99
06-08,1084,58,884,0,50
06-10,2389,150,2460,2,161
06-11,612,26,505,0,43
06-12,3127,174,3343,0,233
07-01,930,47,588,0,42
07-02,720,23,649,0,52
07-03,711,20,684,0,40
07-04,2029,100,1222,0,100
07-05,919,30,640,0,33
07-06,1526,48,1707,1,84
07-07,1650,65,1442,0,87
07-07A,252,3,276,0,31
07-09,1551,61,1130,1,93
07-10,2713,124,1603,1,125
07-11,535,18,500,0,27
07-12,1317,51,904,2,78
07-13,1137,55,811,1,53
08-02,1896,71,1666,3,111
08-03,3026,139,2032,0,174
08-04,728,43,913,0,27
08-05,937,34,969,0,45
08-06,1151,57,457,0,53
08-07,1000,53,1306,1,71
08-08,2004,93,1810,1,129
08-09,969,50,679,0,43
08-10,1408,74,954,1,79
08-11,2017,92,1491,1,134
09-01,790,43,1238,2,30
09-02,1864,65,1184,0,83
09-03,2464,119,2217,1,98
10-01,356,26,753,0,26
10-02,1876,86,1686,0,76
10-03,1473,72,1246,1,62
10-05,1691,93,1798,0,60
10-06,3410,169,2187,1,149
