id,Carolyn Jennings Thompson,Tom Murry,over,under
01-01,1317,338,0,73
01-02,1207,372,0,60
01-03,1130,799,2,75
01-04,581,376,0,32
01-05,566,461,0,64
01-06,1900,510,0,96
01-07,1894,632,0,102
01-07A,145,43,0,9
01-09,847,253,0,40
01-10,923,489,0,51
01-11,1183,1259,0,124
01-12,1109,577,0,74
01-13,1228,219,0,57
01-14,2738,533,1,116
01-15,1525,992,0,144
01-16,1843,770,0,106
01-17,512,438,0,49
01-18,1427,754,0,74
01-19,1153,71,0,27
01-20,1815,222,0,73
01-21,2580,840,0,112
01-22,2670,235,0,70
01-23,3295,1043,2,335
01-25,443,65,0,12
01-26,1550,137,1,45
01-27,1666,293,0,55
01-28,2847,474,1,99
01-29,1159,921,0,78
01-30,696,428,0,58
01-31,1870,556,0,104
01-32,1570,527,2,77
01-33,1088,569,1,80
01-34,1058,98,0,31
01-35,1467,113,0,43
01-36,1215,1050,0,102
01-37,985,629,0,87
01-38,1356,477,1,77
01-39,1445,595,0,90
01-40,2752,297,0,60
01-41,1355,352,0,59
01-42,1277,1201,1,122
01-43,1361,576,0,73
01-44,2086,783,2,109
01-45,922,549,0,52
01-46,1489,290,1,93
01-47,1016,881,0,71
01-48,1455,401,0,57
01-49,1839,548,0,105
01-50,2039,250,0,62
01-51,559,365,0,41
02-01,1544,1328,1,114
02-02,2815,2834,4,176
02-03,1279,1394,0,88
02-04,1030,1210,0,76
02-05,542,437,0,34
02-06,1106,1301,1,91
03-01,2643,1853,1,192
03-02,1466,1244,1,100
04-01,1231,625,2,65
04-02,1640,806,1,89
04-03,1122,545,0,55
04-04,1096,535,0,45
04-05,2105,1105,0,123
04-06,1744,939,1,105
04-07,1263,1242,1,87
04-08,1558,623,0,87
04-09,1483,933,0,105
04-10,1599,834,0,85
04-11,930,383,2,49
04-12,1576,858,1,95
04-13,2771,1482,2,147
04-14,976,520,0,33
04-15,1440,715,0,82
04-16,1291,526,0,75
04-17,1081,420,0,59
04-18,1635,741,0,109
04-19,1042,514,0,57
04-20,1782,815,0,97
04-21,1061,387,0,45
05-01,2123,1176,2,121
05-03,2234,1400,0,152
05-05,4292,1794,0,202
05-06,2942,1661,0,194
05-07,4768,2035,4,214
05-08,2875,1086,1,118
06-04,2174,1480,3,138
06-05,1299,1549,0,108
06-06,3262,2463,3,220
06-07,1787,1295,1,130
06-08,1202,794,1,79
06-10,2670,2303,2,187
06-11,664,478,0,46
06-12,3440,3147,0,290
07-01,1089,453,1,64
07-02,859,515,0,70
07-03,851,537,1,66
07-04,2309,1011,1,130
07-05,1050,515,0,57
07-06,1908,1323,2,131
07-07,1941,1167,1,135
07-07A,344,177,0,41
07-09,1789,928,1,118
07-10,3051,1344,1,170
07-11,647,391,0,41
07-12,1542,717,0,93
07-13,1308,674,1,74
