id,Ed Eldred,Valerie Zachary,over,under
01-01,1281,369,1,77
01-02,1162,407,0,70
01-03,1086,832,1,87
01-04,551,404,0,34
01-05,541,481,0,69
01-06,1850,552,4,100
01-07,1856,660,3,109
01-07A,145,41,0,11
01-09,816,282,1,42
01-10,879,524,0,61
01-11,1111,1322,0,133
01-12,1086,597,1,76
01-13,1194,252,0,58
01-14,2676,583,3,126
01-15,1479,1028,1,153
01-16,1794,808,2,115
01-17,493,454,1,51
01-18,1376,793,0,86
01-19,1133,82,0,36
01-20,1786,242,0,82
01-21,2509,883,3,137
01-22,2636,255,1,83
01-23,3204,1115,1,355
01-25,436,69,0,15
01-26,1516,163,0,54
01-27,1604,352,0,58
01-28,2790,529,0,102
01-29,1085,987,0,86
01-30,659,457,0,67
01-31,1816,598,0,116
01-32,1530,563,1,82
01-33,1045,611,0,82
01-34,1028,118,1,40
01-35,1423,148,0,52
01-36,1158,1102,1,106
01-37,933,672,1,95
01-38,1310,510,2,89
01-39,1399,634,2,95
01-40,2711,316,1,81
01-41,1316,389,2,59
01-42,1228,1225,3,145
01-43,1322,604,1,83
01-44,2023,837,2,118
01-45,888,576,0,59
01-46,1457,310,0,106
01-47,967,928,0,73
01-48,1406,447,0,60
01-49,1789,590,0,113
01-50,2009,276,0,66
01-51,538,383,0,44
02-01,1484,1374,2,127
02-02,2706,2931,2,190
02-03,1199,1473,0,89
02-04,993,1245,0,78
02-05,503,473,0,37
02-06,1055,1345,2,97
03-01,2553,1929,0,207
03-02,1410,1284,1,116
04-01,1210,642,0,71
04-02,1604,835,0,97
04-03,1093,571,0,58
04-04,1063,554,3,56
04-05,2041,1156,2,134
04-06,1692,986,0,111
04-07,1192,1302,3,96
04-08,1496,681,0,91
04-09,1441,963,2,115
04-10,1550,875,1,92
04-11,901,407,1,55
04-12,1545,882,1,102
04-13,2687,1545,4,166
04-14,935,556,0,38
04-15,1383,756,2,99
04-16,1255,557,0,80
04-17,1055,444,0,61
04-18,1602,765,1,117
04-19,1019,536,0,60
04-20,1743,847,1,103
04-21,1044,402,1,46
05-01,2038,1251,1,132
05-03,2181,1440,0,165
05-05,4160,1888,5,235
05-06,2882,1704,1,210
05-07,4663,2117,3,238
05-08,2829,1116,0,135
06-04,2114,1534,3,144
06-05,1234,1611,1,110
06-06,3148,2552,1,247
06-07,1736,1340,0,137
06-08,1161,826,0,89
06-10,2547,2401,1,213
06-11,636,496,1,55
06-12,3304,3260,3,310
07-01,1042,498,0,67
07-02,831,538,2,73
07-03,827,559,1,68
07-04,2260,1051,1,139
07-05,1008,550,0,64
07-06,1793,1415,2,153
07-07,1880,1222,0,142
07-07A,345,173,0,44
07-09,1740,968,0,128
07-10,2935,1436,4,191
07-11,624,410,0,45
07-12,1489,765,2,96
07-13,1254,715,1,87
08-02,2192,1405,2,148
08-03,3259,1874,1,237
08-04,820,842,0,49
08-05,1103,803,1,78
08-06,1239,415,0,64
08-07,1154,1176,0,101
08-08,2206,1650,0,181
08-09,1062,608,0,71
08-10,1551,845,1,119
08-11,2193,1334,0,208
09-01,860,1183,1,59
09-02,1981,1087,1,127
09-03,2638,2130,0,131
10-01,407,705,0,49
10-02,1989,1604,0,131
10-03,1602,1153,0,99
10-05,1871,1666,1,104
10-06,3659,2054,0,203
11-01,3202,1682,2,227
11-02,2585,1496,0,186
12-01,2723,3507,3,251
12-02,2856,2352,2,212
12-04,2117,3105,2,185
12-06,2888,2970,1,248
12-07,1320,1610,1,93
12-08,2476,2184,1,190
12-09,2300,2835,2,217
12-10,2317,2219,1,171
12-11,1482,1665,0,131
13-01,3876,1259,2,175
13-02,984,760,0,88
13-05,1406,471,0,65
13-06,1523,1041,2,110
13-07,1436,536,1,88
13-08,2072,538,0,107
13-09,2779,934,2,150
13-10,3029,2189,4,257
13-11,1614,1265,2,149
14-01,267,502,0,30
14-02,2944,4299,2,241
15-01,1695,2059,2,133
15-02,2764,2587,1,193
15-03,1956,2826,1,133
15-04,945,1095,0,72
16-01,1589,1231,1,120
16-02,3249,875,1,132
16-03,795,427,0,53
16-04,1481,1083,1,86
16-05,1233,925,1,80
16-06,707,343,1,39
16-07,1803,1185,2,125
16-09,2946,1581,1,166
16-10,3304,627,1,112
16-11,3071,895,3,127
17-01,1549,602,1,96
17-02,1117,700,0,76
17-03,3910,1665,1,212
17-05,2334,944,1,141
17-06,1130,882,1,91
17-07,2406,588,0,106
17-09,2586,430,0,90
17-10,653,346,0,56
17-11,2793,1038,0,143
17-12,2124,780,1,88
17-13,3020,1492,3,176
17-14,3034,1334,2,138
17-15,1433,779,1,96
18-01,2786,903,1,172
18-02,2116,2350,3,173
18-03,1242,806,0,63
18-04,2061,1924,0,143
18-05,2669,2025,1,181
18-06,2354,981,3,131
18-07,1632,1927,1,125
18-08,2321,1376,0,128
19-03,1573,1468,2,113
19-05,1359,1804,1,106
19-07,2474,2303,3,204
19-09,2234,2578,3,173
19-11,1629,1413,0,138
19-13,1082,742,0,83
19-14,1448,1152,3,120
19-15,1376,1254,4,94
19-16,1354,1125,1,75
19-17,3147,1436,1,192
19-18,1957,1747,2,132
19-19,3230,3532,2,277
19-20,1752,1612,2,110
19-21,2692,1914,8,167
19-22,1484,1423,0,139
19-23,2512,1969,3,185
20-01,1961,1270,3,143
20-03,2337,1670,0,186
20-04,2020,1116,2,112
20-05,2105,1706,0,174
20-06A,2878,1755,0,219
20-06B,1873,1333,1,141
20-08,2499,1861,4,226
20-09,1453,1052,1,99
20-10,1840,955,0,118
20-11,3247,2272,0,258
20-12,3414,2218,3,211
20-14,4297,2406,2,264
20-15,2884,1294,2,181
20-16,2730,1243,1,153
20-17,2874,1620,1,178
