id,Christine M. Walczyk,under
01-04,685,304
01-09,929,210
01-10,1075,388
01-12,1311,449
01-13,1257,247
01-14,2846,542
01-15,1834,827
01-17,639,360
01-18,1651,604
01-28,2873,548
01-30,808,375
01-34,1021,166
01-36,1564,803
01-37,1192,509
01-38,1435,476
01-39,1588,542
01-43,1501,509
01-44,2277,703
01-45,1073,450
01-46,1515,358
01-51,663,305
07-03,1016,439
07-04,2574,877
07-05,1183,439
07-09,2023,813
07-11,732,349
07-12,1735,617
07-13,1425,632
08-02,2603,1144
08-06,1369,349
08-09,1259,482
13-02,1242,590
13-05,1518,424
13-06,1857,819
17-01,1697,551
17-05,2576,844
17-10,719,336
