id,Renee Jordan,under
01-04,678,311
01-09,930,209
01-10,1071,394
01-12,1318,442
01-13,1259,245
01-14,2850,538
01-15,1824,837
01-17,638,361
01-18,1652,603
01-28,2898,523
01-30,801,381
01-34,1029,158
01-36,1565,802
01-37,1187,514
01-38,1435,476
01-39,1581,549
01-43,1498,512
01-44,2278,702
01-45,1078,445
01-46,1509,364
01-51,661,307
07-03,1021,437
07-04,2568,883
07-05,1176,446
07-09,2023,813
07-11,727,354
07-12,1727,625
07-13,1426,631
08-02,2585,1162
08-06,1369,349
08-09,1255,487
13-02,1241,591
13-05,1525,417
13-06,1852,824
17-01,1700,548
17-05,2597,823
17-10,730,325
