id,Allison A. Dahle,Matthew Kordon,Philip Hensley,over,under
01-32,1508,73,511,0,84
01-48,1415,63,373,0,62
01-49,1770,88,524,0,110
04-01,1214,47,590,0,72
04-02,1618,66,777,0,75
04-03,1094,44,536,0,48
04-04,1075,41,519,0,41
04-06,1716,50,930,0,93
04-07,1223,38,1258,0,74
04-10,1549,67,819,1,82
04-11,908,41,363,1,51
04-12,1539,66,827,3,95
04-13,2722,106,1423,1,150
04-14,948,51,493,1,36
04-15,1416,71,675,0,75
04-16,1264,48,510,0,70
04-19,1023,44,497,0,50
04-20,1767,83,755,0,89
18-03,1241,48,756,1,65
18-08,2311,130,1272,0,112
20-03,2369,151,1502,0,171
