id,Jerry Doliner,Joe John,Mike Munger,over,under
02-01,1239,1575,83,0,90
02-05,434,534,20,1,24
07-01,430,1048,70,1,58
07-02,476,867,39,0,62
07-05,489,1024,52,1,56
07-06,1239,1921,81,0,122
07-07,1128,1915,90,2,109
07-07A,167,351,3,0,41
07-10,1267,2966,165,2,166
07-11,368,647,23,0,42
07-12,670,1525,67,0,90
07-13,645,1270,65,0,77
08-02,1244,2287,95,1,120
08-03,1652,3334,175,1,209
08-04,737,882,59,0,33
08-05,723,1154,56,0,52
08-06,346,1230,74,0,68
08-07,1091,1207,67,0,66
08-08,1499,2295,107,1,135
08-09,527,1102,54,0,58
08-10,758,1596,65,0,97
08-11,1205,2253,102,1,174
