id,Chad Brown,Elaine Marshall,over,under
01-01,327,1339,1,61
01-02,327,1271,0,41
01-03,645,1306,0,55
01-04,307,663,0,19
01-05,375,673,0,43
01-06,436,1988,4,78
01-07,602,1942,1,83
01-07A,40,150,0,9
01-09,216,888,1,34
01-10,384,1051,1,28
01-11,1040,1441,1,84
01-12,522,1185,1,52
01-13,194,1265,0,45
01-14,472,2831,0,85
01-15,903,1643,1,114
01-16,677,1957,1,84
01-17,403,552,0,44
01-18,677,1527,0,51
01-19,71,1155,0,25
01-20,210,1828,0,72
01-21,785,2653,0,94
01-22,218,2693,1,63
01-23,1008,3371,3,293
01-25,57,451,0,12
01-26,139,1556,0,38
01-27,263,1706,1,44
01-28,443,2904,0,74
01-29,759,1341,0,58
01-30,383,760,0,40
01-31,527,1913,0,90
01-32,497,1608,0,71
01-33,492,1203,0,43
01-34,98,1062,0,27
01-35,113,1480,1,29
01-36,931,1351,0,85
01-37,572,1068,1,60
01-38,437,1409,0,65
01-39,544,1506,0,80
01-40,296,2754,1,58
01-41,320,1394,0,52
01-42,1060,1446,0,95
01-43,547,1402,0,61
01-44,719,2174,1,86
01-45,500,981,0,42
01-46,281,1502,0,90
01-47,804,1115,1,49
01-48,370,1500,0,43
01-49,538,1858,2,94
01-50,256,2042,1,52
01-51,327,608,0,30
02-01,1211,1700,1,75
02-02,2659,3037,1,132
02-03,1293,1411,0,57
02-04,1161,1095,0,60
02-05,426,571,0,16
02-06,1188,1242,0,69
03-01,1770,2764,2,153
03-02,1154,1571,0,86
04-01,560,1312,0,51
04-02,738,1734,0,64
04-03,513,1164,2,43
04-04,494,1141,1,40
04-05,1019,2228,1,85
04-06,832,1883,2,72
04-07,1137,1388,0,68
04-08,557,1645,0,66
04-09,879,1561,0,81
04-10,790,1665,1,62
04-11,356,965,0,43
04-12,788,1671,0,71
04-13,1348,2919,1,134
04-14,476,1023,2,28
04-15,656,1517,0,64
04-16,498,1338,0,56
04-17,383,1132,0,45
04-18,697,1711,1,76
04-19,473,1099,0,42
04-20,739,1877,0,78
04-21,377,1076,0,40
05-01,1109,2211,0,102
05-03,1300,2363,2,121
05-05,1703,4416,2,167
05-06,1531,3105,1,160
05-07,1971,4875,1,174
05-08,1027,2946,0,107
06-04,1417,2261,1,116
06-05,1468,1402,1,85
06-06,2332,3442,0,174
06-07,1220,1897,0,96
06-08,747,1261,2,66
06-10,2226,2766,1,169
06-11,475,676,0,35
06-12,3063,3576,0,238
07-01,412,1149,0,46
07-02,445,949,1,49
07-03,472,940,3,40
07-04,939,2411,0,101
07-05,471,1113,0,38
07-06,1159,2117,0,87
07-07,1078,2074,1,91
07-07A,139,398,0,25
07-09,864,1872,2,98
07-10,1270,3150,1,145
07-11,335,720,0,26
07-12,646,1638,0,68
07-13,612,1387,0,58
08-02,1199,2437,1,110
08-03,1690,3500,0,181
08-04,755,920,0,36
08-05,697,1239,0,49
08-06,361,1305,0,52
08-07,1040,1331,0,60
08-08,1449,2459,0,129
08-09,550,1143,0,48
08-10,758,1679,1,78
08-11,1175,2416,0,144
09-01,1090,969,1,43
09-02,1032,2070,1,93
09-03,1939,2847,0,113
10-01,641,489,0,31
10-02,1482,2149,1,92
10-03,1051,1732,2,69
10-05,1523,2035,1,83
10-06,1902,3841,1,172
11-01,1505,3434,0,174
11-02,1284,2850,1,132
12-01,3208,3089,0,187
12-02,2217,3059,1,145
12-04,2926,2340,1,142
12-06,2751,3175,1,180
12-07,1469,1481,1,73
12-08,2037,2669,4,141
12-09,2597,2573,2,182
12-10,2045,2526,1,136
12-11,1528,1646,2,102
13-01,1132,4028,3,149
13-02,661,1118,0,53
13-05,413,1481,0,48
13-06,934,1675,0,67
13-07,481,1517,0,63
13-08,509,2130,1,77
13-09,835,2921,0,109
13-10,1959,3343,1,176
13-11,1113,1819,2,96
14-01,466,314,0,19
14-02,4000,3306,4,176
15-01,1844,1944,1,100
15-02,2380,3021,1,143
15-03,2592,2207,3,114
15-04,978,1086,1,47
16-01,1118,1743,1,79
16-02,778,3376,1,102
16-03,389,849,0,37
16-04,939,1661,0,51
16-05,825,1357,1,56
16-06,316,745,0,29
16-07,1037,1993,0,85
16-09,1487,3087,1,119
16-10,539,3418,2,85
16-11,799,3196,0,101
17-01,524,1652,0,72
17-02,634,1208,0,51
17-03,1507,4135,2,144
17-05,866,2466,4,84
17-06,814,1218,1,71
17-07,507,2513,2,78
17-09,385,2655,1,65
17-10,307,713,0,35
17-11,935,2924,0,115
17-12,708,2206,1,78
17-13,1354,3213,0,124
17-14,1185,3227,1,95
17-15,717,1526,1,65
18-01,787,2938,0,137
18-02,2122,2396,2,122
18-03,719,1350,0,42
18-04,1719,2310,0,99
18-05,1801,2954,0,120
18-06,866,2491,2,110
18-07,1746,1840,0,99
18-08,1246,2489,0,90
19-03,1360,1706,2,88
19-05,1665,1521,2,82
19-07,2109,2713,2,160
19-09,2400,2460,0,128
19-11,1273,1815,0,92
19-13,687,1163,0,57
19-14,1066,1563,0,94
19-15,1140,1525,1,62
19-16,1041,1457,0,57
19-17,1319,3317,0,140
19-18,1615,2119,2,102
19-19,3268,3574,2,197
19-20,1493,1911,0,72
19-21,1762,2890,2,127
19-22,1310,1653,0,83
19-23,1803,2733,0,133
20-01,1148,2123,0,106
20-03,1497,2563,0,133
20-04,978,2173,0,99
20-05,1522,2342,2,119
20-06A,1576,3117,0,159
20-06B,1199,2042,0,107
20-08,1671,2747,1,171
20-09,888,1638,2,77
20-10,836,1998,0,79
20-11,2075,3522,0,180
20-12,2028,3658,2,158
20-14,2168,4615,4,182
20-15,1188,3033,2,138
20-16,1133,2864,0,130
20-17,1446,3083,1,143
