id,Angela McCarty,Dan Blue,Sammie Brooks,over,under
01-14,471,2753,69,0,95
01-19,65,1133,31,0,22
01-20,194,1794,59,0,63
01-21,765,2531,117,2,117
01-22,206,2659,53,0,57
01-25,56,432,19,0,13
01-26,127,1534,30,1,41
01-34,90,1045,22,0,30
01-35,105,1445,40,0,33
01-40,273,2701,75,0,60
01-50,232,2011,56,1,51
09-02,1024,1980,89,0,103
10-03,1059,1613,99,2,81
10-05,1566,1889,99,1,87
10-06,1901,3671,170,0,174
13-01,747,2200,106,2,106
16-02,770,3239,137,2,109
16-03,389,794,50,1,41
16-06,295,711,46,1,37
16-09,1030,2273,105,0,102
16-10,548,3303,99,1,93
16-11,805,3056,112,0,123
17-02,35,55,1,0,3
17-03,1460,3973,177,3,175
17-05,834,2395,96,4,91
17-07,485,2431,90,0,94
17-09,384,2562,92,0,68
17-11,953,2778,126,0,117
17-12,704,2132,84,2,71
17-13,1374,3055,122,0,140
17-14,1227,3029,127,1,124
17-15,737,1443,55,0,74
19-17,1298,3181,144,0,153
19-21,1769,2718,148,3,144
