id,Gale Adcock,under
01-02,1322,319
01-16,2082,637
01-31,2063,467
01-32,1736,440
01-33,1264,474
01-41,1449,317
01-48,1551,362
01-49,2038,454
04-01,1423,500
04-02,1905,631
04-03,1298,424
04-04,1223,453
04-05,2392,941
04-06,1992,797
04-10,1846,672
04-11,1031,333
04-12,1797,733
04-13,3264,1138
04-14,1090,440
04-15,1646,594
04-16,1466,426
04-19,1199,414
04-20,2050,644
04-21,1165,328
05-05,310,83
07-01,1225,382
07-02,1018,426
07-03,1023,435
07-07,2310,934
07-07A,391,171
07-10,3497,1069
07-11,735,345
07-12,1762,590
08-02,2602,1145
08-03,3989,1382
08-05,1351,634
08-06,1378,340
08-08,2777,1260
08-09,1271,471
08-10,1878,638
08-11,2692,1043
11-01,3858,1255
11-02,3071,1196
18-03,1457,654
18-06,2703,766
18-08,2837,988
