id,Mrs. Sydney Batch,Patrick J. Bowersox,over,under
04-08,1650,432,0,186
04-09,1586,625,3,307
04-17,1124,304,0,132
04-18,1691,539,1,254
05-01,2209,812,1,400
05-03,2407,939,1,439
05-05,4152,1194,1,548
05-06,3171,1074,0,552
05-07,5041,1444,1,535
05-08,3057,737,2,284
06-04,302,106,0,53
06-06,3620,1676,1,651
06-08,1304,566,0,206
20-01,2180,827,2,368
20-03,2597,1098,1,497
20-04,2211,722,0,317
20-06A,3187,1168,2,495
20-06B,2075,888,1,384
20-08,2783,1221,1,585
20-09,1672,616,0,317
20-10,2012,643,2,256
20-11,3635,1529,1,609
20-12,3828,1419,1,598
20-14,4800,1471,2,696
20-15,3121,820,0,420
20-16,2944,794,4,385
20-17,3251,997,1,424
