id,Becky Holt,Sean A. B. Cole,Stephanie Davis,over,under
02-01,1371,1339,177,0,100
02-02,2825,2452,379,2,171
02-03,1422,1076,174,1,88
02-04,1211,922,115,0,68
02-05,457,452,71,0,33
02-06,1286,997,128,1,87
07-02,524,757,95,1,67
07-06,1358,1660,199,0,146
07-07,1183,1722,222,0,117
07-07A,172,335,18,0,37
07-11,398,587,55,0,40
07-12,710,1376,168,1,97
08-02,1308,1996,297,0,146
08-03,1683,2935,502,2,249
08-04,781,760,113,1,56
08-05,766,991,160,1,67
08-06,345,1126,176,1,70
08-07,1117,1050,167,2,95
08-08,1545,1992,319,2,179
08-09,553,950,170,1,67
08-10,803,1395,215,1,102
08-11,1215,1999,326,0,195
13-10,2055,2897,302,1,224
13-11,1203,1498,188,0,141
14-01,489,238,50,0,22
14-02,4182,2568,537,3,196
19-03,1394,1381,287,0,94
19-05,1741,1211,235,1,82
19-07,2171,2261,389,0,163
19-09,2448,1957,428,3,152
19-11,1337,1442,281,0,120
19-13,701,1008,126,0,72
19-14,1110,1307,204,1,101
19-15,1183,1229,244,0,71
19-18,1645,1738,341,0,114
19-19,3350,2902,556,2,231
19-20,1532,1596,244,2,102
19-21,1762,2477,387,2,154
19-22,1356,1315,264,1,110
19-23,1845,2225,439,3,157
