id,Allison Riggs,Jefferson G. Griffin,over,under
01-01,1326,342,4,56
01-02,1228,357,0,54
01-03,1156,781,3,66
01-04,607,359,0,23
01-05,612,428,0,51
01-06,1929,501,0,76
01-07,1912,627,2,87
01-07A,146,44,0,7
01-09,872,240,1,27
01-10,959,464,2,37
01-11,1250,1230,1,85
01-12,1130,566,1,63
01-13,1236,224,0,44
01-14,2765,533,3,87
01-15,1589,946,4,122
01-16,1884,744,2,89
01-17,525,430,0,44
01-18,1454,735,1,65
01-19,1144,82,0,25
01-20,1815,224,2,69
01-21,2617,813,6,96
01-22,2685,220,3,67
01-23,3367,1024,8,276
01-25,443,66,0,11
01-26,1536,144,3,50
01-27,1685,284,1,44
01-28,2852,483,5,81
01-29,1212,884,1,61
01-30,730,407,0,44
01-31,1891,544,1,94
01-32,1584,521,0,71
01-33,1145,527,3,63
01-34,1056,100,0,31
01-35,1445,132,2,44
01-36,1245,1032,3,87
01-37,984,641,0,76
01-38,1367,473,0,71
01-39,1462,589,1,78
01-40,2734,306,4,65
01-41,1351,366,0,49
01-42,1362,1138,2,99
01-43,1358,584,1,67
01-44,2107,776,2,95
01-45,938,536,0,49
01-46,1480,296,3,94
01-47,1070,846,0,53
01-48,1469,395,1,48
01-49,1861,539,3,89
01-50,2029,255,3,64
01-51,583,346,1,35
02-01,1628,1276,0,83
02-02,2900,2780,7,142
02-03,1305,1382,3,71
02-04,1080,1172,2,62
02-05,548,435,0,30
02-06,1153,1266,6,74
03-01,2722,1801,2,164
03-02,1537,1176,2,96
04-01,1267,600,1,55
04-02,1684,778,1,73
04-03,1146,530,0,46
04-04,1112,525,0,39
04-05,2149,1084,3,97
04-06,1780,923,2,84
04-07,1308,1204,3,78
04-08,1585,606,1,76
04-09,1520,908,2,91
04-10,1615,829,1,73
04-11,945,377,1,41
04-12,1616,833,1,80
04-13,2837,1427,3,135
04-14,1000,505,0,24
04-15,1468,693,3,73
04-16,1318,509,2,63
04-17,1085,420,3,52
04-18,1674,717,1,93
04-19,1072,493,1,48
04-20,1829,784,2,79
04-21,1057,391,3,42
05-01,2160,1154,2,106
05-03,2318,1328,1,139
05-05,4355,1752,1,180
05-06,3023,1613,1,160
05-07,4822,2001,6,192
05-08,2929,1038,3,110
06-04,2236,1439,3,117
06-05,1342,1521,0,93
