id,Mary Black-Branch,Mitchell Silver,Whitney Hill,Write-In,over,under
01-15,489,885,711,6,2,567
01-17,134,343,317,8,1,196
01-18,526,784,596,10,2,337
01-30,168,502,292,6,2,212
01-37,276,609,466,9,1,340
01-38,616,568,389,13,3,322
01-39,599,666,499,9,3,354
01-42,410,840,872,10,2,465
01-43,556,573,545,9,1,326
01-44,804,960,752,10,4,450
01-45,320,516,439,7,1,240
01-46,780,410,398,9,1,247
01-47,307,653,659,7,0,341
01-51,199,330,269,3,0,164
02-01,121,259,207,3,0,123
02-06,105,287,320,2,1,136
07-02,280,507,397,4,3,241
07-03,205,599,423,1,2,228
07-04,930,1118,848,16,2,537
07-05,294,583,475,3,2,260
07-06,587,1175,1051,10,6,534
07-07,674,1077,888,11,1,517
07-07A,94,225,112,0,0,131
07-09,593,994,746,12,4,481
07-11,178,400,337,2,1,160
07-13,446,692,547,3,3,341
08-05,131,277,190,1,1,121
08-06,489,477,424,5,2,267
08-07,16,36,39,1,0,21
13-05,539,555,538,9,0,281
