id,Christina Jones,John Cerqueira,Write-In,over,under
01-03,566,1060,5,1,374
01-04,339,503,2,0,145
01-05,333,599,1,0,158
01-09,508,527,3,0,103
01-10,461,819,9,1,174
01-11,650,1411,18,1,486
01-12,630,844,6,2,278
01-16,1247,997,11,2,462
01-29,622,1145,7,3,381
01-33,642,785,3,1,307
01-36,847,984,16,0,520
05-05,2945,2184,39,2,1102
07-01,751,564,12,3,277
07-10,2047,1371,32,1,719
07-12,1050,887,11,2,402
08-02,1175,1104,8,1,547
08-03,2300,1463,26,3,895
08-08,1116,782,9,1,562
08-09,817,608,11,1,288
08-10,1065,695,7,1,474
08-11,1706,1119,21,1,776
11-02,1769,1599,23,4,854
