id,Alan D. Swain,Deborah K. Ross,Michael Dublin,over,under
01-01,342,1307,39,3,37
01-02,355,1221,41,0,22
01-03,769,1191,12,3,31
01-04,352,611,6,1,19
01-05,434,630,5,0,22
01-06,507,1904,51,1,43
01-07,639,1888,45,2,54
01-07A,37,145,5,0,10
01-09,237,868,13,0,21
01-10,450,981,15,0,18
01-11,1225,1259,19,2,61
01-12,568,1144,17,1,30
01-13,214,1239,24,2,25
01-14,501,2767,51,0,69
01-15,961,1593,27,2,78
01-16,751,1859,43,1,65
01-17,445,514,16,1,23
01-18,727,1454,33,2,39
01-19,59,1141,29,1,21
01-20,203,1806,56,1,44
01-21,809,2548,94,2,79
01-22,202,2671,53,2,47
01-23,1038,3239,190,9,199
01-25,58,434,16,1,11
01-26,123,1528,47,1,34
01-27,275,1640,62,2,35
01-28,445,2841,67,4,64
01-29,894,1215,10,1,38
01-30,427,717,11,1,27
01-31,553,1816,102,0,59
01-32,524,1509,87,2,54
01-33,544,1124,23,1,46
01-34,91,1045,22,1,28
01-35,102,1440,45,2,34
01-36,1031,1246,33,2,55
01-37,633,1001,22,2,43
01-38,466,1360,33,0,52
01-39,597,1427,51,1,54
01-40,260,2701,88,2,58
01-41,346,1315,76,0,29
01-42,1186,1307,45,1,62
01-43,559,1348,52,1,50
01-44,776,2089,47,3,65
01-45,537,919,35,2,30
01-46,288,1447,69,0,69
01-47,843,1073,21,0,33
01-48,405,1404,62,1,41
01-49,537,1785,106,2,62
01-50,238,1993,73,1,46
01-51,354,579,10,0,22
02-01,1322,1586,32,4,43
02-02,2825,2839,63,0,102
02-05,444,538,17,0,14
04-01,591,1240,35,3,54
04-02,780,1648,56,0,52
04-03,531,1124,36,0,31
04-04,520,1089,32,0,35
04-05,1124,2053,95,2,59
04-06,918,1775,31,1,64
04-08,616,1557,41,1,53
04-09,934,1491,46,1,49
04-10,232,507,19,0,12
04-11,386,930,26,1,21
04-12,844,1572,54,0,60
04-14,501,985,27,0,16
04-15,702,1449,46,0,40
04-16,525,1286,43,1,37
04-17,412,1092,33,1,22
04-18,732,1653,45,0,55
04-20,792,1787,66,2,47
04-21,386,1041,34,0,32
05-01,1158,2120,72,2,70
05-03,1370,2272,73,0,71
05-05,1777,4269,111,5,126
05-06,1625,2986,83,2,101
07-01,435,1092,44,0,36
07-02,511,882,17,0,34
07-03,518,888,20,0,29
07-04,975,2304,90,0,82
07-05,509,1054,28,3,28
07-06,1304,1962,41,1,55
07-07,1162,1962,51,1,68
07-07A,157,373,1,1,30
07-09,942,1784,47,3,60
07-10,1383,3013,86,2,82
07-11,387,658,11,2,22
07-12,711,1555,36,1,49
07-13,682,1280,50,0,45
08-02,1313,2287,69,3,75
08-03,1811,3340,96,2,122
08-04,813,851,17,0,30
08-05,778,1144,34,1,28
08-06,376,1250,57,0,35
08-07,1136,1226,30,2,37
08-08,1587,2314,63,0,73
08-09,564,1101,37,2,37
08-10,817,1585,50,2,62
08-11,1307,2270,67,2,89
09-02,814,1694,70,1,75
10-01,695,420,17,1,28
10-02,1522,2044,71,3,84
10-03,1020,1551,49,2,51
10-05,1165,1590,46,2,59
10-06,1956,3713,118,2,127
11-01,1586,3297,111,5,114
11-02,1401,2679,84,4,99
13-01,1150,3900,166,0,96
13-02,718,1045,32,0,37
13-05,421,1413,58,2,48
13-06,971,1586,57,3,59
13-07,507,1450,61,0,43
13-08,496,2073,79,4,65
13-09,858,2829,103,0,75
13-10,2088,3185,81,0,125
13-11,1198,1710,40,0,82
16-01,631,1090,53,1,42
16-02,781,3262,134,2,78
16-03,407,810,32,0,26
16-04,1002,1538,60,0,51
16-05,865,1263,60,1,50
16-06,313,716,31,0,30
16-07,1092,1886,77,1,59
16-09,1077,2297,86,2,78
16-10,535,3339,90,6,74
16-11,823,3096,96,2,79
17-01,555,1583,50,0,60
17-02,666,1133,49,0,45
17-03,1513,4011,141,4,119
17-05,870,2376,91,5,78
17-06,854,1134,56,2,58
17-07,496,2443,91,3,67
17-09,363,2597,92,1,53
17-10,311,686,24,1,33
17-11,950,2824,113,4,83
17-12,703,2160,73,4,53
17-13,1413,3090,98,3,87
17-14,1247,3077,102,2,80
17-15,731,1474,47,1,56
18-01,853,2753,165,2,89
18-03,765,1280,31,0,35
18-04,1842,2149,63,0,74
18-06,978,2306,102,3,80
18-08,1325,2336,82,3,79
19-11,1337,1694,69,2,78
19-13,696,1122,38,2,49
19-14,1134,1488,46,2,53
19-15,1193,1421,53,1,60
19-16,1081,1377,47,1,49
19-17,1374,3183,94,2,123
19-18,1662,2020,71,3,82
19-19,3385,3411,106,3,136
19-20,1552,1819,46,1,58
19-21,1836,2766,83,4,92
19-22,1360,1543,58,3,82
19-23,1892,2588,91,4,94
