id,Kamala D. Harris,Chase Oliver,Jill Stein,Randall Terry,Donald J. Trump,Cornel West,Write-In,over,under
01-01,1328,19,9,2,352,2,6,1,9
01-02,1245,8,11,2,360,2,7,0,4
01-03,1182,16,6,0,771,0,14,0,17
01-04,613,2,3,1,348,1,7,0,14
01-05,634,2,5,0,439,0,7,0,4
01-06,1935,16,13,1,501,2,19,0,19
01-07,1900,17,20,3,658,2,10,3,15
01-07A,149,2,0,1,40,0,0,3,2
01-09,879,4,4,1,236,0,9,0,5
01-10,984,11,4,1,442,2,6,0,12
01-11,1281,5,9,2,1213,2,24,1,29
01-12,1145,11,2,0,578,3,10,0,11
01-13,1250,15,8,0,226,0,3,0,2
01-14,2808,24,17,0,508,4,12,2,13
01-15,1610,8,7,4,996,6,12,3,15
01-16,1897,12,17,2,764,4,10,1,12
01-17,535,7,5,0,438,1,7,0,6
01-18,1450,20,9,3,747,3,12,1,10
01-19,1146,3,4,2,74,10,2,4,6
01-20,1809,12,16,5,232,9,12,3,12
01-21,2551,23,37,3,868,12,15,6,17
01-22,2657,4,16,2,251,15,4,12,14
01-23,3432,20,38,4,1134,11,19,2,15
01-25,443,0,4,1,66,2,1,3,0
01-26,1542,4,12,1,149,5,8,5,7
01-27,1662,8,13,1,311,2,5,3,9
01-28,2843,21,19,3,499,8,10,4,14
01-29,1243,9,7,1,862,1,7,2,26
01-30,750,7,3,1,407,0,9,0,3
01-31,1835,18,56,2,586,15,10,1,7
01-32,1534,9,50,1,560,3,8,0,11
01-33,1144,8,10,1,561,0,5,0,9
01-34,1042,3,3,1,119,4,6,3,6
01-35,1471,3,5,0,127,10,2,3,2
01-36,1284,21,9,1,1016,3,12,0,21
01-37,1022,10,3,2,642,0,9,1,12
01-38,1361,10,17,0,505,5,4,2,7
01-39,1463,7,20,9,605,7,7,1,11
01-40,2741,5,18,2,309,13,5,10,6
01-41,1353,9,29,0,344,6,13,1,11
01-42,1349,14,16,5,1182,1,18,2,14
01-43,1359,9,16,2,602,6,8,1,7
01-44,2122,16,17,4,790,8,6,2,15
01-45,935,11,10,0,545,5,8,1,8
01-46,1485,6,19,1,330,11,3,5,13
01-47,1067,9,7,2,863,1,9,1,8
01-48,1425,11,50,3,402,6,8,1,7
01-49,1832,18,59,4,555,7,10,1,6
01-50,1990,7,33,4,283,22,6,2,4
01-51,579,6,3,1,358,1,8,0,9
02-01,1623,26,15,3,1288,5,14,1,12
02-02,2931,32,30,6,2773,2,26,0,29
02-03,1309,15,12,5,1394,0,13,0,13
02-04,1075,13,6,1,1193,2,17,2,7
02-05,556,9,4,0,432,1,5,0,6
02-06,1185,17,5,1,1256,1,20,0,14
03-01,2719,21,43,5,1854,3,23,2,19
03-02,1512,19,18,1,1233,1,9,1,17
04-01,1254,14,15,8,594,5,11,1,21
04-02,1667,14,22,6,806,4,11,0,6
04-03,1130,6,21,0,545,3,11,1,5
04-04,1102,12,14,1,529,4,3,1,10
04-05,2088,26,96,2,1076,7,21,0,17
04-06,1816,8,19,3,921,0,8,1,13
04-07,1323,12,10,4,1208,1,15,1,19
04-08,1583,10,31,1,616,6,9,2,10
04-09,1519,10,27,2,935,0,16,0,12
04-10,1605,14,31,5,831,5,10,1,16
04-11,927,4,25,1,391,2,9,1,4
04-12,1591,14,37,7,851,6,16,0,8
04-13,2819,31,53,4,1446,7,17,2,23
04-14,975,13,18,2,510,2,6,0,3
