id,Susan P. Evans,under
01-01,1424,304
01-02,1315,324
01-03,1361,645
01-23,3854,821
01-27,1747,267
01-31,2057,473
01-32,1737,439
01-41,1438,328
01-48,1542,371
01-49,2040,452
04-03,1295,427
04-06,1970,819
04-07,1561,1032
04-10,1841,677
04-12,1788,742
04-14,1090,442
04-16,1452,440
06-07,2147,1066
16-05,1535,704
18-01,3147,715
18-02,2787,1855
18-03,1454,657
18-04,2668,1460
18-05,3288,1587
18-06,2694,775
18-07,2204,1481
18-08,2840,985
20-01,2432,945
20-03,2944,1249
20-05,2633,1352
20-09,1850,755
