id,Tara Waters,under
01-05,726,368
01-06,2084,422
01-07,2109,519
01-07A,154,49
01-09,933,206
01-12,1318,442
01-13,1271,233
01-14,2877,511
01-19,1133,118
01-20,1840,270
01-21,2839,693
01-22,2733,242
01-25,435,85
01-26,1557,176
01-28,2932,489
01-34,1047,140
01-35,1436,187
01-40,2739,370
01-50,2116,235
16-02,3617,640
16-10,3533,511
16-11,3407,689
17-01,1729,519
17-03,4432,1356
17-05,2625,795
17-07,2588,512
17-09,2763,343
17-10,737,318
17-11,3098,876
17-12,2398,595
17-13,3433,1258
