id,Jacob Arthur,Shinica Thomas,over,under
01-15,1033,1432,1,195
01-18,785,1376,1,93
01-36,1108,1119,1,139
01-37,675,928,1,97
01-38,509,1305,0,97
01-42,1259,1188,0,154
01-43,609,1299,0,102
01-44,835,2002,1,142
01-45,575,877,0,71
01-46,298,1459,0,116
01-47,917,968,0,83
01-51,377,539,0,49
02-01,1390,1473,1,123
02-02,2976,2630,1,222
02-03,1463,1193,1,104
02-04,1270,952,0,94
02-05,459,515,0,39
02-06,1344,1042,1,112
07-05,550,1005,1,66
07-06,1421,1784,0,158
07-13,703,1245,0,109
08-03,1870,3240,5,256
08-04,835,819,0,57
08-07,1210,1102,1,118
08-08,1676,2171,0,190
14-01,512,254,0,33
14-02,4402,2854,0,230
19-03,1464,1571,0,121
19-05,1799,1356,0,115
19-07,2267,2506,1,210
19-11,1396,1628,1,155
19-13,735,1082,0,90
19-14,1172,1429,0,122
19-15,1278,1350,0,99
19-22,1416,1487,0,143
19-23,1960,2505,1,203
