id,Jordyne Blaise,Wing Ng,Write-In,over,under
01-42,926,1328,8,4,335
01-43,956,713,13,1,327
01-44,1452,1053,17,5,453
01-45,706,592,15,1,209
01-47,845,903,8,0,213
02-01,1153,1312,15,2,505
02-02,2078,2780,27,7,937
02-03,921,1439,16,1,384
02-04,744,1219,13,1,339
02-05,392,449,4,0,168
02-06,845,1258,13,0,383
07-05,748,635,6,2,231
07-13,905,771,13,1,367
13-02,848,774,6,2,202
13-05,1089,579,12,1,261
13-06,1262,1096,8,1,309
13-07,1083,675,14,1,288
13-08,1586,737,24,3,367
13-09,2153,1256,21,3,432
13-10,2327,2454,23,5,670
13-11,1274,1322,10,0,424
14-01,277,350,8,0,164
14-02,2412,3739,40,3,1292
19-13,828,715,9,3,352
19-14,1079,1192,12,1,439
19-15,1048,1189,31,2,457
19-20,1401,1563,24,1,487
19-22,1153,1336,18,1,538
19-23,1974,1850,35,5,805
