id,Lynn Edmonds,Ted Hills,Write-In,over,under
01-01,1188,240,13,2,285
01-02,1134,259,9,0,237
01-21,2261,677,26,2,566
01-25,341,90,5,0,84
01-27,1434,240,10,1,329
01-31,1555,471,22,1,481
01-32,1408,418,7,0,343
01-41,1209,287,11,1,258
01-48,1344,297,7,0,265
01-49,1551,430,24,1,486
06-05,1352,1002,22,0,580
06-06,3145,1675,45,5,1078
06-07,1640,955,28,2,588
12-10,2357,1489,38,2,822
12-11,1503,1059,29,3,684
18-01,2481,670,46,2,663
18-02,2129,1502,37,2,972
18-04,2048,1278,27,1,774
18-05,2575,1397,27,3,871
18-06,2153,681,16,1,618
18-07,1683,1261,30,3,708
20-05,2051,1098,19,0,817
