id,Josh Points,Sam Hershey,Write-In,over,under
01-03,598,1010,11,0,387
01-04,275,538,4,0,174
01-05,312,547,8,0,224
01-06,387,1556,27,0,536
01-07,438,1599,20,2,569
01-07A,45,97,0,0,55
01-09,203,759,3,0,175
01-10,425,815,9,2,211
01-11,929,1124,10,0,503
01-12,481,947,8,1,323
01-14,452,2337,13,1,585
01-15,679,1381,18,0,583
01-16,636,1532,19,1,531
01-17,334,475,9,2,182
01-18,534,1344,23,3,351
01-20,329,1377,23,0,381
01-23,903,2671,41,6,1054
01-29,722,1098,7,1,330
01-30,327,647,4,1,204
01-33,402,995,10,2,329
01-36,729,1116,17,0,505
01-37,405,981,14,1,300
01-38,385,1131,20,0,375
01-39,488,1230,19,0,393
01-46,415,1041,20,2,395
01-51,264,502,9,2,188
07-01,416,918,6,2,265
07-03,390,831,8,2,225
07-04,809,2051,30,2,559
07-09,753,1562,17,2,502
07-11,273,600,6,0,199
11-01,1266,2756,37,6,1048
11-02,1110,2298,25,4,830
