id,Elizabeth McDuffie,Lindsay Mahaffey,Write-In,over,under
03-01,1538,2574,17,3,557
03-02,988,1372,16,2,433
06-04,1371,1804,25,5,591
06-08,738,986,13,1,338
06-10,2042,2266,39,2,813
06-11,391,597,7,0,190
06-12,2707,3014,32,1,1123
12-09,2139,2085,42,3,1085
20-01,1104,1706,33,2,532
20-06A,1505,2661,22,2,662
20-06B,1046,1811,18,1,472
20-08,1528,2361,35,3,663
20-09,772,1405,21,1,406
20-11,1839,3057,40,5,836
20-12,1832,3124,19,2,869
20-14,2223,3680,30,4,1032
20-17,1583,2369,18,3,700
