id,Tammy L. Brunner,under
01-01,1416,312
01-02,1312,327
01-03,1355,651
01-04,685,304
01-05,725,366
01-06,2078,428
01-07,2105,523
01-07A,141,60
01-09,926,214
01-10,1078,386
01-11,1586,980
01-12,1323,437
01-13,1269,235
01-14,2867,521
01-15,1832,829
01-16,2070,649
01-17,638,362
01-18,1661,594
01-19,1105,146
01-20,1820,290
01-21,2807,725
01-22,2679,296
01-23,3826,849
01-25,428,92
01-26,1529,204
01-27,1746,270
01-28,2884,537
01-29,1393,765
01-30,807,376
01-31,2052,478
01-32,1740,436
01-33,1245,493
01-34,1027,160
01-35,1390,233
01-36,1562,805
01-37,1189,512
01-38,1454,457
01-39,1593,537
01-40,2705,404
01-41,1442,324
01-42,1570,1031
01-43,1507,503
01-44,2292,688
01-45,1088,435
01-46,1523,350
01-47,1275,692
01-48,1538,375
01-49,2043,449
01-50,2074,277
01-51,670,298
02-01,1920,1067
02-02,3558,2271
02-03,1614,1147
02-04,1302,1014
02-05,644,369
02-06,1469,1030
03-01,3263,1426
03-02,1876,935
04-01,1413,510
04-02,1869,667
04-03,1285,437
04-04,1208,468
04-05,2374,959
04-06,1952,837
04-07,1553,1040
04-08,1777,494
04-09,1765,756
04-10,1829,689
04-11,1015,349
04-12,1786,746
04-13,3218,1184
04-14,1093,438
04-15,1635,603
04-16,1447,445
04-17,1218,342
04-18,1895,590
04-19,1198,417
04-20,2025,669
04-21,1154,339
05-01,2473,949
05-03,2658,1128
05-05,4925,1363
05-06,3441,1356
05-07,5580,1441
05-08,3323,757
06-04,2644,1151
06-05,1711,1245
06-06,4093,1855
06-07,2125,1088
06-08,1435,641
06-10,3384,1778
06-11,827,359
06-12,4484,2393
07-01,1206,401
07-02,997,447
07-03,1016,439
07-04,2583,868
07-05,1205,417
07-06,2299,1065
07-07,2285,959
07-07A,377,185
07-09,2024,812
07-10,3465,1101
07-11,736,345
07-12,1735,617
07-13,1457,600
08-02,2589,1158
08-03,4033,1338
08-04,1067,644
08-05,1336,649
08-06,1379,339
08-07,1538,893
08-08,2798,1239
08-09,1263,480
08-10,1863,653
08-11,2661,1074
09-01,1200,903
09-02,2238,958
09-03,3139,1760
10-01,620,541
10-02,2418,1306
10-03,1967,887
10-05,2297,1345
10-06,4288,1628
11-01,3798,1315
11-02,3035,1232
12-01,3828,2656
12-02,3643,1779
12-04,3158,2251
12-06,3857,2250
12-07,1854,1170
12-08,3211,1640
12-09,3212,2142
12-10,3020,1688
12-11,1992,1286
13-01,4281,1031
13-02,1248,584
13-05,1530,412
13-06,1866,810
13-07,1596,465
13-08,2234,483
13-09,3078,787
13-10,3685,1794
13-11,1959,1071
14-01,409,390
14-02,4188,3298
15-01,2352,1537
15-02,3611,1934
15-03,2846,2070
15-04,1287,826
16-01,2074,867
16-02,3571,686
16-03,964,311
16-04,1869,782
16-05,1538,701
16-06,816,275
16-07,2237,878
16-09,3562,1132
16-10,3515,529
16-11,3380,716
17-01,1723,525
17-02,1316,577
17-03,4439,1349
17-05,2588,832
17-06,1330,774
17-07,2510,590
17-09,2709,397
17-10,738,320
17-11,3070,904
17-12,2365,628
17-13,3381,1310
17-14,3373,1135
17-15,1662,647
18-01,3143,719
18-02,2759,1883
18-03,1456,655
18-04,2666,1462
18-05,3269,1604
18-06,2684,785
18-07,2189,1496
18-08,2824,1001
19-03,2039,1117
19-05,1907,1363
19-07,3172,1812
19-09,2994,1994
19-11,2112,1068
19-13,1331,576
19-14,1845,878
19-15,1778,949
19-16,1642,913
19-17,3598,1178
19-18,2492,1346
19-19,4371,2670
19-20,2246,1230
19-21,3309,1473
19-22,1952,1094
19-23,3210,1459
20-01,2413,964
20-03,2954,1239
20-04,2415,835
20-05,2615,1370
20-06A,3517,1335
20-06B,2334,1014
20-08,3102,1488
20-09,1846,759
20-10,2177,736
20-11,4121,1656
20-12,4323,1523
20-14,5214,1755
20-15,3419,942
20-16,3207,920
20-17,3507,1166
