id,bergstrom,mahaffey,write-in,under
06-08,588,1129,21,341
20-16,610,1311,13,307
20-15,776,2003,19,494
20-09,805,1449,14,337
20-01,1061,1870,24,443
20-06B,1082,1862,23,443
06-04,1113,2103,29,571
06-05,1205,1274,29,501
20-05,1239,1986,33,703
20-17,1261,2293,28,559
20-03,1268,2178,31,544
20-06A,1305,2713,20,627
06-10,1338,1719,44,548
20-08,1422,2473,47,602
18-05,1480,2480,57,781
20-11,1516,2733,32,635
20-12,1530,2785,30,681
20-14,1741,3562,35,971
12-09,1768,2181,51,858
06-06,1883,3151,67,921
03-00,2010,3148,45,768
06-09,2382,3321,57,1140
