id,beasley,newby,under
01-01,1297,346,45
01-02,1261,406,61
01-03,997,805,54
01-04,663,463,36
01-05,598,493,42
01-06,1880,696,71
01-07,1743,553,72
01-07A,192,38,13
01-09,819,256,40
01-10,921,461,33
01-11,1107,1251,69
01-12,1106,609,58
01-13,1167,256,28
01-14,2740,556,77
01-15,1190,857,79
01-16,1754,839,91
01-17,509,481,26
01-18,1521,818,66
01-19,1358,82,21
01-20,2000,287,41
01-21,2637,872,101
01-22,3119,187,40
01-23,2589,670,136
01-25,462,36,12
01-26,1570,128,39
01-27,1620,329,50
01-28,3180,568,84
01-29,1229,1039,54
01-30,702,512,36
01-31,2287,536,92
01-32,1696,571,56
01-33,1047,561,59
01-34,1132,67,24
01-35,1658,92,23
01-36,1285,1136,77
01-37,962,750,46
01-38,1366,543,56
01-39,1583,700,82
01-40,3087,232,54
01-41,1454,407,68
01-42,1259,1264,57
01-43,1410,635,54
01-44,2158,948,90
01-45,934,571,48
01-46,1903,361,49
01-47,1070,923,58
01-48,1489,452,48
01-49,2089,612,82
01-50,2351,185,50
01-51,590,406,23
02-01,1483,1429,81
02-02,2525,2908,131
02-03,1215,1538,78
02-04,1032,1220,43
02-05,483,490,23
02-06,1097,1338,61
03-00,3007,2735,231
04-01,1296,662,65
04-02,1477,790,66
04-03,1230,582,55
04-04,963,491,42
04-05,2152,1187,83
04-06,1668,999,110
04-07,1254,1305,73
04-08,1535,666,85
04-09,1343,928,78
04-10,1603,955,72
04-11,965,411,39
04-12,1589,962,76
04-13,2643,1564,145
04-14,948,590,58
04-15,1501,797,68
04-16,1275,608,61
04-17,1107,523,56
04-18,1723,863,79
04-19,1005,613,50
04-20,1881,870,92
04-21,1132,439,47
05-01,2338,1394,106
05-03,2289,1426,118
05-05,4402,2054,191
05-06,2818,1734,174
05-07,4487,1860,205
05-08,2445,903,106
06-04,2185,1517,113
06-05,1296,1619,91
06-06,3194,2618,211
06-07,1742,1363,99
06-08,1209,794,76
06-09,3333,3283,290
06-10,1691,1834,124
07-01,1023,498,40
07-02,890,624,47
07-03,896,583,39
07-04,2580,1106,108
07-05,1074,604,42
07-06,1861,1439,106
07-07,1969,1352,84
07-07A,299,190,39
07-09,1905,1042,81
07-10,3165,1465,140
07-11,629,445,29
07-12,1670,770,90
07-13,1292,731,57
08-02,2256,1412,116
08-03,3080,1848,145
08-04,819,813,40
08-05,1065,874,58
08-06,1493,466,48
08-07,1171,1214,65
08-08,2262,1686,161
08-09,1112,649,68
08-10,1636,938,69
08-11,2326,1305,123
09-01,950,1121,52
09-02,1847,1058,79
09-03,1668,1683,72
10-01,407,730,32
10-02,1917,1504,87
10-03,1387,977,54
10-04,4464,2898,174
11-01,3299,1649,172
11-02,2677,1468,107
12-01,2458,3250,174
12-02,2355,2004,125
12-04,1671,2764,120
12-05,3422,3705,219
12-06,1774,2016,124
12-07,1217,1473,59
12-08,2360,1857,162
12-09,2185,2512,161
13-01,3544,987,109
13-02,1063,807,64
13-05,1437,459,52
13-06,1668,1089,85
13-07,1531,597,46
13-08,2038,518,55
13-09,3014,874,94
13-10,3143,2237,166
13-11,1557,1328,78
14-01,272,468,18
14-02,2516,3958,152
15-01,1636,2185,87
15-02,2621,2544,126
15-03,1838,2688,103
15-04,996,1149,40
16-01,1463,1123,77
16-02,3338,764,86
16-03,845,477,27
16-04,1372,1056,69
16-05,1223,982,52
16-06,776,384,31
16-07,1754,1239,66
16-09,2412,1396,111
16-10,3611,560,61
16-11,2411,488,37
17-01,1639,607,50
17-02,835,628,27
17-03,4024,1595,140
17-04,4087,1875,138
17-05,2514,892,96
17-06,1109,901,55
17-07,2722,477,41
17-09,2938,338,58
17-10,712,365,35
17-11,2920,950,94
17-12,2280,723,64
17-13,3085,1540,116
18-01,3112,883,122
18-02,2064,2394,123
18-03,1294,881,65
18-04,1928,1841,99
18-05,2573,2092,134
18-06,2529,1022,126
18-07,1420,1764,94
18-08,2427,1411,125
19-03,1357,1423,102
19-05,1260,1766,97
19-07,1975,2011,131
19-09,1975,2340,124
19-11,1636,1377,116
19-12,3306,3018,186
19-13,1213,747,74
19-14,1519,1233,79
19-15,1405,1297,72
19-16,1393,1052,52
19-17,3303,1493,120
19-18,1565,1396,96
19-19,2804,3182,177
19-20,1695,1527,73
19-21,2711,1887,117
20-01,2043,1254,104
20-03,2240,1639,143
20-04,2049,1197,115
20-05,2134,1707,121
20-06A,2790,1705,171
20-06B,1903,1395,113
20-08,2520,1872,154
20-09,1481,1056,70
20-10,1872,1038,113
20-11,2748,2002,168
20-12,2883,1970,173
20-14,3982,2136,197
20-15,2770,1130,129
20-16,2576,1079,142
20-17,2553,1463,124
