precinct_abbrv,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_DEM,party_LIB,party_REP,party_UNA,party_DEM_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
02-04,2226,39,1104,1063,59,19,19,1,52,76,2,17,59,75,1945,0,8,0,0,2,1,28,20,1834,372,0,32,7,516,11,999,700,19,0,13,7
01-32,2466,359,1208,1141,117,190,164,5,60,459,8,29,115,173,1622,2,48,0,1,7,15,286,80,1752,634,3,290,66,1045,15,434,972,204,0,50,105
04-16,2040,0,1097,879,64,0,0,0,43,103,3,13,62,96,1720,0,0,0,0,0,0,0,43,1523,474,0,0,0,705,17,530,788,0,0,0,0
08-07,2481,18,1225,1205,51,9,8,1,54,87,4,20,76,79,2161,1,5,1,0,0,0,11,28,2054,399,0,17,1,597,17,966,901,10,0,3,5
16-04,2400,159,1295,1064,41,97,62,0,11,533,6,10,46,88,1706,0,57,0,1,1,2,98,58,1813,529,1,130,28,977,12,721,690,97,0,36,26
16-09,3101,80,1608,1367,126,43,35,2,34,1085,15,8,114,178,1667,0,58,0,0,1,2,19,140,2165,796,1,62,17,1461,13,735,892,59,0,8,13
17-08,7197,1036,3952,3007,238,591,430,15,134,2830,20,100,235,418,3460,9,503,3,9,13,35,464,271,5213,1713,22,832,182,3527,26,1547,2097,610,2,177,247
09-03,2609,34,1361,1175,73,19,15,0,9,565,4,26,37,139,1829,0,19,0,0,1,0,14,58,2031,520,0,30,4,936,5,967,701,21,0,6,7
05-06,4609,0,2391,2069,149,0,0,0,660,147,7,19,314,218,3244,0,0,0,0,0,0,0,63,3245,1301,0,0,0,1229,16,1313,2051,0,0,0,0
01-04,1136,381,595,505,36,196,182,3,8,21,2,6,9,52,1038,2,4,0,1,3,4,367,8,908,220,0,337,44,387,5,359,385,165,0,101,115
04-07,2651,0,1339,1271,41,0,0,0,51,46,0,14,86,76,2378,0,0,0,0,0,0,0,29,2133,489,0,0,0,662,8,1131,850,0,0,0,0
08-02,3697,517,1856,1710,131,260,253,4,65,350,6,26,91,168,2991,2,53,0,2,10,10,440,63,2934,700,5,440,72,1210,26,1141,1320,223,1,136,157
01-30,1215,382,623,570,22,201,177,4,10,27,2,1,13,32,1130,5,10,2,0,1,7,357,3,1022,190,0,331,51,430,10,446,329,199,1,89,93
13-10,5328,922,2866,2302,160,505,404,13,92,526,7,43,165,247,4248,8,165,1,6,15,22,705,145,4153,1030,10,766,146,1626,20,1757,1925,455,0,189,278
