id,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_CST,party_DEM,party_GRE,party_LIB,party_REP,party_UNA,party_CST_voted,party_DEM_voted,party_GRE_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
01-29,2282,0,1151,1061,70,0,0,0,18,41,3,8,18,90,2104,0,0,0,0,0,0,0,19,1891,372,0,0,0,0,773,0,10,814,685,0,0,0,0,0,0
19-21,4310,204,2223,1862,225,110,86,8,165,1103,7,39,214,345,2437,5,74,0,3,5,7,110,216,3095,999,2,166,36,1,1571,0,28,1167,1543,0,83,0,1,53,67
17-03,5945,1,3175,2419,351,1,0,0,183,2110,17,57,247,506,2825,0,1,0,0,0,0,0,265,4116,1564,0,1,0,5,2888,3,50,1044,1955,0,1,0,0,0,0
01-48,2085,0,1025,945,115,0,0,0,31,264,6,23,79,168,1514,0,0,0,0,0,0,0,47,1572,466,0,0,0,2,933,2,12,280,856,0,0,0,0,0,0
19-12,6380,638,3316,2709,355,323,305,10,114,887,14,53,208,486,4618,4,40,1,2,12,15,564,245,4690,1445,14,527,97,5,1936,1,44,2060,2334,0,189,0,0,224,225
17-04,6074,139,3129,2593,352,84,48,7,107,2314,11,67,270,507,2798,0,95,1,1,2,6,34,327,4167,1580,2,95,42,3,2876,5,36,1292,1862,0,104,0,0,7,28
07-04,3843,0,2058,1585,200,0,0,0,47,663,5,27,112,260,2729,0,0,0,0,0,0,0,118,2901,824,0,0,0,1,1556,0,38,764,1484,0,0,0,0,0,0
12-04,4427,125,2212,1989,226,64,58,3,29,309,10,18,111,280,3670,0,10,0,0,2,4,109,132,3111,1184,3,88,34,1,989,0,28,1852,1557,0,38,0,1,46,40
19-09,4400,548,2204,1987,209,281,247,20,56,789,11,22,98,284,3140,6,174,0,5,5,29,329,115,3369,916,11,430,107,0,1389,1,21,1581,1408,0,225,0,1,159,163
04-14,1639,0,843,736,60,0,0,0,20,67,2,8,64,80,1398,0,0,0,0,0,0,0,44,1248,347,0,0,0,1,571,0,13,435,619,0,0,0,0,0,0
18-02,4592,0,2279,2167,146,0,0,0,91,153,5,15,133,212,3983,0,0,0,0,0,0,0,101,3484,1007,0,0,0,0,1128,0,32,1698,1734,0,0,0,0,0,0
01-07,2122,0,906,1034,182,0,0,0,35,66,4,21,40,207,1749,0,0,0,0,0,0,0,53,1551,518,0,0,0,0,913,2,26,362,819,0,0,0,0,0,0
18-07,3270,1,1602,1549,119,0,0,1,48,256,10,14,90,168,2684,0,0,0,0,0,1,0,86,2492,692,0,0,1,1,857,0,21,1201,1190,0,0,0,0,0,1
20-17,3828,0,1866,1776,186,0,0,0,650,195,19,31,256,239,2438,0,0,0,0,0,0,0,93,2679,1056,0,0,0,0,995,0,13,966,1854,0,0,0,0,0,0
05-06,4809,0,2457,2161,191,0,0,0,778,162,8,26,327,276,3232,0,0,0,0,0,0,0,83,3387,1339,0,0,0,1,1289,0,14,1240,2265,0,0,0,0,0,0
10-04,7215,338,3747,3082,386,162,157,19,76,2455,22,77,243,587,3755,2,28,0,5,8,24,271,354,5019,1842,9,252,77,4,3155,2,39,1802,2213,0,93,0,2,125,118
15-01,4077,0,2022,1866,189,0,0,0,30,517,16,21,98,297,3098,0,0,0,0,0,0,0,134,3033,910,0,0,0,1,1181,0,31,1483,1381,0,0,0,0,0,0
18-01,4956,0,2188,2200,568,0,0,0,192,1100,17,72,201,731,2643,0,0,0,0,0,0,0,196,3121,1639,0,0,0,1,1970,2,58,703,2222,0,0,0,0,0,0
19-16,2578,0,1316,1147,115,0,0,0,30,698,7,10,76,180,1577,0,0,0,0,0,0,0,90,1906,582,0,0,0,0,1028,2,14,774,760,0,0,0,0,0,0
