id,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_P,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_P_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_CST,party_DEM,party_GRE,party_LIB,party_REP,party_UNA,party_CST_voted,party_DEM_voted,party_GRE_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
11-02,4732,3744,2267,1886,579,1844,1491,409,89,414,6,46,139,0,641,3397,64,287,3,32,103,0,452,2803,112,3268,1352,78,2649,1017,1,1744,3,37,1160,1787,1,1405,3,24,941,1370
15-03,5165,4194,2479,2208,478,2009,1823,362,25,530,17,21,113,0,557,3902,19,416,13,12,85,0,420,3229,156,3671,1338,114,3024,1056,2,1300,1,30,1991,1841,1,1050,0,26,1666,1451
12-07,3148,2488,1479,1365,304,1209,1067,212,31,434,13,22,99,0,400,2149,22,332,10,14,69,0,281,1760,137,2096,915,94,1708,686,8,854,0,32,1072,1182,2,699,0,26,885,876
14-02,7293,6083,3365,3239,689,2837,2698,548,119,413,19,36,172,0,776,5758,101,333,17,28,138,0,625,4841,135,5430,1728,111,4568,1404,4,1510,1,54,3031,2693,3,1307,0,43,2537,2193
02-02,6022,5195,2839,2725,458,2453,2366,376,117,310,14,23,149,0,532,4877,100,270,10,16,124,0,439,4236,84,4544,1394,69,3963,1163,3,1402,3,49,2169,2396,3,1250,2,34,1884,2022
01-18,2766,2190,1314,1169,283,1064,935,191,25,466,1,19,91,0,355,1809,21,325,0,13,54,0,237,1540,117,1905,744,65,1577,548,2,1135,2,26,596,1005,2,903,1,15,507,762
09-02,3865,2598,1966,1481,418,1380,962,256,33,1470,16,40,151,0,519,1636,20,977,11,19,91,0,316,1164,220,2423,1222,121,1726,751,4,1920,0,38,799,1104,2,1356,0,17,574,649
04-02,2603,2153,1267,1113,223,1074,923,156,68,199,3,20,139,0,300,1874,60,150,3,16,93,0,215,1616,160,1741,702,107,1504,542,1,947,0,16,580,1059,1,788,0,8,486,870
15-04,2431,1979,1166,1077,188,964,879,136,23,390,3,15,68,0,224,1708,15,318,2,13,58,0,160,1413,66,1815,550,45,1509,425,4,756,2,13,862,794,2,632,1,11,730,603
05-08,4031,3024,1681,1619,731,1282,1200,542,801,505,25,31,295,0,768,1606,662,365,19,22,214,0,575,1167,121,2206,1704,86,1672,1266,2,1505,0,33,576,1915,2,1163,0,21,411,1427
17-03,6664,5164,3316,2561,787,2623,1976,565,200,2227,21,74,282,0,935,2925,157,1730,17,53,215,0,685,2307,289,4280,2095,196,3380,1588,6,3217,6,58,1155,2222,3,2572,4,36,916,1633
10-04,8595,6788,4214,3435,946,3401,2704,683,110,2683,24,78,299,0,1164,4237,82,2174,16,50,210,0,850,3406,461,5501,2633,301,4503,1984,7,3626,2,64,2076,2820,4,2979,0,43,1694,2068
17-11,4694,3582,2194,1881,619,1743,1405,434,283,1704,13,75,364,0,850,1405,222,1360,8,54,259,0,576,1103,529,2612,1553,335,2068,1179,7,2336,3,28,631,1689,6,1878,2,14,483,1199
20-12,5503,4497,2444,2255,804,2032,1835,630,654,302,34,36,322,0,871,3284,595,215,34,26,274,0,690,2663,159,3442,1902,120,2848,1529,8,1503,3,36,1382,2571,5,1264,2,27,1070,2129
06-09,7652,6309,3571,3335,746,2981,2736,592,166,443,21,46,218,0,878,5880,139,363,14,35,170,0,703,4885,218,4774,2660,169,3977,2163,2,1817,5,63,2560,3205,1,1550,4,47,2123,2584
04-03,2171,1658,1025,902,244,801,697,160,55,262,2,26,124,0,288,1414,46,197,2,16,82,0,183,1132,113,1444,614,73,1155,430,2,821,1,17,431,899,1,645,1,14,335,662
07-06,3680,3152,1888,1538,254,1627,1334,191,59,194,4,12,74,0,294,3043,52,133,3,9,62,0,227,2666,50,2857,773,36,2494,622,3,1164,4,19,1129,1361,2,1004,1,12,977,1156
16-09,4540,3482,2128,1804,608,1681,1367,434,61,1446,15,26,160,0,679,2153,52,1144,12,18,110,0,470,1676,222,2891,1427,136,2270,1076,4,1932,1,48,994,1561,3,1536,1,30,775,1137
20-14,6948,5836,3203,3010,735,2695,2529,612,1734,337,40,58,583,1,820,3375,1535,252,35,43,503,1,688,2779,166,4373,2409,132,3681,2023,2,1898,5,44,1340,3659,1,1616,2,35,1104,3078
01-43,2579,1876,1273,973,333,973,692,211,35,584,1,29,86,0,395,1449,28,371,1,17,50,0,252,1157,116,1677,786,68,1280,528,1,1101,0,30,501,946,1,822,0,22,391,640
12-05,8207,6813,3967,3609,631,3358,2975,480,121,619,8,44,221,0,775,6419,88,495,7,33,167,0,593,5430,239,5571,2397,177,4704,1932,4,2029,0,65,2838,3271,2,1721,0,49,2400,2641
07-07,3760,3066,1882,1510,368,1568,1243,255,71,347,1,22,138,0,410,2771,53,246,1,16,107,0,292,2351,92,2751,917,67,2313,686,3,1252,10,27,968,1500,2,1038,6,19,810,1191
19-03,3324,2494,1602,1307,415,1214,983,297,34,334,6,20,87,0,468,2375,22,252,3,15,51,0,338,1813,106,2302,916,68,1756,670,4,997,0,43,1069,1211,2,801,0,24,785,882
18-04,4400,3619,2073,1975,352,1745,1636,238,148,379,11,25,188,1,433,3215,130,269,10,17,131,1,295,2766,144,3216,1040,86,2762,771,0,1321,2,35,1344,1698,0,1075,2,24,1153,1365
19-19,6916,5625,3299,2972,645,2735,2415,475,97,814,11,31,166,0,718,5079,72,642,9,22,121,0,537,4222,174,5062,1680,124,4196,1305,3,1805,1,39,2413,2655,2,1484,0,27,1972,2140
05-07,7468,5862,3299,3116,1053,2639,2429,794,1987,769,42,66,661,0,1174,2769,1672,553,37,47,523,0,877,2153,238,4275,2955,180,3372,2310,6,2535,4,39,1036,3848,6,2015,3,30,776,3032
