precinct_abbrv,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_P,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_P_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_DEM,party_LIB,party_REP,party_UNA,party_DEM_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
05-03,4291,488,2049,1846,396,237,233,18,501,358,7,38,249,0,444,2694,49,29,1,0,20,0,25,364,130,2894,1267,9,377,102,1243,30,1036,1982,138,2,134,214
01-40,4223,0,2276,1462,485,0,0,0,27,3013,11,44,146,0,576,406,0,0,0,0,0,0,0,0,212,2529,1482,0,0,0,2944,14,169,1096,0,0,0,0
15-01,4313,0,2099,1893,321,0,0,0,36,555,9,22,119,1,430,3141,0,0,0,0,0,0,0,0,186,3078,1049,0,0,0,1211,44,1459,1599,0,0,0,0
19-12,7196,1170,3595,2989,612,608,513,49,140,1024,18,62,222,1,718,5011,13,142,0,6,25,0,55,929,298,5050,1848,28,900,242,2170,65,2154,2807,325,2,428,415
20-09,2762,963,1332,1293,137,472,472,19,73,119,5,17,84,0,165,2299,14,38,1,3,24,0,28,855,48,2082,632,9,768,186,769,23,732,1238,319,4,253,387
17-11,4514,0,2158,1843,513,0,0,0,282,1674,15,69,356,0,744,1374,0,0,0,0,0,0,0,0,494,2600,1420,0,0,0,2227,33,601,1653,0,0,0,0
18-05,5049,0,2460,2337,252,0,0,0,211,136,6,23,193,0,300,4180,0,0,0,0,0,0,0,0,84,3860,1105,0,0,0,1440,34,1516,2059,0,0,0,0
20-11,5582,1214,2639,2423,520,588,575,51,333,288,9,31,262,0,554,4105,44,42,1,3,32,0,67,1025,202,3725,1655,30,900,284,1581,40,1396,2565,357,4,368,485
04-16,2063,0,1064,834,165,0,0,0,51,88,5,12,62,0,203,1642,0,0,0,0,0,0,0,0,55,1449,559,0,0,0,726,29,402,906,0,0,0,0
01-32,2673,0,1220,1159,294,0,0,0,54,509,9,26,140,0,365,1570,0,0,0,0,0,0,0,0,113,1804,756,0,0,0,1151,33,376,1113,0,0,0,0
01-13,1556,0,755,666,135,0,0,0,10,182,1,10,35,0,131,1187,0,0,0,0,0,0,0,0,32,1088,436,0,0,0,789,9,153,605,0,0,0,0
19-09,4889,528,2357,2160,372,275,234,19,61,900,13,32,119,0,451,3313,6,131,1,7,8,0,27,348,137,3530,1222,16,399,113,1497,24,1702,1666,186,0,181,161
16-07,3320,721,1674,1440,206,393,318,10,29,664,10,30,88,0,248,2251,3,112,4,2,11,0,25,564,85,2535,700,13,601,107,1340,24,822,1134,321,1,187,212
12-08,5008,646,2516,2067,425,346,271,29,80,920,19,30,178,0,542,3239,3,193,0,2,11,0,41,396,197,3191,1620,16,453,177,1718,46,1383,1861,279,3,173,191
01-02,1846,0,872,767,207,0,0,0,26,48,2,16,36,0,228,1490,0,0,0,0,0,0,0,0,27,1325,494,0,0,0,798,16,275,757,0,0,0,0
19-07,4795,1083,2409,1973,413,551,471,61,67,920,6,27,141,0,466,3168,7,176,1,5,20,0,56,818,153,3364,1278,15,835,233,1510,46,1522,1717,334,5,402,342
19-17,5374,1,2690,2195,489,0,1,0,117,1857,17,67,258,1,604,2453,0,0,0,0,1,0,0,0,306,3500,1568,1,0,0,2429,54,951,1940,0,0,1,0
06-06,6608,1626,3283,2846,479,839,738,49,211,571,15,53,255,0,577,4926,25,115,1,7,41,0,78,1359,192,4387,2029,29,1181,416,1850,65,1877,2816,405,8,602,611
04-05,3666,0,1708,1692,266,0,0,0,317,224,6,20,221,0,335,2543,0,0,0,0,0,0,0,0,72,2630,964,0,0,0,1251,32,786,1597,0,0,0,0
04-02,2591,0,1282,1128,181,0,0,0,69,195,4,21,142,0,258,1902,0,0,0,0,0,0,0,0,171,1763,657,0,0,0,937,18,556,1080,0,0,0,0
01-22,3869,1,2023,1426,420,0,1,0,37,2878,14,36,116,0,508,280,0,0,0,0,0,0,0,1,175,2341,1353,0,1,0,2717,19,102,1031,1,0,0,0
17-01,2765,0,1368,1131,266,0,0,0,89,1004,7,25,151,0,374,1115,0,0,0,0,0,0,0,0,175,1743,847,0,0,0,1458,16,417,874,0,0,0,0
20-14,6889,1,3215,3000,674,0,1,0,1766,333,41,50,594,1,737,3367,0,0,0,0,0,0,1,0,163,4410,2316,0,0,1,1894,44,1242,3709,0,0,0,1
20-10,3256,0,1548,1448,260,0,0,0,427,111,6,21,212,0,285,2194,0,0,0,0,0,0,0,0,80,2302,874,0,0,0,898,11,694,1653,0,0,0,0
15-02,6117,160,2917,2705,495,82,76,2,99,1037,19,55,214,0,616,4077,1,25,0,1,4,0,4,125,303,4327,1487,4,122,34,1892,44,1863,2318,57,0,48,55
19-19,7017,1242,3437,3057,523,615,584,43,98,820,11,27,192,0,580,5289,11,166,2,2,28,0,54,979,195,5179,1643,30,994,218,1861,42,2345,2769,351,2,456,433
18-08,4276,0,2026,1811,439,0,0,0,171,399,10,29,208,1,481,2977,0,0,0,0,0,0,0,0,118,2955,1203,0,0,0,1426,41,993,1816,0,0,0,0
16-02,4827,309,2499,1853,475,170,129,10,34,2509,15,51,182,1,646,1389,1,86,1,2,3,0,15,201,342,2963,1522,2,246,61,2791,46,488,1502,167,0,38,104
17-04,6929,259,3446,2803,680,144,105,10,123,2660,10,59,307,0,845,2925,1,143,1,1,2,0,13,98,385,4467,2077,4,184,71,3315,41,1316,2257,152,2,42,63
17-03,6510,2,3303,2581,626,1,0,1,203,2245,17,73,291,0,760,2921,0,0,0,0,0,0,1,1,281,4274,1955,0,1,1,3137,59,1073,2241,2,0,0,0
17-13,5441,680,2757,2207,477,360,302,18,97,1956,11,62,180,0,558,2577,2,309,1,5,13,0,30,320,196,3709,1536,14,543,123,2498,38,1063,1842,368,3,125,184
08-11,4012,0,2003,1615,394,0,0,0,291,449,14,30,222,1,434,2571,0,0,0,0,0,0,0,0,179,2713,1120,0,0,0,1367,22,887,1736,0,0,0,0
13-11,3230,1,1663,1362,205,1,0,0,56,267,2,21,74,0,250,2560,0,1,0,0,0,0,0,0,58,2461,711,0,1,0,940,14,1043,1233,0,0,0,1
03-00,6891,1384,3264,3053,574,669,640,75,431,422,22,39,255,0,639,5083,54,80,3,8,32,0,87,1120,204,4663,2024,26,992,366,1774,48,1924,3145,373,6,430,575
19-05,3464,331,1645,1582,237,171,158,2,57,248,2,16,92,0,276,2773,5,35,0,1,8,0,7,275,85,2643,736,4,282,45,800,27,1300,1337,97,2,143,89
16-10,4807,0,2541,1799,467,0,0,0,47,3035,9,45,224,1,635,811,0,0,0,0,0,0,0,0,359,2833,1615,0,0,0,3047,22,375,1363,0,0,0,0
12-10,4980,652,2443,2250,287,324,311,17,84,266,3,21,129,0,354,4123,5,17,0,5,10,0,26,589,124,3455,1401,13,479,160,1207,35,1595,2143,157,1,245,249
19-21,5347,375,2634,2254,459,199,166,10,216,1416,9,47,285,0,567,2807,1,120,0,2,5,0,16,231,262,3603,1482,6,302,67,1972,48,1295,2032,142,4,99,130
12-06,4709,928,2344,1996,369,494,395,39,41,542,13,27,125,0,435,3526,5,80,2,3,8,0,35,795,177,3095,1437,16,695,217,1235,38,1616,1820,248,5,371,304
01-06,2761,0,1264,1195,302,0,0,0,51,91,2,29,51,0,292,2245,0,0,0,0,0,0,0,0,54,1939,768,0,0,0,1159,29,448,1125,0,0,0,0
12-04,5230,499,2534,2287,409,253,227,19,48,374,11,26,129,2,492,4148,2,35,1,0,6,0,19,436,197,3507,1526,12,345,142,1156,47,2118,1909,111,6,196,186
08-03,5714,5,2766,2362,586,3,1,1,200,1024,24,39,227,1,648,3551,0,2,1,0,0,0,2,0,200,3849,1665,0,3,2,2062,37,1229,2386,3,0,0,2
08-09,2009,0,1010,819,180,0,0,0,48,239,2,10,67,0,214,1429,0,0,0,0,0,0,0,0,87,1414,508,0,0,0,740,20,406,843,0,0,0,0
17-06,2315,35,1138,997,180,17,17,1,20,661,9,16,84,1,282,1242,0,28,0,1,0,0,2,4,151,1547,617,2,27,6,918,11,661,725,31,0,1,3
01-35,2327,0,1123,910,294,0,0,0,14,1612,5,20,64,0,349,263,0,0,0,0,0,0,0,0,123,1377,827,0,0,0,1606,19,81,621,0,0,0,0
01-41,2235,0,867,1036,332,0,0,0,46,285,4,23,75,0,376,1426,0,0,0,0,0,0,0,0,78,1487,670,0,0,0,992,14,244,985,0,0,0,0
12-01,6649,1057,3201,2945,503,535,490,32,79,527,9,41,163,0,635,5195,10,83,2,5,16,0,52,889,189,4539,1921,17,757,283,1620,70,2404,2555,284,6,394,373
13-06,3017,0,1547,1229,241,0,0,0,56,435,8,20,119,0,291,2088,0,0,0,0,0,0,0,0,112,2147,758,0,0,0,1055,31,737,1194,0,0,0,0
01-25,719,0,311,268,140,0,0,0,3,414,2,10,22,0,137,131,0,0,0,0,0,0,0,0,15,399,305,0,0,0,425,8,35,251,0,0,0,0
