precinct_abbrv,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_P,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_P_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_DEM,party_GRE,party_LIB,party_REP,party_UNA,party_DEM_voted,party_GRE_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
17-09,3858,1794,2045,1347,466,1073,606,115,77,2465,7,35,181,1,613,479,28,1260,3,14,60,0,166,263,273,2215,1370,72,1178,544,2413,0,28,187,1230,1258,0,9,90,437
10-06,5666,3168,2829,2227,610,1629,1291,248,98,1818,10,48,272,0,693,2727,36,1005,6,10,99,0,257,1755,395,3597,1674,122,2205,841,2418,0,42,1062,2144,1425,0,21,686,1036
01-27,2272,1333,950,1008,314,585,622,126,43,316,6,20,85,0,328,1474,23,144,1,11,33,0,132,989,89,1445,738,25,944,364,1102,0,24,184,962,741,0,7,79,506
01-38,2095,1259,983,900,212,635,545,79,63,465,6,20,129,0,290,1122,26,246,2,12,43,0,99,831,136,1345,614,31,924,304,1006,0,22,311,756,629,0,6,202,422
01-03,1895,1526,937,859,99,777,693,56,11,16,3,6,18,0,103,1738,9,13,3,4,12,0,62,1423,24,1511,360,16,1249,261,609,0,8,587,691,520,0,8,472,526
06-07,3510,2256,1657,1590,263,1101,1027,128,164,379,2,21,188,0,322,2434,105,220,1,14,92,0,159,1665,121,2397,992,46,1640,570,1031,0,33,900,1546,697,0,14,608,937
15-02,5989,3645,2856,2623,510,1803,1625,217,118,1009,18,43,268,0,600,3933,58,579,9,24,109,0,256,2610,321,4195,1473,114,2689,842,1836,1,39,1735,2378,1158,1,18,1178,1290
07-09,3233,1938,1626,1298,309,1023,790,125,72,377,13,25,104,0,329,2313,46,147,5,14,36,0,141,1549,100,2233,900,36,1428,474,1194,0,24,687,1328,765,0,8,455,710
07-10,5101,2912,2501,2050,550,1471,1192,249,137,720,17,35,225,0,592,3375,62,293,11,20,101,0,276,2149,162,3410,1529,70,2089,753,1951,0,55,974,2121,1167,0,19,601,1125
20-14,7092,4354,3295,3083,714,2027,1940,387,1884,318,48,51,622,1,764,3404,1097,190,24,31,358,0,417,2237,172,4513,2407,98,2827,1429,1979,0,40,1206,3867,1260,0,13,783,2298
04-16,2012,1406,1041,809,162,751,571,84,55,84,5,10,65,0,196,1597,29,57,4,7,36,0,111,1162,51,1423,538,26,1040,340,721,0,24,387,880,546,0,10,268,582
12-06,5286,3354,2625,2230,431,1697,1440,217,69,579,14,28,193,0,469,3934,34,318,5,14,93,0,223,2667,230,3527,1529,109,2319,926,1361,0,41,1727,2157,880,0,23,1179,1272
19-17,5234,3038,2626,2110,498,1602,1217,219,117,1782,15,57,280,1,612,2370,51,1067,4,35,112,0,241,1528,305,3366,1563,114,2094,830,2328,1,49,884,1972,1433,0,23,534,1048
19-09,4932,3188,2377,2161,394,1592,1416,180,59,905,11,29,152,0,463,3313,32,601,4,17,68,0,227,2239,157,3481,1294,77,2370,741,1475,0,21,1665,1771,998,0,7,1159,1024
06-05,3188,2286,1515,1483,190,1099,1085,102,40,162,4,7,47,0,219,2709,20,91,1,6,22,0,123,2023,62,2357,769,34,1758,494,680,0,13,1140,1355,514,0,10,860,902
18-04,4355,2987,2088,1975,292,1464,1398,125,167,357,9,34,203,1,355,3229,93,197,7,19,92,0,140,2439,150,3248,957,52,2390,545,1258,0,35,1251,1811,859,0,17,937,1174
07-02,1553,1108,807,654,92,579,481,48,32,161,5,12,56,0,120,1167,17,94,2,8,28,0,61,898,39,1177,337,15,890,203,538,0,13,414,588,389,0,5,320,394
02-02,6116,4332,2895,2817,404,2102,2024,206,138,315,16,23,158,0,454,5012,86,216,9,18,92,0,240,3671,95,4630,1391,64,3392,876,1465,0,55,2082,2514,1107,0,22,1547,1656
03-00,7219,4719,3429,3182,608,2278,2106,335,531,431,22,39,294,0,672,5230,289,299,10,26,183,0,373,3539,225,4830,2164,127,3258,1334,1858,0,55,1870,3436,1356,0,33,1233,2097
15-03,5295,3445,2540,2314,441,1706,1541,198,36,551,16,15,157,1,486,4033,16,342,11,11,68,0,217,2780,211,3781,1303,79,2607,759,1293,0,37,1949,2016,859,0,19,1362,1205
06-06,6509,4127,3246,2792,471,2088,1799,240,218,592,17,47,281,2,564,4788,126,361,14,26,143,1,306,3150,197,4368,1944,95,2885,1147,1844,0,54,1753,2858,1235,0,27,1128,1737
