id,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_P,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_P_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_DEM,party_GRE,party_LIB,party_NLB,party_REP,party_UNA,party_DEM_voted,party_GRE_voted,party_LIB_voted,party_NLB_voted,party_REP_voted,party_UNA_voted
01-03,1980,0,979,899,102,0,0,0,11,18,2,7,22,0,105,1815,0,0,0,0,0,0,0,0,26,1550,404,0,0,0,635,0,9,0,588,748,0,0,0,0,0,0
04-14,1653,0,812,737,104,0,0,0,27,63,2,10,56,0,110,1385,0,0,0,0,0,0,0,0,51,1190,412,0,0,0,569,0,13,1,363,707,0,0,0,0,0,0
07-01,1752,0,894,714,144,0,0,0,21,276,3,16,83,0,175,1178,0,0,0,0,0,0,0,0,81,1210,461,0,0,0,748,0,16,1,293,694,0,0,0,0,0,0
01-21,4103,0,1861,1715,527,0,0,0,103,1000,9,36,240,0,613,2102,0,0,0,0,0,0,0,0,235,2513,1355,0,0,0,1734,2,33,1,514,1819,0,0,0,0,0,0
01-44,3486,0,1776,1354,356,0,0,0,43,693,5,25,156,0,386,2178,0,0,0,0,0,0,0,0,148,2295,1043,0,0,0,1578,2,29,2,595,1280,0,0,0,0,0,0
01-06,2620,0,1219,1120,281,0,0,0,58,91,3,20,51,0,279,2118,0,0,0,0,0,0,0,0,55,1777,788,0,0,0,1134,1,19,0,370,1096,0,0,0,0,0,0
17-06,2440,15,1166,1059,215,10,5,0,25,688,10,17,133,1,314,1252,0,12,0,0,0,0,1,2,200,1563,677,0,11,4,911,0,13,1,654,861,13,0,0,0,2,0
04-12,2883,0,1445,1255,183,0,0,0,130,109,3,22,130,0,207,2282,0,0,0,0,0,0,0,0,75,2134,674,0,0,0,911,0,25,2,617,1328,0,0,0,0,0,0
01-36,2586,0,1327,1090,169,0,0,0,41,130,5,12,70,1,168,2159,0,0,0,0,0,0,0,0,43,1934,609,0,0,0,776,0,31,1,840,938,0,0,0,0,0,0
07-03,1594,0,785,717,92,0,0,0,20,109,1,7,32,0,110,1315,0,0,0,0,0,0,0,0,19,1243,332,0,0,0,555,0,8,0,378,653,0,0,0,0,0,0
