precinct_abbrv,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_P,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_P_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_CST,party_DEM,party_GRE,party_JFA,party_LIB,party_NLB,party_REP,party_UNA,party_WTP,party_CST_voted,party_DEM_voted,party_GRE_voted,party_JFA_voted,party_LIB_voted,party_NLB_voted,party_REP_voted,party_UNA_voted,party_WTP_voted
17-01,3071,2234,1459,1215,397,1164,872,198,109,1035,10,30,224,0,505,1158,77,742,8,14,144,0,269,980,232,1751,1088,126,1405,703,1,1455,6,0,22,14,418,1154,1,1,1114,5,0,18,10,333,753,0
17-09,4300,3106,2174,1503,623,1745,1036,325,82,2535,9,39,273,1,815,546,58,1947,5,30,166,0,458,442,357,2252,1691,225,1778,1103,0,2456,7,0,29,26,237,1545,0,0,1981,5,0,19,13,176,912,0
04-08,2688,2253,1277,1144,267,1112,948,193,216,372,14,26,181,0,294,1585,187,294,13,21,145,0,218,1375,114,1713,861,79,1490,684,0,972,6,0,18,12,400,1278,2,0,858,5,0,13,8,341,1028,0
05-07,8634,7010,3973,3594,1067,3289,2880,841,2357,966,56,57,866,0,1142,3190,1894,766,41,41,677,0,885,2706,311,4904,3419,252,3998,2760,0,2755,4,0,46,28,1040,4761,0,0,2325,3,0,33,15,852,3782,0
20-09,2935,2601,1427,1343,165,1292,1179,130,85,125,2,16,101,0,195,2411,71,106,2,13,82,0,159,2168,58,2086,791,49,1871,681,0,791,0,0,21,2,672,1449,0,0,717,0,0,14,1,598,1271,0
18-03,2438,2117,1202,1064,172,1053,937,127,127,102,1,8,129,0,200,1871,102,82,1,5,104,0,152,1671,55,1741,642,44,1535,538,0,730,0,1,11,3,581,1112,0,0,643,0,0,6,2,508,958,0
07-09,3399,2827,1684,1346,369,1442,1122,263,82,382,8,22,146,0,402,2357,69,278,8,16,104,0,284,2068,127,2171,1101,88,1872,867,0,1194,0,0,25,17,694,1469,0,0,1034,0,0,19,8,607,1159,0
04-06,3204,2784,1631,1313,260,1428,1154,202,91,102,3,20,115,1,279,2593,70,86,3,14,96,0,215,2300,85,2235,884,63,1982,739,0,1054,2,0,16,7,731,1394,0,0,935,2,0,14,7,634,1192,0
01-41,2315,1763,894,1055,366,716,810,237,69,319,6,13,106,1,402,1399,43,187,4,9,75,0,265,1180,106,1382,827,70,1097,596,0,940,7,0,12,8,227,1121,0,0,755,5,0,9,4,189,801,0
07-07,3701,3245,1869,1539,293,1683,1336,226,72,352,2,12,161,0,342,2760,53,264,1,10,116,0,270,2531,126,2634,941,92,2358,795,0,1206,2,1,20,17,873,1582,0,0,1068,2,1,16,13,795,1350,0
01-40,4860,3108,2371,1685,804,1738,1048,322,51,3026,10,51,214,0,941,567,36,2076,4,34,112,0,391,455,272,2563,2025,129,1846,1133,0,2869,4,0,22,31,214,1720,0,0,2096,1,0,12,15,142,842,0
13-01,7063,5294,3387,2590,1086,2745,1924,625,255,2664,16,46,511,0,1215,2356,185,2014,11,37,335,0,712,2000,473,3843,2747,316,3046,1932,0,3246,8,1,41,50,802,2913,2,0,2603,6,1,23,34,653,1972,2
17-14,5579,4484,2715,2202,662,2300,1736,448,169,2132,16,45,409,1,751,2056,127,1735,13,34,290,1,517,1767,401,3296,1882,279,2763,1442,0,2477,6,0,25,41,901,2129,0,0,2111,5,0,16,36,763,1553,0
08-02,4280,3734,2085,1890,305,1869,1639,226,105,359,7,21,154,1,346,3287,88,290,7,18,118,1,263,2949,125,2995,1160,95,2684,955,0,1313,4,0,24,12,947,1979,1,0,1172,3,0,19,8,841,1690,1
01-26,2680,1734,1106,923,651,847,641,246,32,1113,1,28,64,0,711,731,26,719,0,19,39,0,280,651,90,1266,1324,59,959,716,0,1306,5,1,17,17,98,1236,0,0,999,3,1,13,11,69,638,0
