id,pisano,cooper,difiore,forest,under
01-01,3,1344,23,302,16
01-02,5,1350,18,342,14
01-03,2,1177,19,648,10
01-04,2,777,9,372,3
01-05,0,698,6,424,5
01-06,6,2000,30,595,16
01-07,5,1831,33,482,17
01-07A,2,199,2,34,6
01-09,1,884,12,210,8
01-10,0,1014,9,381,10
01-11,1,1335,11,1061,17
01-12,5,1205,19,533,12
01-13,5,1214,15,216,2
01-14,6,2853,33,464,19
01-15,6,1304,28,766,21
01-16,4,1901,27,725,26
01-17,2,570,8,426,9
01-18,16,1630,22,723,15
01-19,2,1370,16,62,10
01-20,5,2032,37,241,15
01-21,10,2732,59,783,26
01-22,14,3127,27,157,17
01-23,12,2670,64,625,27
01-25,0,461,10,31,8
01-26,3,1596,25,103,12
01-27,6,1657,34,292,11
01-28,15,3266,41,483,28
01-29,3,1435,11,865,8
01-30,0,800,15,427,6
01-31,19,2341,76,441,40
01-32,19,1742,42,499,22
01-33,2,1163,10,480,11
01-34,2,1142,16,51,12
01-35,5,1668,25,64,12
01-36,3,1480,20,974,23
01-37,4,1073,32,637,12
01-38,6,1421,25,492,21
01-39,8,1670,50,616,22
01-40,11,3097,39,207,19
01-41,9,1505,35,351,31
01-42,12,1419,20,1115,14
01-43,11,1478,31,557,22
01-44,16,2271,48,831,28
01-45,7,1009,26,492,18
01-46,10,1935,36,308,26
01-47,5,1198,27,806,15
01-48,6,1576,26,372,11
01-49,13,2121,71,544,37
01-50,12,2376,29,148,23
01-51,5,638,10,362,5
02-01,7,1711,24,1241,15
02-02,12,2874,42,2613,23
02-03,7,1410,33,1365,16
02-04,5,1168,22,1087,15
02-05,1,562,8,416,10
02-06,5,1252,19,1212,10
03-00,20,3421,57,2435,39
04-01,9,1400,32,562,21
04-02,13,1576,23,699,22
04-03,8,1323,26,494,16
04-04,6,1010,28,444,8
04-05,7,2351,45,1002,18
04-06,10,1889,15,836,27
04-07,3,1440,16,1164,11
04-08,10,1694,26,543,14
04-09,6,1498,26,803,16
04-10,11,1754,30,820,15
04-11,11,1021,17,349,17
04-12,14,1730,25,835,26
04-13,18,2939,60,1303,33
04-14,5,1035,30,517,9
04-15,11,1592,38,711,13
04-16,9,1370,39,511,14
04-17,5,1192,27,449,14
04-18,10,1836,38,769,13
04-19,4,1121,30,504,11
04-20,7,1981,55,776,24
04-21,7,1179,36,382,15
05-01,11,2508,53,1229,35
05-03,12,2500,35,1248,39
05-05,20,4707,84,1798,43
05-06,13,3192,33,1463,24
05-07,25,4866,61,1525,72
05-08,13,2637,51,725,30
06-04,16,2343,67,1364,25
06-05,15,1494,25,1454,21
06-06,19,3556,81,2322,46
06-07,19,1940,43,1182,19
06-08,8,1293,44,717,18
06-09,17,3780,91,2979,35
06-10,15,1838,49,1720,26
07-01,3,1101,22,422,13
07-02,5,1031,14,495,16
07-03,2,991,20,497,9
07-04,12,2718,70,972,27
07-05,11,1146,26,528,10
07-06,6,2113,34,1228,27
07-07,8,2186,42,1150,20
07-07A,0,371,1,142,14
07-09,7,2078,43,871,30
07-10,12,3355,62,1318,25
07-11,1,694,7,395,6
07-12,11,1793,32,669,23
07-13,8,1374,33,654,12
08-02,11,2476,46,1223,29
08-03,18,3348,87,1579,36
08-04,7,925,22,707,11
08-05,1,1215,16,758,7
08-06,5,1551,38,399,17
08-07,5,1333,35,1057,16
08-08,6,2573,38,1462,31
08-09,8,1207,35,561,18
08-10,7,1803,35,785,15
08-11,16,2537,29,1143,28
09-01,5,991,18,1099,11
09-02,14,1901,37,1022,11
09-03,6,1764,27,1611,16
10-01,5,441,3,714,8
10-02,14,1999,44,1435,19
10-03,15,1411,30,949,14
10-04,23,4624,96,2762,31
11-01,25,3510,84,1473,29
11-02,9,2900,47,1261,34
12-01,21,2714,85,3016,45
12-02,17,2502,75,1864,27
12-04,12,1842,58,2614,31
12-05,24,3797,86,3397,42
12-06,16,1976,49,1846,25
12-07,16,1302,41,1377,16
12-08,20,2511,79,1736,35
12-09,16,2441,62,2302,37
13-01,24,3638,72,867,42
13-02,4,1179,18,722,13
13-05,9,1474,32,419,16
13-06,11,1814,37,956,22
13-07,8,1591,26,541,12
13-08,11,2076,40,453,30
13-09,16,3077,56,805,30
13-10,18,3504,42,1948,39
13-11,4,1726,29,1186,18
14-01,3,298,8,443,6
14-02,19,2819,64,3681,41
15-01,18,1751,49,2075,19
15-02,22,2795,68,2383,26
15-03,14,2014,49,2531,23
15-04,6,1056,26,1088,9
16-01,18,1510,43,1071,20
16-02,32,3397,51,677,34
16-03,8,872,25,431,12
16-04,14,1482,27,956,18
16-05,11,1294,27,918,8
16-06,9,808,21,344,8
16-07,9,1884,39,1117,15
16-09,14,2513,55,1313,26
16-10,20,3656,52,482,27
16-11,6,2437,26,442,25
17-01,6,1695,31,545,20
17-02,8,867,11,594,10
17-03,31,4194,73,1432,33
17-04,19,4278,55,1715,37
17-05,13,2642,37,779,29
17-06,6,1156,16,867,20
17-07,20,2766,27,406,22
17-09,19,2996,48,264,10
17-10,4,760,13,330,5
17-11,28,3018,52,821,45
17-12,13,2324,50,658,24
17-13,19,3208,62,1423,28
18-01,14,3190,98,775,43
18-02,10,2310,53,2186,21
18-03,8,1436,19,763,15
18-04,5,2133,42,1661,30
18-05,15,2902,46,1809,29
18-06,9,2625,78,931,35
18-07,16,1597,35,1598,32
18-08,13,2636,48,1230,36
19-03,23,1493,46,1296,25
19-05,4,1406,31,1659,24
19-07,19,2165,44,1849,44
19-09,20,2124,36,2239,25
19-11,11,1766,44,1284,25
19-12,25,3556,68,2804,56
19-13,5,1280,32,694,23
19-14,6,1673,30,1095,27
19-15,6,1515,33,1204,16
19-16,9,1436,29,1012,14
19-17,21,3466,75,1330,26
19-18,13,1703,36,1279,27
19-19,12,3160,63,2898,32
19-20,7,1834,28,1406,18
19-21,14,2882,59,1719,41
20-01,22,2182,49,1130,22
20-03,11,2460,50,1470,32
20-04,12,2275,36,1009,29
20-05,9,2388,45,1497,24
20-06A,20,3070,67,1470,43
20-06B,8,2093,50,1246,17
20-08,15,2773,71,1656,32
20-09,8,1629,32,918,20
20-10,6,2094,26,859,38
20-11,16,3036,66,1763,37
20-12,11,3215,54,1707,41
20-14,12,4399,61,1795,50
20-15,8,3022,42,934,29
20-16,13,2757,54,935,39
20-17,8,2853,46,1209,23
