id,inman,dietz,under
01-01,1065,221,14
01-02,1042,241,17
01-03,932,622,15
01-04,522,331,6
01-05,567,355,9
01-06,1501,400,31
01-07,1419,367,20
01-07A,102,29,5
01-09,773,175,6
01-10,878,362,10
01-11,1070,934,17
01-12,981,411,14
01-13,1050,163,11
01-14,2247,380,23
01-15,1044,600,15
01-16,1398,525,22
01-17,462,359,11
01-18,1089,584,13
01-19,770,42,11
01-20,1409,147,15
01-21,1761,529,12
01-22,1868,96,22
01-23,1710,353,22
01-25,231,27,2
01-26,1068,96,14
01-27,1240,179,19
01-28,2165,327,21
01-29,1082,756,19
01-30,671,387,15
01-31,1191,269,14
01-32,1058,355,13
01-33,958,429,16
01-34,743,50,7
01-35,983,55,21
01-36,1051,758,16
01-37,846,516,7
01-38,937,357,13
01-39,1130,445,12
01-40,1794,122,24
01-41,1064,259,17
01-42,1016,970,15
01-43,909,417,15
01-44,1572,610,13
01-45,687,430,5
01-46,888,181,8
01-47,891,707,7
01-48,1209,280,22
01-49,1114,297,12
01-50,1402,100,12
01-51,496,299,8
02-01,1303,1109,28
02-02,2211,2236,27
02-03,1043,1192,19
02-04,906,994,17
02-05,451,381,4
02-06,909,1043,10
03-00,2851,2026,45
04-01,1021,472,18
04-02,1137,563,22
04-03,803,407,15
04-04,647,347,6
04-05,1773,832,28
04-06,1483,771,31
04-07,1107,1028,18
04-08,1188,468,12
04-09,1037,690,10
04-10,1245,676,22
04-11,699,282,9
04-12,1347,729,17
04-13,2127,1118,35
04-14,806,428,12
04-15,1145,584,29
04-16,1044,408,15
04-17,862,357,9
04-18,1269,538,27
04-19,879,445,8
04-20,1353,601,25
04-21,692,249,8
05-01,1576,934,18
05-03,1686,982,20
05-05,2748,1273,26
05-06,2293,1212,28
05-07,3100,1106,34
05-08,1770,613,21
06-04,1565,1018,30
06-05,1074,1274,20
06-06,2489,1781,35
06-07,1358,980,27
06-08,893,580,15
06-09,2866,2562,55
06-10,1584,1493,34
07-01,780,338,8
07-02,733,417,8
07-03,803,431,6
07-04,1815,742,22
07-05,824,409,8
07-06,1630,1131,25
07-07,1574,882,17
07-07A,322,153,7
07-09,1384,675,24
07-10,2150,933,34
07-11,563,357,8
07-12,1174,547,22
07-13,998,541,11
08-02,1817,1059,33
08-03,2144,1173,34
08-04,745,687,8
08-05,959,649,20
08-06,859,293,12
08-07,1044,957,9
08-08,1885,1208,31
08-09,884,456,11
08-10,1182,599,19
08-11,1658,876,26
09-01,606,856,10
09-02,1042,689,16
09-03,1303,1209,14
10-01,266,538,9
10-02,1142,993,9
10-03,906,715,15
10-05,1286,1177,16
10-06,2235,1112,28
11-01,2136,922,24
11-02,1913,1005,34
12-01,2039,2505,40
12-02,1824,1515,39
12-04,1440,2113,36
12-06,1729,1752,40
12-07,953,1117,16
12-08,1701,1420,24
12-09,1660,1985,37
12-10,1886,1624,30
12-11,1042,1208,26
13-01,2223,595,18
13-02,833,582,10
13-05,809,247,9
13-06,1235,747,20
13-07,950,365,10
13-08,1151,277,10
13-09,1873,540,20
13-10,2455,1568,40
13-11,1314,981,27
14-01,205,389,6
14-02,2134,3041,24
15-01,1285,1588,33
15-02,2009,1803,30
15-03,1471,2134,20
15-04,785,869,20
16-01,829,722,20
16-02,1992,438,29
16-03,589,340,9
16-04,1162,844,18
16-05,867,674,20
16-06,524,270,15
16-07,1468,956,15
16-09,1853,1007,30
16-10,2081,351,16
16-11,1591,438,17
17-01,1067,377,15
17-02,640,433,13
17-03,2751,1020,36
17-04,2534,1214,35
17-05,1629,585,21
17-06,739,668,15
17-07,1712,290,14
17-09,1691,199,11
17-10,454,243,9
17-11,1806,555,11
17-12,1404,423,13
17-13,2089,1038,23
18-01,1829,434,25
18-02,1764,1851,33
18-03,1062,645,14
18-04,1607,1441,27
18-05,2228,1633,29
18-06,1702,608,12
18-07,1243,1440,27
18-08,1764,1001,21
19-03,1031,933,20
19-05,1069,1343,13
19-07,1879,1651,27
19-09,1391,1737,25
19-11,1239,973,21
19-12,2416,2092,30
19-13,811,497,13
19-14,1026,818,10
19-15,1026,869,15
19-16,942,779,20
19-17,2193,957,23
19-18,1215,1056,24
19-19,2366,2394,31
19-20,1294,1146,14
19-21,1964,1283,20
20-01,1445,853,19
20-03,1838,1185,32
20-04,1560,809,27
20-05,1764,1319,20
20-06A,2107,1250,32
20-06B,1550,1016,21
20-08,1930,1340,30
20-09,1234,791,18
20-10,1505,722,29
20-11,2356,1514,38
20-12,2421,1404,25
20-14,3017,1492,23
20-15,1934,749,28
20-16,1758,702,14
20-17,2010,1013,23
