id,ervin iv,allen,under
01-01,1068,211,21
01-02,1040,236,23
01-03,940,611,19
01-04,527,324,9
01-05,554,362,17
01-06,1506,388,38
01-07,1420,359,25
01-07A,101,27,4
01-09,779,165,10
01-10,862,370,17
01-11,1069,927,27
01-12,972,420,14
01-13,1048,158,18
01-14,2251,371,29
01-15,1038,601,21
01-16,1402,514,28
01-17,464,356,12
01-18,1088,580,18
01-19,758,58,7
01-20,1401,149,20
01-21,1737,546,18
01-22,1848,113,23
01-23,1715,339,28
01-25,229,30,2
01-26,1065,96,17
01-27,1236,180,23
01-28,2167,328,18
01-29,1113,717,26
01-30,670,381,21
01-31,1195,263,16
01-32,1068,340,18
01-33,958,426,19
01-34,735,53,11
01-35,978,59,22
01-36,1033,779,14
01-37,846,512,10
01-38,934,363,11
01-39,1117,452,17
01-40,1762,153,25
01-41,1063,257,19
01-42,1028,955,20
01-43,920,406,15
01-44,1554,620,19
01-45,679,431,12
01-46,880,189,9
01-47,907,690,11
01-48,1210,273,28
01-49,1097,307,18
01-50,1387,113,12
01-51,494,303,6
02-01,1294,1115,32
02-02,2206,2233,35
02-03,1041,1192,22
02-04,908,993,18
02-05,447,385,6
02-06,920,1030,12
03-00,2807,2046,66
04-01,1008,484,19
04-02,1127,570,25
04-03,807,407,14
04-04,641,354,5
04-05,1756,838,37
04-06,1484,766,31
04-07,1104,1026,21
04-08,1190,459,17
04-09,1037,684,15
04-10,1238,679,24
04-11,689,286,14
04-12,1346,723,18
04-13,2128,1114,40
04-14,802,431,15
04-15,1125,596,36
04-16,1028,417,22
04-17,859,359,10
04-18,1264,535,30
04-19,887,434,11
04-20,1363,591,22
04-21,688,252,10
05-01,1587,917,25
05-03,1668,992,27
05-05,2734,1275,33
05-06,2286,1211,33
05-07,3059,1133,51
05-08,1741,636,26
06-04,1543,1031,35
06-05,1079,1253,34
06-06,2477,1782,47
06-07,1358,984,25
06-08,876,590,21
06-09,2866,2543,74
06-10,1545,1521,43
07-01,777,337,11
07-02,721,429,9
07-03,783,444,13
07-04,1802,749,27
07-05,822,409,10
07-06,1642,1111,34
07-07,1570,885,19
07-07A,325,146,10
07-09,1398,661,25
07-10,2146,934,38
07-11,567,352,9
07-12,1186,534,22
07-13,987,547,19
08-02,1821,1049,39
08-03,2138,1167,45
08-04,748,678,13
08-05,971,635,21
08-06,868,282,14
08-07,1037,953,19
08-08,1887,1202,36
08-09,875,459,16
08-10,1179,597,25
08-11,1666,864,28
09-01,607,855,10
09-02,1034,698,14
09-03,1302,1208,15
10-01,262,542,8
10-02,1120,1010,13
10-03,920,702,15
10-05,1277,1178,23
10-06,2211,1134,33
11-01,2130,922,31
11-02,1914,994,41
12-01,2019,2513,50
12-02,1803,1528,46
12-04,1400,2142,44
12-06,1708,1770,43
12-07,926,1141,19
12-08,1681,1422,41
12-09,1634,2002,47
12-10,1862,1634,43
12-11,1028,1217,31
13-01,2198,613,25
13-02,828,583,13
13-05,796,260,9
13-06,1231,750,20
13-07,951,361,11
13-08,1141,281,14
13-09,1840,565,28
13-10,2447,1570,50
13-11,1315,978,27
14-01,208,384,7
14-02,2123,3043,30
15-01,1272,1601,28
15-02,1966,1834,39
15-03,1452,2142,29
15-04,776,878,20
16-01,818,729,22
16-02,1976,457,24
16-03,582,348,8
16-04,1165,836,23
16-05,845,692,24
16-06,525,268,16
16-07,1458,955,24
16-09,1810,1041,36
16-10,2052,370,25
16-11,1573,447,23
17-01,1070,377,12
17-02,624,441,20
17-03,2730,1030,49
17-04,2520,1223,40
17-05,1608,603,23
17-06,719,685,17
17-07,1682,309,22
17-09,1668,213,19
17-10,463,235,9
17-11,1795,557,20
17-12,1385,439,15
17-13,2090,1028,32
18-01,1826,431,30
18-02,1737,1868,42
18-03,1069,631,19
18-04,1592,1447,33
18-05,2253,1605,30
18-06,1695,608,18
18-07,1220,1464,25
18-08,1756,1006,22
19-03,1012,949,21
19-05,1066,1343,16
19-07,1856,1662,37
19-09,1368,1760,25
19-11,1208,999,27
19-12,2380,2115,41
19-13,812,497,11
19-14,1014,824,14
19-15,1035,862,13
19-16,943,777,18
19-17,2180,963,30
19-18,1219,1051,25
19-19,2324,2420,49
19-20,1286,1147,22
19-21,1937,1306,23
20-01,1414,873,24
20-03,1852,1166,35
20-04,1553,813,29
20-05,1783,1287,31
20-06A,2066,1278,45
20-06B,1542,1020,23
20-08,1918,1340,40
20-09,1237,783,24
20-10,1496,730,29
20-11,2335,1534,38
20-12,2415,1407,30
20-14,3011,1486,32
20-15,1929,747,35
20-16,1741,712,22
20-17,1996,1022,29
