id,trump,biden,under
01-01,317,1335,5
01-02,373,1321,9
01-03,707,1109,10
01-04,401,732,13
01-05,469,648,8
01-06,610,1971,11
01-07,483,1828,3
01-07A,44,194,2
01-09,221,878,5
01-10,411,983,5
01-11,1143,1232,25
01-12,559,1190,5
01-13,238,1193,1
01-14,481,2823,12
01-15,814,1251,7
01-16,798,1824,5
01-17,453,539,6
01-18,781,1573,5
01-19,68,1364,6
01-20,246,2046,9
01-21,843,2679,12
01-22,192,3093,6
01-23,632,2675,9
01-25,44,451,1
01-26,106,1596,7
01-27,299,1645,4
01-28,515,3240,8
01-29,906,1362,13
01-30,449,773,9
01-31,465,2337,7
01-32,548,1701,7
01-33,510,1116,8
01-34,67,1139,0
01-35,95,1660,5
01-36,1019,1414,16
01-37,697,1015,4
01-38,556,1362,6
01-39,663,1635,8
01-40,262,3068,8
01-41,371,1493,10
01-42,1189,1330,15
01-43,624,1422,6
01-44,900,2222,9
01-45,558,946,5
01-46,376,1887,4
01-47,872,1129,11
01-48,409,1531,7
01-49,569,2122,7
01-50,189,2350,4
01-51,391,602,3
02-01,1315,1620,12
02-02,2747,2711,11
02-03,1427,1336,9
02-04,1159,1087,8
02-05,451,527,5
02-06,1277,1169,13
03-00,2590,3254,19
04-01,656,1310,11
04-02,765,1508,14
04-03,560,1271,4
04-04,468,988,6
04-05,1126,2214,8
04-06,961,1758,10
04-07,1256,1333,11
04-08,617,1623,6
04-09,891,1404,12
04-10,873,1699,7
04-11,384,1001,3
04-12,921,1648,7
04-13,1473,2787,17
04-14,577,972,8
04-15,761,1530,10
04-16,578,1309,5
04-17,481,1164,4
04-18,799,1783,15
04-19,549,1073,7
04-20,864,1901,12
04-21,415,1164,1
05-01,1327,2422,11
05-03,1385,2382,12
05-05,1905,4593,16
05-06,1634,3024,13
05-07,1882,4555,11
05-08,903,2484,12
06-04,1497,2223,8
06-05,1551,1393,13
06-06,2488,3350,21
06-07,1323,1803,14
06-08,770,1256,4
06-09,3203,3543,20
06-10,1797,1743,22
07-01,452,1076,4
07-02,540,984,11
07-03,541,934,10
07-04,1067,2623,7
07-05,576,1088,8
07-06,1342,1978,12
07-07,1225,2102,6
07-07A,182,335,7
07-09,974,1982,13
07-10,1380,3260,15
07-11,416,655,3
07-12,725,1739,9
07-13,704,1330,3
08-02,1291,2401,15
08-03,1680,3255,14
08-04,764,872,7
08-05,801,1151,6
08-06,439,1512,4
08-07,1121,1274,11
08-08,1568,2443,17
08-09,608,1171,11
08-10,849,1713,9
08-11,1253,2430,7
09-01,1150,940,1
09-02,1094,1832,4
09-03,1701,1664,6
10-01,762,396,4
10-02,1537,1880,13
10-03,1019,1362,4
10-04,2935,4463,12
11-01,1526,3449,16
11-02,1381,2785,11
12-01,3226,2500,16
12-02,2039,2317,11
12-04,2790,1673,8
12-05,3571,3595,28
12-06,2003,1807,14
12-07,1487,1197,10
12-08,1881,2380,10
12-09,2475,2248,19
13-01,1000,3537,6
13-02,773,1118,5
13-05,455,1452,1
13-06,1057,1726,10
13-07,600,1532,13
13-08,514,2044,7
13-09,886,3014,5
13-10,2096,3350,23
13-11,1243,1662,15
14-01,462,281,3
14-02,3875,2618,20
15-01,2201,1623,9
15-02,2541,2609,14
15-03,2710,1815,13
15-04,1156,982,4
16-01,1180,1417,7
16-02,734,3335,11
16-03,486,828,3
16-04,1056,1395,6
16-05,1016,1202,8
16-06,381,778,5
16-07,1226,1744,5
16-09,1400,2417,11
16-10,556,3598,12
16-11,505,2385,10
17-01,616,1628,7
17-02,625,826,2
17-03,1586,4055,11
17-04,1912,4072,18
17-05,903,2530,6
17-06,936,1100,3
17-07,479,2689,11
17-09,346,2938,7
17-10,380,711,2
17-11,968,2920,8
17-12,721,2289,5
17-13,1562,3081,11
18-01,803,3183,8
18-02,2325,2141,16
18-03,817,1373,10
18-04,1789,2001,12
18-05,1941,2757,17
18-06,972,2600,8
18-07,1705,1494,16
18-08,1334,2532,16
19-03,1346,1412,14
19-05,1715,1327,14
19-07,1933,2063,14
19-09,2386,1970,13
19-11,1359,1696,7
19-12,2964,3391,15
19-13,756,1224,4
19-14,1210,1575,5
19-15,1283,1439,10
19-16,1091,1352,7
19-17,1441,3356,10
19-18,1385,1594,9
19-19,3112,2917,16
19-20,1502,1725,13
19-21,1854,2743,18
20-01,1211,2115,13
20-03,1585,2340,21
20-04,1122,2169,12
20-05,1584,2275,18
20-06A,1646,2908,13
20-06B,1323,1990,12
20-08,1718,2706,14
20-09,975,1563,8
20-10,962,2003,13
20-11,1883,2911,15
20-12,1899,3029,10
20-14,2016,4175,19
20-15,1062,2883,8
20-16,1070,2661,7
20-17,1361,2702,11
